Metric:,Average Days on Market
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,35,39,32,31,
February 2006,36,41,35,31,
March 2006,36,38,34,35,
April 2006,35,42,31,30,
May 2006,33,41,27,29,
June 2006,30,45,25,27,
July 2006,28,38,23,26,
August 2006,29,48,25,29,
September 2006,30,51,26,35,
October 2006,31,56,27,39,
November 2006,37,49,30,40,
December 2006,40,50,34,35,
January 2007,46,54,42,42,
February 2007,48,66,44,46,
March 2007,50,56,42,48,
April 2007,45,47,38,42,
May 2007,42,38,38,35,
June 2007,40,40,35,31,
July 2007,41,49,34,30,
August 2007,42,58,33,32,
September 2007,44,59,34,33,
October 2007,46,61,36,35,
November 2007,52,63,41,37,
December 2007,65,73,47,41,
January 2008,75,77,52,51,
February 2008,81,74,55,54,
March 2008,79,65,58,55,
April 2008,71,57,56,50,
May 2008,68,63,56,48,
June 2008,62,64,54,49,
July 2008,63,69,52,48,
August 2008,67,65,49,48,
September 2008,71,70,51,47,
October 2008,79,68,52,47,
November 2008,73,67,53,47,
December 2008,76,56,59,52,
January 2009,74,55,66,55,
February 2009,80,69,69,59,
March 2009,81,78,62,54,
April 2009,80,74,63,52,
May 2009,84,69,63,49,
June 2009,81,79,59,49,
July 2009,83,91,56,48,
August 2009,84,87,52,48,
September 2009,85,82,52,47,
October 2009,86,90,53,54,
November 2009,84,93,53,55,
December 2009,79,94,55,57,
January 2010,85,80,56,57,
February 2010,81,63,61,59,
March 2010,90,61,56,49,
April 2010,81,61,49,45,
May 2010,79,67,42,44,
June 2010,67,62,39,46,
July 2010,64,75,41,44,
August 2010,64,78,45,41,
September 2010,73,85,49,45,
October 2010,76,70,51,46,
November 2010,69,76,56,53,
December 2010,70,80,59,56,
January 2011,65,82,63,63,
February 2011,72,74,62,66,
March 2011,73,80,58,68,
April 2011,74,79,49,62,
May 2011,71,78,46,51,
June 2011,63,67,42,47,
July 2011,63,61,41,44,
August 2011,69,66,39,48,
September 2011,67,78,39,49,
October 2011,65,83,44,48,
November 2011,66,77,47,49,
December 2011,67,64,53,48,
January 2012,64,63,53,51,
February 2012,60,82,60,55,
March 2012,63,88,51,56,
April 2012,63,87,50,50,
May 2012,54,82,38,47,
June 2012,50,70,33,42,
July 2012,46,60,28,39,
August 2012,46,47,31,37,
September 2012,45,50,33,32,
October 2012,47,50,33,32,
November 2012,48,50,33,29,
December 2012,51,51,33,33,
January 2013,54,66,35,37,
February 2013,54,64,34,40,
March 2013,52,61,29,38,
April 2013,42,48,24,33,
May 2013,35,54,21,26,
June 2013,29,43,18,20,
July 2013,25,45,17,16,
August 2013,26,47,17,17,
September 2013,31,52,19,19,
October 2013,34,47,21,20,
November 2013,39,37,22,22,
December 2013,42,43,24,24,
January 2014,49,53,27,31,
February 2014,49,71,30,35,
March 2014,41,64,29,33,
April 2014,39,59,26,26,
May 2014,31,46,24,22,
June 2014,26,42,20,19,
July 2014,24,37,17,19,
August 2014,28,40,18,19,
September 2014,29,45,20,19,
October 2014,33,44,22,21,
November 2014,37,46,24,23,
December 2014,41,48,26,26,
January 2015,44,55,29,29,
February 2015,43,58,30,34,
March 2015,39,48,27,31,
April 2015,27,43,20,23,
May 2015,22,40,16,18,
June 2015,19,41,14,16,
July 2015,21,24,13,15,
August 2015,22,16,13,14,
September 2015,23,11,14,14,
October 2015,20,13,14,14,
November 2015,19,22,14,15,
December 2015,19,32,15,16,
January 2016,23,40,17,21,
February 2016,24,34,17,24,
March 2016,26,37,17,21,
April 2016,22,38,14,18,
May 2016,21,31,14,15,
June 2016,19,20,12,14,
July 2016,21,13,13,15,
August 2016,21,14,13,16,
September 2016,20,15,14,17,
October 2016,20,20,15,16,
November 2016,21,26,16,18,
December 2016,25,31,18,20,
January 2017,25,34,20,21,
February 2017,26,37,22,23,
March 2017,22,34,20,24,
April 2017,19,26,17,20,
May 2017,15,21,13,14,
June 2017,14,18,10,11,
July 2017,15,18,10,10,
August 2017,19,15,10,12,
September 2017,20,17,12,13,
October 2017,20,14,12,13,
November 2017,20,17,13,15,
December 2017,22,18,13,16,
January 2018,26,32,16,20,
February 2018,24,35,15,19,
March 2018,25,33,12,17,
April 2018,19,33,10,14,
May 2018,17,29,10,13,
June 2018,15,28,11,11,
July 2018,16,24,11,11,
August 2018,16,27,13,13,
September 2018,20,31,15,18,
October 2018,22,38,19,20,
November 2018,29,44,23,24,
December 2018,31,48,27,29,
January 2019,38,54,32,38,
February 2019,45,60,33,41,
March 2019,54,65,32,38,
April 2019,44,57,26,29,
May 2019,35,53,23,22,
June 2019,25,45,20,19,
July 2019,23,53,20,19,
August 2019,28,59,23,22,
September 2019,34,66,26,26,
October 2019,39,61,27,28,
November 2019,37,52,28,32,
December 2019,39,55,32,33,
January 2020,42,57,39,42,
February 2020,46,69,40,48,
March 2020,41,58,32,44,
April 2020,31,51,22,31,
May 2020,24,39,15,20,
June 2020,23,31,15,16,
July 2020,27,30,16,17,
August 2020,24,31,16,17,
September 2020,24,34,16,16,
October 2020,25,38,16,16,
November 2020,26,41,17,16,
December 2020,28,46,19,20,
January 2021,34,57,22,24,
February 2021,40,66,24,31,
March 2021,37,66,22,27,
April 2021,31,57,19,22,
May 2021,26,50,16,17,
June 2021,21,46,13,15,
July 2021,19,49,12,15,
August 2021,20,43,12,15,
September 2021,22,39,14,15,
October 2021,25,32,15,16,
November 2021,24,31,15,16,
December 2021,24,29,16,18,
January 2022,27,39,17,21,
February 2022,32,42,19,20,
March 2022,30,42,14,14,
April 2022,24,26,11,11,
May 2022,17,24,8,11,
June 2022,12,19,8,10,
July 2022,11,24,9,10,
August 2022,13,24,12,11,
September 2022,17,38,16,15,
October 2022,22,43,19,17,
November 2022,26,49,21,20,
December 2022,29,42,22,24,
January 2023,35,47,28,33,
February 2023,39,48,33,39,
March 2023,39,45,33,35,
April 2023,37,37,27,27,
May 2023,33,41,25,20,
June 2023,30,44,19,17,
July 2023,27,47,21,18,
August 2023,26,43,18,18,
September 2023,29,45,22,19,
October 2023,29,55,22,19,
November 2023,30,57,25,20,
December 2023,28,67,27,26,
January 2024,37,77,32,29,
February 2024,44,75,36,32,
March 2024,42,69,35,24,
April 2024,32,51,26,19,
May 2024,21,48,19,17,
June 2024,22,36,15,16,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


