Metric:,Average Percent of Last List Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,0.993,0.995,0.993,0.993,
February 2006,0.996,0.996,0.995,0.993,
March 2006,0.997,1.006,1.002,0.995,
April 2006,1.002,1.010,1.007,1.001,
May 2006,1.003,1.010,1.006,0.999,
June 2006,1.007,1.012,1.004,0.998,
July 2006,1.006,1.009,1.004,0.999,
August 2006,1.004,1.006,1.002,1.000,
September 2006,1.000,1.002,0.999,1.008,
October 2006,0.998,1.000,0.995,1.010,
November 2006,0.996,0.998,0.994,1.014,
December 2006,0.993,0.993,0.991,1.004,
January 2007,0.992,0.988,0.990,0.996,
February 2007,0.993,0.993,0.993,0.995,
March 2007,0.998,0.996,0.997,0.993,
April 2007,1.003,0.992,0.999,1.001,
May 2007,1.005,0.986,0.999,0.999,
June 2007,1.003,0.989,0.997,1.007,
July 2007,1.001,0.997,0.994,0.999,
August 2007,0.997,1.001,0.993,0.996,
September 2007,0.993,0.999,0.991,0.991,
October 2007,0.988,0.991,0.989,0.990,
November 2007,0.984,0.985,0.988,0.997,
December 2007,0.984,0.980,0.989,0.996,
January 2008,0.983,0.978,0.985,0.996,
February 2008,0.982,0.976,0.980,0.989,
March 2008,0.983,0.983,0.974,0.976,
April 2008,0.983,0.981,0.975,0.976,
May 2008,0.984,0.983,0.977,0.970,
June 2008,0.983,0.979,0.982,0.973,
July 2008,0.982,0.977,0.981,0.972,
August 2008,0.979,0.979,0.980,0.969,
September 2008,0.979,0.980,0.977,0.970,
October 2008,0.976,0.979,0.975,0.968,
November 2008,0.977,0.976,0.968,0.970,
December 2008,0.973,0.965,0.959,0.964,
January 2009,0.968,0.961,0.958,0.966,
February 2009,0.963,0.960,0.957,0.962,
March 2009,0.968,0.971,0.964,0.963,
April 2009,0.973,0.971,0.967,0.963,
May 2009,0.972,0.964,0.968,0.967,
June 2009,0.974,0.970,0.970,0.971,
July 2009,0.974,0.970,0.969,0.976,
August 2009,0.975,0.976,0.969,0.979,
