Metric:,Average Percent of Last List Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,0.995,0.991,1.000,0.997,
February 2006,0.992,0.992,1.001,0.998,
March 2006,0.996,0.996,1.006,1.000,
April 2006,0.998,0.997,1.009,1.005,
May 2006,1.002,0.997,1.011,1.012,
June 2006,0.999,0.997,1.015,1.015,
July 2006,1.001,0.995,1.016,1.015,
August 2006,1.001,0.993,1.014,1.010,
September 2006,1.001,0.992,1.010,1.008,
October 2006,0.998,0.992,1.006,1.005,
November 2006,0.993,0.987,1.002,1.001,
December 2006,0.992,0.983,1.000,0.997,
January 2007,0.990,0.981,0.997,0.993,
February 2007,0.991,0.985,0.997,0.992,
March 2007,0.998,0.991,1.002,0.997,
April 2007,1.002,0.999,1.005,1.003,
May 2007,1.003,1.000,1.006,1.007,
June 2007,0.998,0.998,1.004,1.006,
July 2007,0.995,0.991,1.002,1.002,
August 2007,0.993,0.984,1.001,0.996,
September 2007,0.990,0.982,0.999,0.994,
October 2007,0.985,0.981,0.998,0.990,
November 2007,0.978,0.986,0.992,0.988,
December 2007,0.975,0.985,0.988,0.983,
January 2008,0.972,0.984,0.985,0.980,
February 2008,0.976,0.979,0.985,0.980,
March 2008,0.977,0.973,0.985,0.982,
April 2008,0.979,0.974,0.987,0.984,
May 2008,0.977,0.973,0.987,0.983,
June 2008,0.978,0.972,0.987,0.983,
July 2008,0.975,0.968,0.983,0.982,
August 2008,0.972,0.969,0.982,0.980,
September 2008,0.969,0.974,0.980,0.978,
October 2008,0.969,0.978,0.979,0.975,
November 2008,0.965,0.982,0.978,0.973,
December 2008,0.960,0.984,0.974,0.965,
January 2009,0.952,0.982,0.969,0.959,
February 2009,0.956,0.976,0.965,0.960,
March 2009,0.954,0.961,0.967,0.964,
April 2009,0.949,0.958,0.969,0.968,
May 2009,0.955,0.949,0.972,0.968,
June 2009,0.962,0.954,0.976,0.975,
July 2009,0.965,0.957,0.978,0.979,
August 2009,0.962,0.959,0.981,0.981,
September 2009,0.964,0.959,0.982,0.979,
October 2009,0.966,0.944,0.983,0.974,
November 2009,0.970,0.942,0.983,0.976,
December 2009,0.965,0.939,0.980,0.974,
January 2010,0.961,0.947,0.977,0.975,
February 2010,0.955,0.957,0.975,0.970,
March 2010,0.961,0.953,0.979,0.975,
April 2010,0.967,0.958,0.983,0.980,
May 2010,0.973,0.960,0.986,0.979,
June 2010,0.970,0.970,0.984,0.976,
July 2010,0.967,0.963,0.981,0.974,
August 2010,0.965,0.955,0.976,0.974,
September 2010,0.964,0.952,0.972,0.975,
October 2010,0.965,0.956,0.971,0.974,
November 2010,0.962,0.962,0.971,0.973,
December 2010,0.960,0.953,0.970,0.971,
January 2011,0.959,0.958,0.968,0.967,
February 2011,0.958,0.956,0.969,0.961,
March 2011,0.962,0.955,0.968,0.964,
April 2011,0.962,0.952,0.976,0.972,
May 2011,0.967,0.955,0.978,0.976,
June 2011,0.970,0.962,0.985,0.974,
July 2011,0.971,0.961,0.982,0.973,
August 2011,0.969,0.958,0.980,0.974,
September 2011,0.966,0.954,0.979,0.977,
October 2011,0.966,0.955,0.979,0.978,
November 2011,0.966,0.963,0.979,0.976,
December 2011,0.968,0.963,0.977,0.975,
January 2012,0.970,0.964,0.977,0.973,
February 2012,0.970,0.959,0.978,0.970,
March 2012,0.978,0.959,0.987,0.970,
April 2012,0.986,0.966,0.992,0.977,
May 2012,0.986,0.967,0.997,0.987,
June 2012,0.987,0.972,0.999,0.993,
July 2012,0.985,0.976,1.000,0.994,
August 2012,0.989,0.984,0.999,0.991,
September 2012,0.987,0.991,0.997,0.992,
October 2012,0.984,0.988,1.000,0.993,
November 2012,0.984,0.980,0.999,0.996,
December 2012,0.980,0.980,0.998,0.993,
January 2013,0.980,0.981,0.994,0.991,
February 2013,0.980,0.994,0.998,0.992,
March 2013,0.990,0.989,1.009,0.996,
April 2013,1.004,0.990,1.019,1.004,
May 2013,1.006,0.987,1.023,1.015,
June 2013,1.005,0.992,1.023,1.021,
July 2013,1.004,0.991,1.022,1.029,
August 2013,1.002,0.991,1.019,1.023,
September 2013,1.000,0.989,1.015,1.020,
October 2013,0.995,0.987,1.010,1.011,
November 2013,0.992,0.986,1.005,1.004,
December 2013,0.990,0.981,1.001,1.002,
January 2014,0.986,0.981,0.997,1.000,
February 2014,0.991,0.981,1.002,1.009,
March 2014,0.996,0.988,1.011,1.014,
April 2014,1.003,0.990,1.021,1.027,
May 2014,1.004,0.989,1.025,1.031,
June 2014,1.008,0.988,1.029,1.034,
July 2014,1.005,0.987,1.027,1.027,
August 2014,1.001,0.985,1.023,1.024,
September 2014,1.001,0.985,1.016,1.017,
October 2014,1.001,0.986,1.011,1.010,
November 2014,1.000,0.987,1.005,1.002,
December 2014,0.995,0.985,1.004,0.998,
January 2015,0.995,0.984,1.003,0.995,
February 2015,1.004,0.982,1.006,1.000,
March 2015,1.016,0.991,1.020,1.020,
April 2015,1.020,0.996,1.035,1.041,
May 2015,1.023,0.999,1.045,1.050,
June 2015,1.027,0.999,1.050,1.050,
July 2015,1.028,1.000,1.050,1.045,
August 2015,1.027,1.000,1.049,1.043,
September 2015,1.024,1.000,1.043,1.037,
October 2015,1.019,0.999,1.041,1.031,
November 2015,1.022,0.997,1.037,1.029,
December 2015,1.017,0.993,1.035,1.027,
January 2016,1.020,0.991,1.027,1.025,
February 2016,1.019,0.998,1.031,1.034,
March 2016,1.028,1.005,1.048,1.055,
April 2016,1.036,1.009,1.058,1.076,
May 2016,1.037,1.011,1.063,1.077,
June 2016,1.036,1.010,1.063,1.074,
July 2016,1.030,1.007,1.058,1.065,
August 2016,1.021,1.005,1.050,1.057,
September 2016,1.015,1.004,1.039,1.047,
October 2016,1.013,1.006,1.032,1.033,
November 2016,1.014,1.007,1.026,1.025,
December 2016,1.011,1.006,1.023,1.024,
January 2017,1.011,1.003,1.022,1.023,
February 2017,1.014,1.009,1.031,1.037,
March 2017,1.026,1.022,1.052,1.057,
April 2017,1.044,1.035,1.070,1.078,
May 2017,1.062,1.047,1.083,1.097,
June 2017,1.067,1.056,1.087,1.106,
July 2017,1.059,1.055,1.082,1.099,
August 2017,1.044,1.055,1.072,1.081,
September 2017,1.038,1.050,1.063,1.063,
October 2017,1.041,1.052,1.057,1.055,
November 2017,1.038,1.047,1.050,1.046,
December 2017,1.036,1.042,1.048,1.040,
January 2018,1.031,1.031,1.041,1.037,
February 2018,1.049,1.034,1.059,1.063,
March 2018,1.053,1.028,1.080,1.089,
April 2018,1.062,1.033,1.094,1.096,
May 2018,1.057,1.028,1.081,1.089,
June 2018,1.052,1.020,1.068,1.078,
July 2018,1.033,1.006,1.053,1.061,
August 2018,1.016,0.993,1.033,1.031,
September 2018,1.000,0.986,1.018,1.009,
October 2018,0.990,0.979,1.005,1.000,
November 2018,0.982,0.972,0.995,0.994,
December 2018,0.982,0.970,0.992,0.989,
January 2019,0.980,0.968,0.988,0.979,
February 2019,0.981,0.970,0.990,0.980,
March 2019,0.988,0.975,0.994,0.990,
April 2019,0.992,0.981,1.007,1.003,
May 2019,0.993,0.984,1.011,1.009,
June 2019,0.997,0.982,1.010,1.010,
July 2019,0.995,0.981,1.004,1.010,
August 2019,0.991,0.979,0.999,1.005,
September 2019,0.987,0.980,0.998,1.000,
October 2019,0.984,0.979,0.998,0.995,
November 2019,0.987,0.980,0.997,0.993,
December 2019,0.984,0.973,0.995,0.994,
January 2020,0.985,0.974,0.992,0.991,
February 2020,0.991,0.975,0.999,0.998,
March 2020,1.007,0.988,1.018,1.020,
April 2020,1.010,0.991,1.024,1.031,
May 2020,1.006,0.995,1.021,1.027,
June 2020,0.996,0.988,1.015,1.018,
July 2020,0.997,0.986,1.020,1.018,
August 2020,1.002,0.983,1.025,1.027,
September 2020,1.006,0.979,1.026,1.029,
October 2020,1.006,0.976,1.022,1.027,
November 2020,1.002,0.975,1.017,1.020,
December 2020,0.994,0.978,1.012,1.015,
January 2021,0.990,0.978,1.009,1.013,
February 2021,0.996,0.980,1.020,1.020,
March 2021,1.009,0.981,1.040,1.047,
April 2021,1.021,0.985,1.054,1.072,
May 2021,1.027,0.989,1.061,1.088,
June 2021,1.033,0.990,1.064,1.089,
July 2021,1.033,0.989,1.057,1.077,
August 2021,1.027,0.990,1.049,1.065,
September 2021,1.017,0.994,1.038,1.053,
