Metric:,Average Percent of Last Original Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,0.980,0.981,0.988,0.985,
February 2006,0.982,0.981,0.988,0.987,
March 2006,0.988,0.991,0.995,0.988,
April 2006,0.990,0.990,1.000,0.995,
May 2006,0.994,0.988,1.005,1.002,
June 2006,0.992,0.985,1.008,1.007,
July 2006,0.996,0.987,1.009,1.007,
August 2006,0.994,0.987,1.006,1.002,
September 2006,0.994,0.989,1.002,0.998,
October 2006,0.988,0.986,0.998,0.995,
November 2006,0.977,0.976,0.991,0.987,
December 2006,0.974,0.964,0.986,0.982,
January 2007,0.973,0.962,0.980,0.977,
February 2007,0.980,0.971,0.984,0.978,
March 2007,0.989,0.985,0.992,0.985,
April 2007,0.991,0.994,0.997,0.993,
May 2007,0.990,0.994,0.995,0.999,
June 2007,0.986,0.987,0.993,0.997,
July 2007,0.984,0.971,0.990,0.993,
August 2007,0.979,0.961,0.991,0.986,
September 2007,0.974,0.961,0.989,0.983,
October 2007,0.967,0.965,0.986,0.978,
November 2007,0.958,0.972,0.974,0.973,
December 2007,0.947,0.969,0.965,0.965,
January 2008,0.938,0.964,0.961,0.958,
February 2008,0.935,0.961,0.963,0.963,
March 2008,0.944,0.957,0.966,0.967,
April 2008,0.951,0.961,0.968,0.971,
May 2008,0.953,0.953,0.967,0.967,
June 2008,0.950,0.951,0.964,0.964,
July 2008,0.944,0.945,0.961,0.963,
August 2008,0.938,0.949,0.960,0.960,
September 2008,0.933,0.951,0.957,0.958,
October 2008,0.931,0.957,0.954,0.954,
November 2008,0.927,0.961,0.952,0.948,
December 2008,0.915,0.960,0.942,0.937,
January 2009,0.907,0.957,0.932,0.928,
February 2009,0.910,0.941,0.922,0.926,
March 2009,0.914,0.931,0.928,0.929,
April 2009,0.910,0.923,0.933,0.935,
May 2009,0.916,0.907,0.939,0.940,
June 2009,0.918,0.898,0.947,0.952,
July 2009,0.918,0.894,0.953,0.956,
August 2009,0.914,0.905,0.959,0.956,
September 2009,0.918,0.915,0.958,0.951,
October 2009,0.921,0.905,0.956,0.944,
November 2009,0.923,0.903,0.954,0.947,
December 2009,0.919,0.897,0.949,0.944,
January 2010,0.911,0.913,0.946,0.941,
February 2010,0.911,0.934,0.943,0.935,
March 2010,0.916,0.931,0.952,0.947,
April 2010,0.928,0.934,0.961,0.959,
May 2010,0.930,0.928,0.965,0.957,
June 2010,0.932,0.940,0.965,0.951,
July 2010,0.931,0.924,0.959,0.948,
August 2010,0.930,0.923,0.952,0.951,
September 2010,0.927,0.914,0.946,0.950,
October 2010,0.926,0.923,0.946,0.949,
November 2010,0.925,0.920,0.937,0.939,
December 2010,0.917,0.909,0.934,0.935,
January 2011,0.917,0.913,0.925,0.924,
February 2011,0.910,0.924,0.931,0.920,
March 2011,0.913,0.925,0.932,0.919,
April 2011,0.916,0.920,0.948,0.932,
May 2011,0.928,0.919,0.950,0.943,
