Metric:,Closed Sales
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,447,193,427,89,
February 2006,409,152,390,66,
March 2006,465,144,426,67,
April 2006,530,184,472,78,
May 2006,585,212,498,102,
June 2006,590,235,506,125,
July 2006,583,249,507,125,
August 2006,601,242,516,148,
September 2006,561,232,488,132,
October 2006,549,219,494,126,
November 2006,498,210,469,87,
December 2006,486,195,465,75,
January 2007,443,168,386,66,
February 2007,445,145,362,68,
March 2007,480,153,394,78,
April 2007,561,180,514,94,
May 2007,644,221,565,111,
June 2007,666,248,579,112,
July 2007,653,244,575,109,
August 2007,612,246,584,100,
September 2007,550,191,537,99,
October 2007,471,179,451,99,
November 2007,399,150,390,89,
December 2007,338,148,346,82,
January 2008,315,122,290,63,
February 2008,300,106,254,64,
March 2008,348,112,242,59,
April 2008,368,130,280,69,
May 2008,393,130,313,73,
June 2008,354,129,348,77,
July 2008,371,114,371,72,
August 2008,338,120,334,81,
September 2008,346,122,294,77,
October 2008,326,126,249,74,
November 2008,277,105,219,53,
December 2008,226,83,206,46,
January 2009,155,58,198,42,
February 2009,166,54,187,45,
March 2009,177,58,191,41,
April 2009,215,82,198,52,
May 2009,265,103,238,69,
June 2009,311,123,290,84,
July 2009,379,144,340,97,
August 2009,389,148,351,88,
September 2009,416,143,338,88,
October 2009,424,152,341,71,
November 2009,429,142,342,70,
December 2009,393,129,338,65,
January 2010,316,95,282,56,
February 2010,248,107,254,45,
March 2010,278,126,276,49,
April 2010,331,150,326,69,
May 2010,411,169,371,79,
June 2010,406,172,355,88,
July 2010,381,146,339,81,
August 2010,336,115,303,74,
September 2010,284,83,279,54,
October 2010,264,100,253,43,
November 2010,263,95,242,43,
December 2010,272,105,263,51,
January 2011,254,82,250,49,
February 2011,206,83,243,51,
March 2011,237,100,237,57,
April 2011,290,114,257,73,
May 2011,359,139,306,75,
June 2011,379,156,337,79,
July 2011,375,176,361,70,
August 2011,364,169,361,77,
September 2011,336,160,320,68,
October 2011,336,150,299,73,
November 2011,333,144,256,64,
December 2011,335,125,256,63,
January 2012,291,108,232,54,
February 2012,274,105,230,58,
March 2012,269,117,240,60,
April 2012,312,147,289,74,
May 2012,375,171,362,79,
June 2012,423,198,373,89,
July 2012,435,202,383,92,
August 2012,453,201,351,89,
September 2012,405,162,336,76,
October 2012,422,156,341,71,
November 2012,403,145,339,73,
December 2012,424,163,327,81,
January 2013,369,158,266,74,
February 2013,308,145,258,74,
March 2013,301,147,310,70,
