Metric:,Closed Sales
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,256,92,597,388,
February 2006,247,72,557,343,
March 2006,280,91,594,371,
April 2006,328,100,677,424,
May 2006,365,115,759,493,
June 2006,401,114,823,531,
July 2006,420,111,852,571,
August 2006,446,133,870,590,
September 2006,409,135,765,543,
October 2006,388,117,730,512,
November 2006,342,102,665,441,
December 2006,334,86,664,391,
January 2007,281,85,586,336,
February 2007,256,69,583,314,
March 2007,284,83,611,355,
April 2007,358,139,713,422,
May 2007,417,174,797,500,
June 2007,426,186,880,526,
July 2007,410,170,907,545,
August 2007,378,154,957,522,
September 2007,336,139,846,457,
October 2007,291,124,765,385,
November 2007,243,121,594,332,
December 2007,219,143,538,330,
January 2008,182,122,474,290,
February 2008,187,127,472,270,
March 2008,197,104,513,267,
April 2008,226,124,577,314,
May 2008,241,124,628,345,
June 2008,235,134,631,365,
July 2008,230,119,682,369,
August 2008,204,106,621,362,
September 2008,173,112,594,326,
October 2008,175,115,506,295,
November 2008,148,111,439,240,
December 2008,138,99,385,222,
January 2009,103,86,303,176,
February 2009,108,72,297,170,
March 2009,109,51,289,167,
April 2009,133,54,381,223,
May 2009,161,61,467,278,
June 2009,210,69,574,363,
July 2009,237,75,612,398,
August 2009,250,74,599,410,
September 2009,238,71,567,353,
October 2009,235,89,566,341,
November 2009,238,105,574,342,
December 2009,230,109,538,334,
January 2010,208,91,430,265,
February 2010,176,83,370,220,
March 2010,181,106,376,227,
April 2010,197,124,480,299,
May 2010,232,145,577,374,
June 2010,237,137,587,381,
July 2010,252,126,530,338,
August 2010,229,103,454,257,
September 2010,222,92,403,206,
October 2010,182,86,381,207,
November 2010,172,85,381,225,
December 2010,162,82,402,250,
January 2011,153,82,374,211,
February 2011,162,89,335,191,
March 2011,170,93,361,192,
April 2011,207,104,418,270,
May 2011,219,109,481,318,
June 2011,232,126,493,354,
July 2011,221,126,501,326,
August 2011,226,134,500,321,
September 2011,209,113,437,303,
October 2011,189,111,422,288,
November 2011,175,104,380,268,
December 2011,169,113,391,261,
January 2012,167,99,347,251,
February 2012,153,85,333,239,
March 2012,155,81,375,235,
April 2012,219,112,463,276,
May 2012,284,145,569,321,
June 2012,334,178,621,365,
July 2012,331,165,620,389,
August 2012,313,150,622,404,
September 2012,281,122,594,375,
October 2012,255,129,584,382,
November 2012,238,123,562,359,
December 2012,220,117,510,373,
January 2013,202,95,451,301,
February 2013,180,89,370,267,
March 2013,195,99,404,279,
April 2013,256,110,500,343,
May 2013,332,122,680,405,
June 2013,353,125,757,427,
July 2013,368,132,846,447,
August 2013,358,140,820,476,
September 2013,364,138,773,459,
October 2013,351,138,704,432,
November 2013,301,129,628,372,
December 2013,298,114,587,332,
January 2014,231,95,475,272,
February 2014,216,93,444,238,
March 2014,227,105,465,259,
April 2014,282,136,568,319,
May 2014,326,157,648,388,
June 2014,330,163,716,422,
July 2014,343,151,745,436,
August 2014,338,133,746,424,
September 2014,328,129,729,411,
October 2014,300,141,737,416,
November 2014,287,133,696,402,
December 2014,265,124,644,385,
January 2015,232,93,498,305,
February 2015,218,82,425,276,
March 2015,229,90,449,275,
April 2015,288,114,568,344,
May 2015,338,148,725,417,
June 2015,408,168,812,477,
July 2015,410,272,868,514,
August 2015,402,354,822,510,
September 2015,322,391,763,463,
October 2015,318,290,703,437,
November 2015,287,189,632,379,
December 2015,299,141,580,364,
January 2016,241,119,467,274,
February 2016,229,123,504,245,
March 2016,214,113,563,244,
April 2016,260,136,691,330,
May 2016,300,151,772,407,
June 2016,368,275,827,461,
July 2016,356,390,841,468,
August 2016,377,487,848,467,
September 2016,338,394,775,435,
October 2016,345,284,756,466,
November 2016,325,179,693,460,
December 2016,315,160,656,443,
January 2017,279,136,557,326,
February 2017,237,127,470,269,
March 2017,247,121,527,269,
April 2017,285,132,567,315,
May 2017,369,145,682,382,
June 2017,397,148,731,430,
July 2017,423,149,822,466,
August 2017,418,151,834,481,
September 2017,381,145,797,458,
October 2017,362,157,802,437,
November 2017,332,127,761,422,
December 2017,311,116,690,376,
January 2018,251,75,542,311,
February 2018,200,88,430,251,
March 2018,192,136,418,244,
April 2018,243,175,501,304,
May 2018,296,195,651,356,
June 2018,333,174,725,409,
July 2018,355,153,767,419,
August 2018,314,149,743,415,
September 2018,281,124,637,382,
October 2018,242,135,599,372,
November 2018,244,104,513,327,
December 2018,221,94,513,313,
January 2019,179,76,407,260,
February 2019,154,82,416,247,
March 2019,190,90,449,223,
April 2019,253,109,588,267,
May 2019,337,127,698,327,
June 2019,368,138,776,373,
July 2019,374,140,772,413,
August 2019,351,145,773,407,
September 2019,330,129,702,401,
October 2019,315,119,696,372,
November 2019,274,100,633,371,
December 2019,265,110,658,355,
January 2020,221,106,572,296,
February 2020,229,111,539,238,
March 2020,235,123,547,250,
April 2020,244,120,570,287,
May 2020,218,106,570,316,
June 2020,243,87,618,339,
July 2020,320,107,730,389,
August 2020,382,120,859,424,
September 2020,413,131,915,467,
October 2020,418,118,944,482,
November 2020,404,118,895,486,
December 2020,340,106,841,439,
January 2021,296,115,678,367,
February 2021,301,134,641,324,
March 2021,372,166,659,336,
April 2021,420,189,837,397,
May 2021,455,192,945,487,
June 2021,473,203,1055,537,
July 2021,485,197,1083,593,
August 2021,511,213,1074,567,
September 2021,477,231,966,532,
October 2021,443,236,907,499,
November 2021,364,218,893,468,
December 2021,308,191,853,430,
January 2022,242,160,716,327,
February 2022,224,153,612,275,
March 2022,249,152,665,297,
April 2022,308,173,785,377,
May 2022,359,199,891,473,
June 2022,362,185,878,506,
July 2022,333,162,823,504,
August 2022,296,134,763,467,
September 2022,258,128,675,414,
October 2022,245,126,625,363,
November 2022,221,100,537,314,
December 2022,193,74,485,277,
January 2023,159,59,405,228,
February 2023,138,73,401,213,
March 2023,171,95,430,218,
April 2023,206,116,503,277,
May 2023,239,117,587,328,
June 2023,248,129,623,359,
July 2023,231,130,651,349,
August 2023,230,131,621,329,
September 2023,220,113,548,301,
October 2023,231,104,514,274,
November 2023,199,83,485,236,
December 2023,160,74,468,196,
January 2024,129,64,401,164,
February 2024,161,81,385,167,
March 2024,184,100,452,215,
April 2024,216,113,536,305,
May 2024,248,122,600,402,
June 2024,265,109,593,402,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


