Metric:,Median Days on Market
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,24,29,21,21,
February 2006,23,27,22,20,
March 2006,19,22,20,20,
April 2006,18,22,17,15,
May 2006,17,26,15,15,
June 2006,18,29,14,13,
July 2006,18,25,14,13,
August 2006,18,22,14,15,
September 2006,18,22,15,16,
October 2006,20,25,17,19,
November 2006,23,31,19,20,
December 2006,26,36,24,23,
January 2007,35,39,31,32,
February 2007,36,46,33,34,
March 2007,29,32,26,29,
April 2007,23,28,22,21,
May 2007,23,25,20,17,
June 2007,25,25,19,17,
July 2007,27,27,20,17,
August 2007,27,41,20,20,
September 2007,28,45,20,21,
October 2007,26,45,21,22,
November 2007,35,43,26,22,
December 2007,48,47,33,28,
January 2008,58,49,38,37,
February 2008,70,47,40,38,
March 2008,59,36,36,38,
April 2008,49,35,32,31,
May 2008,45,42,32,28,
June 2008,41,42,32,29,
July 2008,45,42,35,30,
August 2008,52,43,33,31,
September 2008,57,43,34,32,
October 2008,58,42,34,31,
November 2008,53,32,35,30,
December 2008,55,26,38,30,
January 2009,60,33,46,36,
February 2009,66,51,47,40,
March 2009,64,48,40,36,
April 2009,57,39,36,33,
May 2009,56,48,36,33,
June 2009,58,57,34,31,
July 2009,56,60,34,29,
August 2009,56,56,29,29,
September 2009,46,42,31,29,
October 2009,49,56,29,32,
November 2009,52,60,31,31,
December 2009,56,65,34,32,
January 2010,63,47,39,35,
February 2010,60,18,43,36,
March 2010,64,22,33,27,
April 2010,42,28,24,24,
May 2010,38,33,21,23,
June 2010,38,31,20,25,
July 2010,40,39,24,26,
August 2010,40,55,24,26,
September 2010,49,57,27,27,
October 2010,46,42,25,24,
November 2010,40,41,30,30,
December 2010,39,44,36,33,
January 2011,41,48,43,40,
February 2011,49,39,43,46,
March 2011,41,45,35,48,
April 2011,34,38,22,33,
May 2011,28,45,19,21,
June 2011,25,36,18,19,
July 2011,24,36,18,19,
August 2011,29,43,19,23,
September 2011,34,61,19,22,
October 2011,40,64,22,23,
November 2011,50,49,23,25,
December 2011,49,38,28,25,
January 2012,43,29,33,30,
February 2012,39,39,37,29,
March 2012,30,46,24,31,
April 2012,26,35,19,21,
May 2012,20,22,12,17,
June 2012,18,22,10,13,
July 2012,16,22,10,13,
August 2012,13,26,10,12,
September 2012,14,21,11,12,
October 2012,15,21,10,14,
November 2012,18,22,11,15,
December 2012,23,27,14,17,
January 2013,30,25,16,20,
February 2013,23,16,15,20,
March 2013,13,13,8,14,
April 2013,8,12,7,9,
May 2013,8,11,7,8,
June 2013,8,11,7,7,
July 2013,9,11,7,7,
August 2013,9,14,8,8,
September 2013,11,17,8,8,
October 2013,11,18,9,8,
November 2013,12,15,9,11,
December 2013,17,18,11,11,
January 2014,22,21,13,16,
February 2014,20,42,11,15,
March 2014,14,25,8,11,
April 2014,11,13,7,8,
May 2014,9,12,7,8,
June 2014,8,13,7,7,
July 2014,8,13,7,8,
August 2014,9,19,7,8,
September 2014,11,26,8,8,
October 2014,11,28,9,10,
November 2014,11,18,10,11,
December 2014,14,20,10,12,
January 2015,17,25,13,14,
February 2015,14,34,13,18,
March 2015,9,16,8,9,
April 2015,8,11,7,7,
May 2015,8,10,7,7,
June 2015,8,13,7,7,
July 2015,8,6,7,7,
August 2015,9,0,7,8,
September 2015,9,0,8,8,
October 2015,9,0,7,8,
