Metric:,Median Percent of Last List Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,1,1,1,1,
February 2006,1,1,1,0.998,
March 2006,1,1,1,1,
April 2006,1,1,1,1,
May 2006,1,1,1,1,
June 2006,1,1,1,1,
July 2006,1,1,1,1,
August 2006,1,1,1,1,
September 2006,1,1,1,1,
October 2006,1,1,1,1,
November 2006,1,1,1,1,
December 2006,1,1,1,1,
January 2007,1,1,1,1,
February 2007,1,1,1,1,
March 2007,1,1,1,1,
April 2007,1,1,1,1,
May 2007,1,1,1,1,
June 2007,1,1,1,1,
July 2007,1,1,1,1,
August 2007,1,1,1,1,
September 2007,1,1,1,0.995,
October 2007,1,0.997,1,0.996,
November 2007,0.995,0.991,1.000,0.999,
December 2007,0.991,0.984,0.994,1,
January 2008,0.990,0.983,0.988,1,
February 2008,0.988,0.982,0.988,0.995,
March 2008,0.990,0.994,0.986,0.988,
April 2008,0.991,0.988,0.986,0.989,
May 2008,0.992,0.989,0.984,0.986,
June 2008,0.991,0.986,0.986,0.980,
July 2008,0.987,0.984,0.987,0.978,
August 2008,0.984,0.982,0.984,0.977,
September 2008,0.985,0.981,0.981,0.977,
October 2008,0.984,0.982,0.976,0.978,
November 2008,0.985,0.983,0.973,0.978,
December 2008,0.983,0.978,0.970,0.978,
January 2009,0.975,0.975,0.968,0.977,
February 2009,0.971,0.972,0.966,0.981,
March 2009,0.974,0.972,0.970,0.978,
April 2009,0.979,0.972,0.973,0.982,
May 2009,0.979,0.971,0.974,0.982,
June 2009,0.982,0.974,0.975,0.985,
July 2009,0.982,0.981,0.975,0.986,
August 2009,0.984,0.988,0.975,0.991,
September 2009,0.982,0.986,0.974,1,
October 2009,0.984,0.984,0.972,0.990,
November 2009,0.984,0.983,0.970,0.982,
December 2009,0.983,0.983,0.965,0.979,
January 2010,0.980,0.980,0.967,0.974,
February 2010,0.980,0.985,0.974,0.976,
March 2010,0.986,0.983,0.978,0.976,
April 2010,0.988,0.985,0.974,0.987,
May 2010,0.985,0.983,0.973,0.987,
June 2010,0.983,0.986,0.970,0.984,
July 2010,0.980,0.987,0.970,0.981,
August 2010,0.979,0.987,0.971,0.970,
September 2010,0.976,0.986,0.967,0.969,
October 2010,0.973,0.985,0.969,0.955,
November 2010,0.972,0.986,0.969,0.955,
December 2010,0.973,0.984,0.970,0.944,
January 2011,0.975,0.977,0.967,0.957,
February 2011,0.973,0.969,0.965,0.959,
March 2011,0.980,0.972,0.966,0.972,
April 2011,0.982,0.972,0.967,0.969,
May 2011,0.984,0.975,0.966,0.971,
June 2011,0.985,0.977,0.967,0.976,
July 2011,0.984,0.980,0.969,0.980,
August 2011,0.984,0.981,0.970,0.976,
September 2011,0.983,0.981,0.968,0.972,
October 2011,0.984,0.981,0.969,0.971,
November 2011,0.983,0.980,0.971,0.972,
December 2011,0.983,0.987,0.969,0.976,
January 2012,0.983,0.984,0.969,0.995,
February 2012,0.983,0.981,0.967,0.985,
March 2012,0.984,0.974,0.974,0.989,
April 2012,0.985,0.976,0.976,0.994,
May 2012,0.994,0.994,0.982,1,
June 2012,0.997,1,0.984,1,
July 2012,1,1.000,0.99,1,
August 2012,0.998,0.996,0.991,0.987,
September 2012,0.997,0.996,0.992,0.989,
October 2012,0.997,1,1,0.998,
November 2012,1.000,1,0.991,1,
December 2012,0.996,1,0.989,0.986,
January 2013,0.989,1,0.984,0.990,
February 2013,0.993,1,0.983,1,
March 2013,1,1,0.992,1,
April 2013,1,1,1,1,
May 2013,1,1,1,1,
June 2013,1,1,1,1,
July 2013,1,1,1,1,
August 2013,1,1,1,1.000,
September 2013,1,1,1,1,
October 2013,1,1,1,1,
November 2013,1,1,1,1,
December 2013,1,1,1,1,
January 2014,1,1,0.992,1,
February 2014,0.997,1,0.993,1,
March 2014,1,1,1,1,
April 2014,1,1,1,1,
May 2014,1,1,1,1,
June 2014,1,1,1,1,
July 2014,1,1,1,1,
August 2014,1,1,1,1,
September 2014,1,1,1,0.995,
October 2014,1,1,1,1,
November 2014,1,1,1,1,
December 2014,1,1,1,1,
January 2015,0.997,1,1,1,
February 2015,1,1,1,1,
March 2015,1,1,1,1,
April 2015,1,1,1,1,
May 2015,1,1.000,1.000,1.000,
June 2015,1.002,1.011,1.000,1.000,
July 2015,1.000,1.005,1.000,1.000,
August 2015,1.000,1.000,1,1,
September 2015,1.001,1,1,1,
October 2015,1,1,1,1,
November 2015,1,1,1,1,
December 2015,1,1,1,1,
January 2016,1,1,1,1,
February 2016,1,1,1,1,
March 2016,1.001,1.004,1,1,
April 2016,1.009,1.004,1.003,1.046,
May 2016,1.022,1.003,1.012,1.032,
June 2016,1.022,1.000,1.010,1.019,
July 2016,1.021,1.005,1.001,1.010,
August 2016,1.010,1.001,1,1.001,
September 2016,1.001,1.000,1,1,
