Metric:,Median Percent of Last List Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,1,0.996,1,1,
February 2006,1,0.993,1,1,
March 2006,1,1,1,1,
April 2006,1,1,1,1,
May 2006,1,1,1,1,
June 2006,1,1,1,1,
July 2006,1,1,1,1,
August 2006,1,1,1,1,
September 2006,1,1,1,1,
October 2006,1,1,1,1,
November 2006,1,1,1,1,
December 2006,0.997,0.992,1,1,
January 2007,0.995,0.985,1,0.998,
February 2007,1,0.989,1,0.999,
March 2007,1,0.997,1,1,
April 2007,1,1,1,1,
May 2007,1,1,1,1,
June 2007,1,1,1,1,
July 2007,1,0.997,1,1,
August 2007,1,0.988,1,1,
September 2007,1,0.986,1,1,
October 2007,0.993,0.988,1,0.998,
November 2007,0.985,0.989,1,0.992,
December 2007,0.982,0.989,0.992,0.990,
January 2008,0.980,0.989,0.988,0.988,
February 2008,0.983,0.985,0.990,0.987,
March 2008,0.981,0.976,0.990,0.987,
April 2008,0.982,0.979,0.994,0.989,
May 2008,0.982,0.978,0.994,0.989,
June 2008,0.983,0.980,0.993,0.988,
July 2008,0.982,0.970,0.988,0.986,
August 2008,0.978,0.972,0.987,0.984,
September 2008,0.974,0.980,0.984,0.981,
October 2008,0.973,0.985,0.985,0.981,
November 2008,0.972,0.997,0.985,0.979,
December 2008,0.970,0.999,0.984,0.972,
January 2009,0.957,0.997,0.973,0.963,
February 2009,0.957,0.983,0.972,0.965,
March 2009,0.957,0.960,0.972,0.970,
April 2009,0.955,0.964,0.976,0.975,
May 2009,0.965,0.958,0.977,0.971,
June 2009,0.968,0.961,0.983,0.977,
July 2009,0.970,0.961,0.986,0.979,
August 2009,0.967,0.964,0.988,0.982,
September 2009,0.971,0.966,0.988,0.982,
October 2009,0.971,0.964,0.987,0.982,
November 2009,0.975,0.965,0.985,0.983,
December 2009,0.971,0.964,0.984,0.981,
January 2010,0.968,0.975,0.981,0.979,
February 2010,0.964,0.975,0.980,0.975,
March 2010,0.967,0.966,0.985,0.98,
April 2010,0.973,0.969,0.990,0.983,
May 2010,0.981,0.970,0.990,0.983,
June 2010,0.978,0.978,0.988,0.983,
July 2010,0.976,0.975,0.984,0.982,
August 2010,0.970,0.966,0.98,0.983,
September 2010,0.970,0.962,0.977,0.983,
October 2010,0.969,0.964,0.979,0.981,
