Metric:,Median Sales Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,470000,425000,399500,397000,
February 2006,443000,410450,399950,400000,
March 2006,450000,394500,400000,425000,
April 2006,470500,397500,412000,414500,
May 2006,485000,394500,422600,432000,
June 2006,483000,395250,427000,430000,
July 2006,482500,396000,438250,440000,
August 2006,499500,420000,440000,425000,
September 2006,482500,429900,440000,416000,
October 2006,501250,450000,438500,420000,
November 2006,499975,434250,439950,432000,
December 2006,500750,405000,439975,435000,
January 2007,485000,380000,437000,431500,
February 2007,472995,379000,430000,425000,
March 2007,491250,412000,439950,425000,
April 2007,502250,430995,441000,451000,
May 2007,504500,413250,450000,475000,
June 2007,480000,410500,444850,483500,
July 2007,502950,400000,448500,490000,
August 2007,523000,430475,429725,479500,
September 2007,528500,435000,418500,479000,
October 2007,510000,425000,399950,456000,
November 2007,495000,425000,425000,459000,
December 2007,500000,459000,431500,445000,
January 2008,499950,476200,440000,435000,
February 2008,512000,455000,418500,435000,
March 2008,492000,420000,419000,425000,
April 2008,493500,402313,425000,425000,
May 2008,505000,415475,438000,435000,
June 2008,542500,419450,447000,448000,
July 2008,523655,418900,436950,460000,
August 2008,473750,428500,427500,439975,
September 2008,440000,378500,422500,425000,
October 2008,437000,381900,419975,412766,
November 2008,447500,378500,400000,415000,
December 2008,475000,435000,395000,425000,
January 2009,485000,463050,385950,431000,
February 2009,464500,453500,390000,413500,
March 2009,457000,425000,370000,386000,
April 2009,475000,412500,379500,397500,
May 2009,470000,410000,374950,390490,
June 2009,475000,395000,385000,399000,
July 2009,473000,410000,385000,400000,
August 2009,473250,407500,389950,402500,
September 2009,455000,390000,395500,400000,
October 2009,470000,375000,399950,400000,
November 2009,455000,359500,394750,400000,
December 2009,452000,370000,379150,405000,
January 2010,442250,385000,375000,401500,
February 2010,452000,400000,385000,395000,
March 2010,480000,360500,395000,390000,
April 2010,439000,359000,392000,399000,
May 2010,447500,358000,387500,409000,
June 2010,439000,370000,390000,400000,
July 2010,487500,386250,399250,412000,
August 2010,485000,392500,410000,406500,
September 2010,435000,393250,412000,417500,
October 2010,425000,410350,406000,410000,
November 2010,425000,399500,403000,409500,
December 2010,457000,400000,400000,410000,
January 2011,439900,363000,388475,399000,
February 2011,412500,400000,377000,384950,
March 2011,412250,422000,365000,360250,
April 2011,399950,444615,371250,373050,
May 2011,425000,410000,376000,390000,
June 2011,424500,367500,378000,402600,
July 2011,450000,367500,380000,400000,
August 2011,442500,351400,378000,393000,
September 2011,470000,350000,385000,380000,
October 2011,440000,368000,380000,377700,
November 2011,419000,381500,375950,377700,
December 2011,385000,395000,375313,360000,
January 2012,405000,385000,365000,360000,
February 2012,425000,385000,363000,345000,
March 2012,459500,365000,368000,375000,
April 2012,450000,389500,385000,404944,
May 2012,469500,439000,390000,427500,
June 2012,456900,435000,400000,426000,
July 2012,458000,430000,409950,420000,
August 2012,440000,400000,410000,416650,
September 2012,458000,385000,405050,402000,
October 2012,452500,397100,405000,399500,
November 2012,451250,424000,405000,390000,
December 2012,440000,450000,411500,422000,
January 2013,493000,472000,411000,400000,
February 2013,504500,439000,415000,400000,
March 2013,484440,480000,425000,395000,
April 2013,478750,487500,431000,406000,
May 2013,499500,447500,435000,423000,
June 2013,515000,407000,430000,430000,
July 2013,525000,399750,440500,451000,
August 2013,524750,416000,450000,453100,
September 2013,528250,399475,455000,450000,
October 2013,520000,387000,452629,440000,
November 2013,530000,375000,450000,426250,
December 2013,524500,387500,450000,426750,
January 2014,519000,425000,449950,449975,
February 2014,533500,457500,458250,467250,
March 2014,514950,465000,459000,461100,
April 2014,510250,468250,451600,449950,
May 2014,519500,449000,466000,462000,
June 2014,569000,439000,480000,470500,
July 2014,585500,438000,500000,488500,
August 2014,554729,400000,500000,496550,
September 2014,530000,400000,505000,485000,
October 2014,554500,400000,499000,499000,
November 2014,540000,400000,500000,495000,
December 2014,530000,389500,499975,495900,
January 2015,518250,385000,500000,495000,
February 2015,550000,444975,506000,489000,
March 2015,570500,470000,518250,499950,
April 2015,563900,465000,535000,522750,
May 2015,585000,425000,544500,549500,
June 2015,612500,437000,557000,540000,
July 2015,618750,505050,550200,528694,
August 2015,600500,591540,555000,535000,
September 2015,574500,632100,553000,550000,
October 2015,563750,695200,555000,550000,
November 2015,605000,649500,552750,530000,
December 2015,650000,555000,560000,533500,
January 2016,668000,580000,574000,550000,
February 2016,685000,580000,550000,573000,
March 2016,678500,580000,539950,597500,
April 2016,665000,615900,559900,622050,
May 2016,647500,585000,605000,621000,
June 2016,663750,573900,631500,638000,
July 2016,685000,614000,639000,648250,
August 2016,700750,688900,630001,630000,
September 2016,694500,733700,616800,606000,
October 2016,694500,791050,610000,610000,
November 2016,699000,610000,610000,610000,
December 2016,709400,560028,623350,620000,
January 2017,720000,575000,640000,607500,
February 2017,715000,599000,669000,645000,
March 2017,729950,610000,695000,660000,
April 2017,774950,594975,699000,698000,
May 2017,740000,595000,705000,725000,
June 2017,744950,600000,724950,765000,
July 2017,750000,630000,729975,780000,
August 2017,815000,633000,724950,776000,
September 2017,825000,660000,710000,764500,
October 2017,825000,649000,703840,725000,
November 2017,780000,660000,716000,725000,
December 2017,790000,681000,713000,715495,
January 2018,785000,700000,720000,735000,
February 2018,765939,732500,717775,736000,
March 2018,805000,675000,773000,782000,
April 2018,835000,680000,805000,786500,
May 2018,876853,681900,825000,784250,
June 2018,897000,711000,819950,770000,
July 2018,897000,715000,775000,775000,
August 2018,900000,686000,750000,790000,
September 2018,879500,655000,750000,797475,
October 2018,889000,659950,756130,773200,
November 2018,861000,652500,759900,751000,
December 2018,850000,675000,748880,725000,
January 2019,819000,637500,727000,706500,
February 2019,789750,659500,720000,695500,
March 2019,777000,659500,730000,719950,
April 2019,810000,650000,740000,767000,
May 2019,835000,645000,755000,793000,
June 2019,870500,639500,755000,780000,
July 2019,875000,642500,748475,760000,
August 2019,871500,658000,739950,720000,
September 2019,844975,625000,729500,716000,
October 2019,860000,642000,726940,747475,
November 2019,865000,603500,725000,750000,
December 2019,865000,637500,710000,750000,
January 2020,850000,619000,712500,732475,
February 2020,845000,649900,710000,750000,
March 2020,825000,649950,745000,773000,
April 2020,838750,675205,750000,799000,
May 2020,905000,675205,759950,812500,
