Metric:,Pending Sales
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,420,150,391,72,
February 2006,414,143,398,60,
March 2006,538,184,454,82,
April 2006,557,239,482,101,
May 2006,625,262,514,119,
June 2006,585,273,521,137,
July 2006,585,245,504,139,
August 2006,561,232,524,138,
September 2006,554,212,491,113,
October 2006,554,195,512,96,
November 2006,506,179,465,82,
December 2006,448,152,408,71,
January 2007,439,146,354,64,
February 2007,464,152,347,72,
March 2007,525,186,442,88,
April 2007,608,209,554,111,
May 2007,667,239,610,111,
June 2007,670,239,641,111,
July 2007,619,243,570,103,
August 2007,543,205,525,103,
September 2007,466,166,408,89,
October 2007,409,153,384,89,
November 2007,347,142,352,78,
December 2007,320,137,340,79,
January 2008,296,104,268,61,
February 2008,330,103,250,67,
March 2008,360,109,257,66,
April 2008,379,132,299,75,
May 2008,379,135,324,71,
June 2008,363,124,357,79,
July 2008,369,124,370,85,
August 2008,361,121,326,78,
September 2008,357,128,271,61,
October 2008,292,108,223,50,
November 2008,232,85,207,47,
December 2008,179,59,187,47,
January 2009,172,55,186,47,
February 2009,190,57,183,51,
March 2009,213,85,212,57,
April 2009,259,104,263,79,
May 2009,306,131,320,86,
June 2009,361,137,352,90,
July 2009,415,138,330,88,
August 2009,430,143,320,82,
September 2009,445,154,342,80,
October 2009,412,158,359,68,
November 2009,373,133,341,67,
December 2009,320,107,288,58,
January 2010,267,101,254,43,
February 2010,283,126,269,48,
March 2010,341,150,326,65,
April 2010,458,183,405,92,
May 2010,430,168,384,94,
June 2010,371,144,337,85,
July 2010,274,95,262,68,
August 2010,277,83,282,51,
September 2010,270,99,262,42,
October 2010,290,104,278,42,
November 2010,270,98,257,50,
December 2010,244,80,249,49,
January 2011,209,89,226,50,
February 2011,246,112,232,58,
March 2011,313,124,276,77,
April 2011,362,144,319,81,
May 2011,383,157,365,81,
June 2011,368,172,357,71,
July 2011,360,163,341,72,
August 2011,360,166,297,67,
September 2011,350,160,294,72,
October 2011,356,156,273,63,
November 2011,322,127,261,75,
December 2011,288,108,232,57,
January 2012,257,100,225,64,
February 2012,293,128,259,61,
March 2012,368,167,325,89,
April 2012,418,193,371,88,
May 2012,443,220,388,96,
June 2012,447,205,358,94,
July 2012,441,189,350,85,
August 2012,412,153,333,71,
September 2012,400,142,337,63,
October 2012,417,159,346,81,
November 2012,391,162,307,80,
December 2012,336,160,260,79,
January 2013,286,144,252,75,
February 2013,311,148,299,77,
March 2013,385,175,396,87,
April 2013,437,186,438,93,
May 2013,467,205,506,105,
June 2013,483,211,481,107,
July 2013,470,226,480,111,
August 2013,465,232,411,103,
September 2013,464,207,420,104,
October 2013,476,206,383,96,
November 2013,431,167,381,97,
December 2013,347,163,299,78,
January 2014,308,137,278,74,
February 2014,341,132,251,72,
March 2014,417,143,323,100,
April 2014,498,155,362,121,
May 2014,529,182,441,132,
June 2014,566,206,468,118,
July 2014,550,220,467,111,
August 2014,550,209,426,104,
September 2014,510,180,401,110,
October 2014,489,184,422,104,
November 2014,442,180,385,94,
December 2014,388,169,310,78,
January 2015,364,142,275,67,
February 2015,391,149,283,72,
March 2015,507,199,370,84,
April 2015,573,233,422,106,
May 2015,634,248,498,124,
June 2015,633,233,548,140,
July 2015,600,213,542,138,
August 2015,572,198,513,138,
September 2015,521,191,460,137,
October 2015,521,204,429,126,
November 2015,480,190,403,118,
December 2015,399,151,332,87,
January 2016,357,107,293,74,
February 2016,361,127,309,68,
March 2016,443,180,407,91,
April 2016,506,217,486,122,
May 2016,587,250,541,139,
June 2016,645,253,553,149,
July 2016,648,246,527,138,
August 2016,620,224,504,130,
September 2016,570,220,453,121,
October 2016,579,227,458,115,
November 2016,508,216,398,98,
December 2016,425,185,332,84,
January 2017,328,175,281,75,
February 2017,340,178,268,92,
March 2017,435,192,356,102,
April 2017,524,210,400,116,
May 2017,596,238,490,125,
June 2017,628,268,500,138,
July 2017,624,269,489,134,
August 2017,578,248,457,130,
September 2017,532,210,451,118,
October 2017,501,188,462,139,
November 2017,480,180,415,142,
December 2017,393,169,306,151,
January 2018,337,155,251,133,
February 2018,324,156,256,116,
March 2018,438,182,352,109,
April 2018,526,198,396,112,
May 2018,597,203,446,120,
June 2018,568,187,471,122,
July 2018,536,198,458,118,
August 2018,469,170,416,119,
September 2018,431,155,352,105,
October 2018,412,141,344,106,
November 2018,402,148,322,95,
December 2018,357,139,287,89,
January 2019,364,137,268,80,
February 2019,334,132,270,88,
March 2019,456,172,323,117,
April 2019,494,178,371,131,
May 2019,613,194,434,141,
June 2019,613,192,455,130,
July 2019,581,183,442,132,
August 2019,510,178,415,117,
September 2019,438,163,391,124,
October 2019,464,171,379,126,
November 2019,447,158,361,141,
December 2019,400,136,321,116,
January 2020,333,116,308,119,
February 2020,349,119,327,119,
March 2020,394,141,349,137,
April 2020,383,141,337,127,
May 2020,379,171,323,127,
June 2020,447,186,394,133,
July 2020,559,234,462,146,
August 2020,640,248,508,145,
September 2020,664,255,501,146,
October 2020,645,247,488,149,
November 2020,597,214,447,138,
December 2020,520,182,388,121,
January 2021,495,159,380,118,
February 2021,489,148,396,134,
March 2021,576,185,511,173,
April 2021,642,203,597,180,
May 2021,726,239,680,204,
June 2021,725,246,664,185,
July 2021,689,241,647,175,
August 2021,652,237,602,151,
September 2021,611,230,559,153,
October 2021,606,240,517,161,
