Metric:,Pending Sales
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,245,79,601,367,
February 2006,264,91,582,343,
March 2006,325,117,708,422,
April 2006,392,122,780,466,
May 2006,410,125,875,553,
June 2006,423,133,899,577,
July 2006,404,142,881,568,
August 2006,396,149,817,529,
September 2006,382,114,722,484,
October 2006,364,109,705,459,
November 2006,337,92,657,411,
December 2006,291,94,602,364,
January 2007,251,86,567,336,
February 2007,274,88,611,345,
March 2007,339,126,725,412,
April 2007,386,158,800,476,
May 2007,410,193,865,510,
June 2007,387,191,868,545,
July 2007,391,177,865,502,
August 2007,338,146,765,479,
September 2007,294,120,675,375,
October 2007,238,111,592,358,
November 2007,226,108,546,323,
December 2007,202,98,483,303,
January 2008,194,87,467,261,
February 2008,185,85,464,272,
March 2008,230,107,560,303,
April 2008,250,130,604,362,
May 2008,248,142,658,363,
June 2008,219,134,684,383,
July 2008,204,113,658,360,
August 2008,185,101,592,333,
September 2008,183,103,523,296,
October 2008,163,97,468,260,
November 2008,145,89,422,230,
December 2008,107,70,326,188,
January 2009,101,63,322,177,
February 2009,115,54,304,174,
March 2009,142,52,392,223,
April 2009,169,58,475,280,
May 2009,199,69,592,378,
June 2009,244,70,615,406,
July 2009,256,76,582,397,
August 2009,246,72,545,345,
September 2009,225,96,558,342,
October 2009,242,113,586,363,
November 2009,233,111,530,325,
December 2009,209,93,436,264,
January 2010,180,82,348,199,
February 2010,181,97,379,227,
March 2010,213,113,482,303,
April 2010,264,160,645,400,
May 2010,266,147,625,392,
June 2010,257,136,538,342,
July 2010,204,88,414,234,
August 2010,198,97,399,207,
September 2010,176,90,398,211,
October 2010,172,81,389,253,
November 2010,154,74,398,254,
December 2010,154,76,368,210,
January 2011,160,93,356,184,
February 2011,178,96,364,203,
March 2011,208,106,439,278,
April 2011,212,104,468,307,
May 2011,230,124,505,329,
June 2011,224,130,499,326,
