Metric:,Average Days on Market
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,40,41,42,31,
February 2006,45,44,48,34,
March 2006,46,45,50,36,
April 2006,42,42,46,35,
May 2006,37,40,40,37,
June 2006,33,35,38,35,
July 2006,32,34,37,37,
August 2006,32,30,37,32,
September 2006,35,31,35,33,
October 2006,35,30,35,31,
November 2006,38,31,38,34,
December 2006,41,33,42,36,
January 2007,49,43,46,47,
February 2007,54,47,52,43,
March 2007,51,50,54,50,
April 2007,46,47,51,44,
May 2007,41,47,48,43,
June 2007,39,44,45,39,
July 2007,36,40,40,42,
August 2007,38,37,41,47,
September 2007,40,35,45,46,
October 2007,47,43,52,45,
November 2007,55,46,54,42,
December 2007,60,53,57,43,
January 2008,63,52,59,48,
February 2008,65,65,69,52,
March 2008,68,64,72,54,
April 2008,68,70,70,47,
May 2008,65,66,63,54,
June 2008,63,65,60,59,
July 2008,60,63,60,68,
August 2008,64,60,61,70,
September 2008,60,61,62,77,
October 2008,64,58,66,80,
November 2008,59,58,71,78,
December 2008,68,61,71,63,
January 2009,69,65,63,52,
February 2009,83,80,63,66,
March 2009,80,76,61,75,
April 2009,70,69,69,77,
May 2009,68,64,72,64,
June 2009,60,61,65,65,
July 2009,62,66,64,74,
August 2009,61,67,63,73,
September 2009,68,66,71,67,
October 2009,70,57,71,48,
November 2009,68,61,72,51,
December 2009,64,62,70,58,
January 2010,71,79,70,62,
February 2010,74,70,67,63,
March 2010,70,62,70,52,
April 2010,63,61,68,52,
May 2010,61,53,66,51,
June 2010,66,54,64,44,
July 2010,66,45,61,41,
August 2010,70,49,63,44,
September 2010,72,56,68,61,
October 2010,73,63,71,71,
November 2010,69,69,70,64,
December 2010,64,67,72,59,
January 2011,66,73,76,65,
February 2011,71,79,86,70,
March 2011,76,68,92,68,
April 2011,69,72,92,62,
May 2011,65,63,86,61,
