Metric:,Average Price Per Square Foot
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,328,521,257,239,
February 2006,326,505,258,240,
March 2006,333,492,262,246,
April 2006,332,492,262,256,
May 2006,343,498,266,262,
June 2006,345,507,274,270,
July 2006,349,515,281,276,
August 2006,349,537,286,280,
September 2006,355,564,285,287,
October 2006,358,575,289,285,
November 2006,361,578,285,285,
December 2006,364,546,289,275,
January 2007,369,537,293,275,
February 2007,377,535,301,275,
March 2007,374,549,304,282,
April 2007,373,553,306,285,
May 2007,370,558,310,288,
June 2007,375,557,312,292,
July 2007,387,572,313,291,
August 2007,394,568,322,299,
September 2007,397,568,325,300,
October 2007,388,566,323,309,
November 2007,380,556,310,299,
December 2007,376,571,298,288,
January 2008,377,576,298,276,
February 2008,371,583,299,278,
March 2008,372,574,307,279,
April 2008,368,548,305,278,
May 2008,372,546,305,281,
June 2008,361,558,301,282,
July 2008,361,560,299,282,
August 2008,361,565,296,271,
September 2008,363,524,292,271,
October 2008,349,535,283,268,
November 2008,342,561,280,268,
December 2008,333,744,272,259,
January 2009,326,828,272,256,
February 2009,323,828,273,252,
March 2009,314,639,269,244,
April 2009,311,523,263,242,
May 2009,306,523,260,244,
June 2009,312,504,257,253,
July 2009,314,505,259,255,
August 2009,308,481,260,254,
September 2009,301,477,261,248,
October 2009,300,456,258,248,
November 2009,298,453,255,249,
December 2009,292,456,252,250,
January 2010,291,482,251,246,
February 2010,301,491,251,249,
March 2010,302,466,254,251,
April 2010,303,449,256,251,
May 2010,301,455,255,249,
June 2010,306,466,259,244,
July 2010,303,467,259,246,
August 2010,295,473,256,239,
September 2010,287,456,247,242,
October 2010,275,473,242,242,
November 2010,277,465,240,237,
December 2010,272,468,240,239,
January 2011,281,428,236,227,
February 2011,273,440,236,227,
March 2011,282,459,233,215,
April 2011,282,482,234,225,
May 2011,275,465,235,227,
June 2011,268,456,240,226,
July 2011,262,454,238,224,
August 2011,267,442,237,223,
September 2011,268,422,229,225,
October 2011,263,411,228,220,
November 2011,260,412,225,213,
December 2011,257,426,225,209,
January 2012,259,420,225,211,
February 2012,258,417,225,214,
March 2012,260,431,232,217,
April 2012,277,427,238,221,
May 2012,282,474,242,224,
June 2012,283,471,247,228,
July 2012,281,477,247,232,
August 2012,279,453,249,235,
September 2012,282,445,250,235,
October 2012,278,455,253,236,
November 2012,278,480,255,232,
December 2012,277,493,252,230,
January 2013,285,521,250,224,
February 2013,295,505,250,229,
March 2013,294,533,265,238,
April 2013,313,528,274,244,
May 2013,312,516,278,249,
June 2013,322,484,278,256,
July 2013,319,477,279,260,
August 2013,326,477,280,260,
September 2013,323,470,282,262,
October 2013,322,482,285,260,
November 2013,323,487,285,255,
December 2013,323,506,284,247,
January 2014,320,507,283,246,
February 2014,322,548,284,249,
March 2014,331,547,297,254,
April 2014,343,551,300,259,
May 2014,347,525,303,267,
June 2014,358,535,307,274,
July 2014,360,538,308,281,
August 2014,361,546,309,287,
September 2014,367,532,306,288,
October 2014,364,519,306,284,
November 2014,362,520,303,281,
December 2014,342,516,301,280,
January 2015,344,507,299,283,
February 2015,345,513,309,288,
March 2015,365,539,324,298,
April 2015,378,551,337,311,
May 2015,386,553,341,317,
June 2015,393,572,343,322,
July 2015,394,580,345,317,
August 2015,399,633,349,317,
September 2015,403,669,354,316,
October 2015,407,706,357,327,
November 2015,410,688,358,331,
December 2015,405,627,356,332,
January 2016,410,637,357,326,
February 2016,416,655,388,330,
March 2016,433,665,409,347,
April 2016,449,670,413,360,
May 2016,451,669,401,360,
June 2016,454,638,397,358,
July 2016,450,663,398,360,
August 2016,454,709,399,358,
September 2016,455,760,401,357,
October 2016,453,779,397,359,
November 2016,449,730,393,360,
December 2016,457,699,393,365,
January 2017,470,719,398,365,
February 2017,490,728,415,381,
March 2017,500,744,438,405,
April 2017,503,723,445,417,
May 2017,505,732,455,424,
