Metric:,Homes for Sale
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,238,86,440,237,
February 2006,232,83,405,231,
March 2006,245,92,415,240,
April 2006,244,99,420,261,
May 2006,251,114,437,275,
June 2006,262,126,452,306,
July 2006,290,144,476,320,
August 2006,316,152,498,328,
September 2006,352,158,547,336,
October 2006,370,163,595,348,
November 2006,382,171,616,356,
December 2006,344,170,550,314,
January 2007,324,183,496,276,
February 2007,313,201,454,251,
March 2007,339,233,491,263,
April 2007,371,265,522,271,
May 2007,399,300,578,297,
June 2007,455,347,624,331,
July 2007,495,378,668,359,
August 2007,526,408,713,378,
September 2007,558,424,812,428,
October 2007,584,446,900,476,
November 2007,589,455,936,499,
December 2007,528,441,848,446,
January 2008,480,430,794,407,
February 2008,472,427,802,395,
March 2008,506,446,881,440,
April 2008,544,463,940,477,
May 2008,591,474,987,517,
June 2008,636,475,1026,543,
July 2008,666,460,1038,557,
August 2008,660,445,1040,553,
September 2008,648,431,1062,556,
October 2008,633,429,1053,559,
November 2008,614,421,1010,548,
December 2008,566,403,873,496,
January 2009,535,390,777,458,
February 2009,538,395,737,458,
March 2009,571,417,778,494,
April 2009,593,437,821,524,
May 2009,608,450,825,523,
June 2009,607,461,828,517,
July 2009,617,463,836,511,
August 2009,614,467,850,520,
September 2009,632,461,850,524,
October 2009,625,451,819,516,
November 2009,597,428,751,479,
December 2009,530,389,648,416,
January 2010,486,384,597,387,
February 2010,480,395,618,400,
March 2010,523,435,728,458,
April 2010,570,449,811,499,
May 2010,605,430,855,516,
June 2010,618,400,860,509,
July 2010,610,371,860,517,
August 2010,603,368,882,535,
September 2010,598,366,884,557,
October 2010,578,358,853,545,
November 2010,536,341,779,512,
December 2010,471,314,679,455,
January 2011,423,287,593,408,
February 2011,394,276,548,379,
March 2011,391,283,543,378,
April 2011,407,296,571,399,
May 2011,420,301,585,426,
June 2011,442,304,603,450,
July 2011,444,299,590,452,
August 2011,441,290,588,438,
September 2011,425,269,589,430,
October 2011,410,247,594,410,
November 2011,394,225,565,390,
December 2011,364,203,496,345,
January 2012,335,187,436,309,
February 2012,314,176,393,280,
March 2012,310,172,379,270,
April 2012,309,174,378,271,
May 2012,310,170,388,273,
June 2012,307,168,405,279,
July 2012,307,165,408,284,
August 2012,301,165,400,282,
September 2012,298,163,388,284,
October 2012,284,150,363,270,
November 2012,264,138,327,247,
December 2012,231,122,269,208,
January 2013,207,112,219,180,
February 2013,197,107,201,164,
March 2013,201,103,211,158,
April 2013,213,106,237,158,
May 2013,224,119,272,175,
June 2013,236,132,306,199,
July 2013,244,139,339,223,
August 2013,254,135,354,237,
September 2013,269,134,371,239,
October 2013,271,138,368,236,
November 2013,250,134,337,213,
December 2013,213,129,273,179,
January 2014,185,117,232,147,
February 2014,172,116,211,134,
March 2014,170,118,218,133,
April 2014,173,126,217,135,
May 2014,186,129,243,150,
June 2014,192,136,280,162,
July 2014,204,146,324,184,
August 2014,200,149,343,193,
September 2014,209,144,343,210,
October 2014,201,137,329,218,
November 2014,193,127,301,202,
December 2014,156,110,254,161,
January 2015,130,105,203,123,
February 2015,115,104,179,109,
March 2015,122,112,178,116,
April 2015,128,114,192,117,
May 2015,130,112,203,123,
June 2015,134,104,212,133,
July 2015,131,95,219,138,
August 2015,134,96,213,146,
September 2015,139,113,216,143,
October 2015,144,128,207,144,
November 2015,137,136,186,121,
December 2015,111,118,139,92,
January 2016,95,100,119,70,
February 2016,94,88,113,70,
March 2016,110,88,133,83,
April 2016,127,91,144,101,
May 2016,137,92,154,104,
June 2016,145,97,156,105,
July 2016,152,92,170,107,
August 2016,153,92,176,117,
September 2016,156,91,205,140,
October 2016,146,89,194,144,
November 2016,127,79,181,130,
December 2016,97,64,129,93,
January 2017,78,56,100,67,
February 2017,79,51,87,60,
March 2017,94,57,90,66,
April 2017,107,61,95,71,
May 2017,111,67,103,78,
June 2017,113,69,108,86,
July 2017,110,72,128,93,
August 2017,111,72,133,97,
September 2017,120,72,152,109,
October 2017,130,71,142,114,
November 2017,129,71,127,106,
December 2017,102,63,86,77,
January 2018,77,58,65,65,
February 2018,68,62,62,66,
March 2018,81,74,86,76,
April 2018,98,92,115,84,
May 2018,118,113,165,99,
June 2018,139,143,215,122,
July 2018,168,156,264,151,
August 2018,194,165,299,167,
September 2018,235,160,356,196,
October 2018,256,183,395,215,
November 2018,266,192,404,224,
December 2018,230,188,341,186,
January 2019,206,167,285,146,
February 2019,197,156,252,124,
March 2019,211,174,277,134,
April 2019,225,195,316,163,
May 2019,258,224,379,206,
June 2019,291,238,428,246,
July 2019,305,238,452,269,
August 2019,278,230,441,269,
September 2019,257,219,447,275,
October 2019,246,220,446,258,
November 2019,227,208,406,228,
December 2019,177,184,313,164,
January 2020,131,156,224,120,
February 2020,114,146,190,101,
March 2020,134,159,201,117,
April 2020,158,177,234,138,
May 2020,183,196,267,151,
June 2020,195,225,294,154,
July 2020,223,263,312,159,
August 2020,252,315,333,173,
September 2020,291,348,366,194,
October 2020,313,359,388,215,
November 2020,316,334,364,210,
December 2020,274,291,296,182,
January 2021,225,249,240,141,
February 2021,178,225,208,114,
March 2021,162,220,204,107,
April 2021,161,211,207,112,
May 2021,167,196,218,117,
June 2021,181,182,236,122,
July 2021,191,184,252,133,
August 2021,190,185,259,139,
September 2021,177,186,263,149,
October 2021,158,179,250,137,
November 2021,139,172,219,120,
December 2021,113,150,158,85,
January 2022,84,124,104,63,
February 2022,69,112,102,56,
March 2022,70,120,122,66,
April 2022,90,138,157,81,
May 2022,116,158,180,100,
June 2022,164,185,243,132,
July 2022,198,207,306,167,
August 2022,223,216,350,188,
September 2022,229,208,380,205,
October 2022,227,200,391,210,
November 2022,216,192,384,211,
December 2022,177,169,319,177,
January 2023,146,146,254,138,
February 2023,120,133,209,116,
March 2023,120,140,209,125,
April 2023,123,149,213,136,
May 2023,133,159,239,142,
June 2023,146,168,267,144,
July 2023,158,179,284,155,
August 2023,165,182,291,160,
September 2023,173,186,305,167,
October 2023,180,193,319,162,
November 2023,185,190,314,154,
December 2023,163,168,260,124,
January 2024,136,146,219,109,
February 2024,120,143,199,108,
March 2024,132,156,216,130,
April 2024,162,176,247,148,
May 2024,195,207,307,185,
June 2024,233,236,367,214,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


