Date,Average Days on Market,Average Percent of Last List Price,Average Percent of Last Original Price,Average Price Per Square Foot,Average Sales Price,Closed Sales,Homes for Sale,Median Days on Market,Median Percent of Last List Price,Median Percent of Last Original Price,Median Price Per Square Foot,Median Sales Price,Months Supply of Inventory (Closed),Months Supply of Inventory (Pending),New Listings,Pending Sales
2006-01-01,35.0,0.995,0.98,328.0,534141.0,256.0,238.0,24.0,1.0,0.99,307.0,470000.0,1.8,1.8,332.0,245.0
2006-02-01,36.0,0.992,0.982,326.0,512625.0,247.0,232.0,23.0,1.0,1.0,305.0,443000.0,1.8,1.8,366.0,264.0
2006-03-01,36.0,0.996,0.988,333.0,541791.0,280.0,245.0,19.0,1.0,1.0,304.0,450000.0,1.9,1.9,478.0,325.0
2006-04-01,35.0,0.998,0.99,332.0,548525.0,328.0,244.0,18.0,1.0,1.0,307.0,470500.0,2.0,2.0,518.0,392.0
2006-05-01,33.0,1.002,0.994,343.0,567723.0,365.0,251.0,17.0,1.0,1.0,328.0,485000.0,2.1,2.0,567.0,410.0
2006-06-01,30.0,0.999,0.992,345.0,562030.0,401.0,262.0,18.0,1.0,1.0,333.0,483000.0,2.2,2.1,592.0,423.0
2006-07-01,28.0,1.001,0.996,349.0,563022.0,420.0,290.0,18.0,1.0,1.0,345.0,482500.0,2.4,2.4,611.0,404.0
2006-08-01,29.0,1.001,0.994,349.0,558682.0,446.0,316.0,18.0,1.0,1.0,338.0,499500.0,2.6,2.6,616.0,396.0
2006-09-01,30.0,1.001,0.994,355.0,548084.0,409.0,352.0,18.0,1.0,1.0,349.0,482500.0,3.0,3.0,657.0,382.0
2006-10-01,31.0,0.998,0.988,358.0,558433.0,388.0,370.0,20.0,1.0,1.0,347.0,501250.0,3.2,3.1,612.0,364.0
2006-11-01,37.0,0.993,0.977,361.0,570530.0,342.0,382.0,23.0,1.0,0.987,353.0,499975.0,3.3,3.3,565.0,337.0
2006-12-01,40.0,0.992,0.974,364.0,570435.0,334.0,344.0,26.0,0.997,0.984,356.0,500750.0,2.9,2.9,375.0,291.0
