Metric:,Average Percent of Last Original Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,0.978,0.979,0.976,0.985,
February 2006,0.979,0.981,0.983,0.981,
March 2006,0.985,0.995,0.993,0.986,
April 2006,0.990,1.000,0.999,0.984,
May 2006,0.993,1.000,0.996,0.988,
June 2006,0.996,1.004,0.992,0.986,
July 2006,0.996,1.000,0.992,0.984,
August 2006,0.995,0.997,0.991,0.984,
September 2006,0.989,0.994,0.989,0.991,
October 2006,0.986,0.993,0.985,0.997,
November 2006,0.981,0.991,0.982,0.996,
December 2006,0.975,0.983,0.977,0.984,
January 2007,0.969,0.976,0.974,0.971,
February 2007,0.971,0.977,0.978,0.976,
March 2007,0.980,0.980,0.987,0.973,
April 2007,0.991,0.975,0.992,0.989,
May 2007,0.995,0.972,0.991,0.989,
June 2007,0.994,0.975,0.986,0.999,
July 2007,0.989,0.984,0.983,0.991,
August 2007,0.981,0.988,0.978,0.985,
September 2007,0.974,0.988,0.976,0.981,
October 2007,0.965,0.981,0.970,0.973,
November 2007,0.957,0.971,0.967,0.982,
December 2007,0.954,0.957,0.966,0.974,
January 2008,0.953,0.948,0.959,0.974,
February 2008,0.956,0.944,0.958,0.961,
March 2008,0.960,0.962,0.955,0.953,
April 2008,0.958,0.959,0.954,0.957,
May 2008,0.955,0.955,0.956,0.951,
June 2008,0.953,0.949,0.960,0.947,
July 2008,0.954,0.949,0.959,0.944,
August 2008,0.948,0.955,0.953,0.935,
September 2008,0.946,0.948,0.946,0.935,
October 2008,0.937,0.945,0.943,0.925,
November 2008,0.939,0.940,0.936,0.927,
December 2008,0.927,0.931,0.926,0.925,
January 2009,0.920,0.908,0.928,0.939,
February 2009,0.916,0.897,0.926,0.928,
March 2009,0.923,0.906,0.930,0.928,
April 2009,0.935,0.919,0.925,0.926,
May 2009,0.933,0.911,0.926,0.930,
June 2009,0.938,0.917,0.932,0.928,
July 2009,0.938,0.923,0.932,0.921,
August 2009,0.943,0.932,0.931,0.931,
September 2009,0.939,0.937,0.924,0.934,
October 2009,0.942,0.945,0.925,0.940,
November 2009,0.941,0.944,0.926,0.927,
December 2009,0.936,0.942,0.929,0.928,
January 2010,0.928,0.927,0.931,0.935,
February 2010,0.930,0.927,0.937,0.939,
March 2010,0.946,0.928,0.940,0.953,
April 2010,0.950,0.934,0.944,0.953,
May 2010,0.944,0.937,0.945,0.951,
June 2010,0.935,0.943,0.943,0.941,
July 2010,0.934,0.946,0.938,0.935,
August 2010,0.928,0.947,0.933,0.927,
September 2010,0.927,0.940,0.928,0.913,
October 2010,0.915,0.933,0.923,0.890,
November 2010,0.913,0.924,0.918,0.898,
December 2010,0.911,0.915,0.912,0.894,
January 2011,0.910,0.912,0.905,0.894,
February 2011,0.909,0.918,0.904,0.885,
March 2011,0.910,0.944,0.909,0.892,
April 2011,0.919,0.932,0.920,0.894,
May 2011,0.924,0.931,0.925,0.907,
June 2011,0.931,0.920,0.927,0.915,
July 2011,0.930,0.936,0.924,0.921,
August 2011,0.928,0.938,0.924,0.935,
September 2011,0.922,0.937,0.922,0.934,
October 2011,0.919,0.936,0.929,0.940,
November 2011,0.919,0.935,0.931,0.925,
December 2011,0.916,0.937,0.928,0.931,
January 2012,0.913,0.916,0.923,0.933,
February 2012,0.914,0.908,0.919,0.937,
March 2012,0.923,0.905,0.933,0.954,
April 2012,0.935,0.909,0.937,0.980,
May 2012,0.946,0.924,0.953,0.980,
June 2012,0.957,0.938,0.960,0.976,
July 2012,0.959,0.950,0.965,0.957,
August 2012,0.959,0.956,0.967,0.963,
September 2012,0.955,0.958,0.967,0.975,
October 2012,0.956,0.969,0.967,0.985,
November 2012,0.954,0.966,0.964,0.974,
December 2012,0.951,0.959,0.959,0.963,
January 2013,0.947,0.948,0.960,0.955,
February 2013,0.959,0.952,0.962,0.957,
March 2013,0.977,0.961,0.975,0.966,
April 2013,0.985,0.974,0.981,0.962,
May 2013,0.985,0.984,0.987,0.960,
June 2013,0.989,0.988,0.995,0.969,
July 2013,0.992,0.995,0.997,0.984,
August 2013,0.988,0.998,0.998,0.999,
September 2013,0.986,1.000,0.988,0.994,
October 2013,0.981,0.993,0.986,0.989,
November 2013,0.980,0.978,0.979,0.976,
December 2013,0.972,0.974,0.977,0.962,
