Metric:,Average Price Per Square Foot
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,247,205,327,193,
February 2006,249,210,333,197,
March 2006,262,226,337,207,
April 2006,269,235,339,210,
May 2006,268,241,347,212,
June 2006,270,234,352,232,
July 2006,271,235,358,241,
August 2006,277,238,369,242,
September 2006,273,239,378,231,
October 2006,276,237,381,227,
November 2006,273,229,372,219,
December 2006,269,234,376,219,
January 2007,268,233,374,219,
February 2007,271,242,386,223,
March 2007,280,240,380,219,
April 2007,278,247,386,231,
May 2007,282,259,391,233,
June 2007,289,261,396,249,
July 2007,292,265,396,246,
August 2007,291,262,396,254,
September 2007,284,269,404,252,
October 2007,281,270,412,253,
November 2007,278,257,412,256,
December 2007,274,254,402,247,
January 2008,268,245,406,241,
February 2008,264,238,417,244,
March 2008,272,230,412,246,
April 2008,275,238,386,239,
May 2008,275,242,373,215,
June 2008,271,247,371,210,
July 2008,269,246,377,221,
August 2008,272,256,364,234,
September 2008,265,248,363,242,
October 2008,258,248,361,228,
November 2008,248,231,366,224,
December 2008,242,226,349,203,
January 2009,232,205,353,224,
February 2009,230,212,361,205,
March 2009,225,212,351,209,
April 2009,230,209,337,197,
May 2009,237,219,326,204,
June 2009,242,217,337,202,
July 2009,240,209,328,194,
August 2009,242,194,328,190,
September 2009,240,198,327,188,
October 2009,236,204,333,191,
November 2009,235,202,336,188,
December 2009,230,198,337,190,
January 2010,234,193,335,190,
February 2010,224,196,339,187,
March 2010,227,198,337,180,
April 2010,228,204,334,181,
May 2010,231,215,324,190,
June 2010,233,213,318,195,
July 2010,233,208,320,194,
August 2010,230,192,329,181,
September 2010,229,182,337,163,
October 2010,217,175,334,150,
November 2010,215,175,320,147,
December 2010,205,177,304,155,
January 2011,211,181,290,156,
February 2011,210,172,285,157,
March 2011,215,177,281,159,
April 2011,207,168,285,159,
May 2011,203,178,293,159,
June 2011,194,175,295,154,
July 2011,196,178,302,157,
August 2011,196,175,301,160,
September 2011,201,175,300,169,
October 2011,198,172,295,164,
November 2011,198,171,291,162,
December 2011,194,166,291,157,
January 2012,189,167,283,154,
February 2012,185,160,276,147,
March 2012,187,163,279,143,
April 2012,198,158,293,148,
May 2012,201,164,301,159,
June 2012,204,169,309,162,
July 2012,204,176,302,165,
August 2012,206,179,307,158,
September 2012,205,182,308,156,
October 2012,208,192,323,156,
November 2012,209,186,321,163,
December 2012,208,180,326,164,
January 2013,207,174,322,167,
February 2013,210,181,324,167,
March 2013,224,192,320,173,
April 2013,228,198,328,176,
May 2013,232,210,336,179,
June 2013,234,207,343,179,
July 2013,239,212,350,183,
August 2013,241,209,350,196,
September 2013,244,213,352,212,
October 2013,244,216,345,217,
November 2013,241,212,346,208,
December 2013,236,212,338,196,
January 2014,236,202,340,195,
February 2014,237,206,340,203,
March 2014,245,211,348,212,
April 2014,249,213,359,212,
