Metric:,Average Sales Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,534141,488498,418374,464387,
February 2006,512625,475684,416925,453350,
March 2006,541791,458237,426239,483186,
April 2006,548525,465130,438573,462988,
May 2006,567723,450818,443508,502077,
June 2006,562030,452764,454318,502159,
July 2006,563022,458941,467197,516968,
August 2006,558682,531760,475718,502057,
September 2006,548084,567788,475093,493682,
October 2006,558433,601916,472358,503516,
November 2006,570530,564095,482038,507054,
December 2006,570435,526559,482280,521647,
January 2007,554093,483150,481307,500046,
February 2007,529199,516779,472210,488703,
March 2007,553981,518344,485330,472057,
April 2007,596947,502742,484144,514612,
May 2007,597953,521527,495833,551091,
June 2007,591146,510808,497487,560209,
July 2007,588009,565071,505421,562146,
August 2007,624874,554046,482587,551453,
September 2007,643363,572107,461861,557982,
October 2007,642427,552345,448649,556005,
November 2007,606292,517077,468679,537450,
December 2007,633932,535989,480767,535636,
January 2008,615997,614860,481333,532056,
February 2008,626588,616739,456689,543660,
March 2008,592683,626536,457156,528906,
April 2008,596873,501792,460257,504101,
May 2008,628516,518168,475116,535694,
June 2008,680502,560617,482938,564750,
July 2008,683748,567297,476457,572955,
August 2008,642262,597160,471681,526081,
September 2008,550518,479585,460466,492752,
October 2008,518903,480616,456189,473239,
November 2008,550481,532250,444146,480578,
December 2008,589014,1048954,452158,513589,
January 2009,607576,1331193,442459,532702,
February 2009,544619,1349467,456678,505271,
March 2009,526839,860596,425202,459087,
April 2009,570530,520985,419758,458324,
May 2009,548354,595299,398101,460134,
June 2009,534154,565800,407130,461158,
July 2009,527893,573857,407140,465319,
August 2009,540793,492850,416640,485175,
September 2009,527733,483513,421046,476485,
October 2009,533551,458389,425859,484379,
November 2009,525252,443734,413105,492329,
December 2009,533940,438236,405101,513252,
January 2010,525184,473668,405234,506227,
February 2010,550568,487108,419102,498370,
March 2010,559472,486358,427905,500674,
April 2010,541380,452975,422651,497581,
May 2010,554558,474114,417695,489076,
June 2010,576099,474476,419511,472059,
July 2010,596679,540442,429841,486451,
August 2010,584989,557098,447961,472412,
September 2010,540406,548045,448634,481825,
October 2010,509418,590840,439853,491491,
November 2010,513802,610883,434404,484760,
December 2010,559131,637278,430116,495202,
January 2011,571753,474851,420724,470860,
February 2011,542833,468688,399573,489826,
March 2011,515736,531134,388849,448066,
April 2011,503259,598580,401636,452440,
May 2011,513757,554747,410579,454055,
June 2011,526399,517762,415268,460769,
July 2011,536600,495208,416804,476364,
August 2011,516955,496751,420830,471844,
September 2011,545592,476065,428516,463009,
October 2011,521287,464697,421747,431724,
November 2011,549931,466491,411128,406630,
December 2011,500694,488757,396854,413908,
January 2012,509054,490476,388401,422490,
February 2012,501366,498974,383836,458476,
March 2012,528591,545166,397377,468603,
April 2012,546555,527147,408899,465352,
May 2012,548176,629177,418319,456757,
June 2012,522095,577489,427926,468576,
July 2012,512643,571938,453764,472098,
August 2012,495546,466937,453766,482335,
September 2012,522038,462031,450340,465436,
October 2012,529265,485545,430877,474299,
November 2012,551240,559069,427025,457781,
December 2012,545648,576729,432308,480234,
January 2013,559165,615856,429530,462390,
February 2013,547916,586755,437842,449218,
March 2013,541685,706323,455478,452448,
April 2013,538971,680006,473266,467876,
May 2013,561675,629055,481133,508244,
June 2013,581418,487602,475172,536425,
July 2013,602585,476246,478483,561525,
August 2013,615379,516061,479781,548790,
September 2013,614114,514813,486787,522743,
October 2013,598790,523585,486010,505080,
November 2013,618286,495544,487158,488709,
December 2013,610802,523813,491809,497586,
January 2014,650492,560474,495182,503496,
February 2014,639767,664390,504270,514778,
March 2014,622494,668092,495412,517818,
April 2014,608251,671450,497707,514357,
May 2014,614720,589737,502657,541238,
June 2014,665472,587697,520550,559699,
July 2014,671773,574757,532068,562685,
August 2014,654691,579494,540538,567736,
September 2014,644589,559188,540776,556821,
October 2014,667682,498840,541688,567581,
November 2014,675493,530729,540526,571371,
December 2014,649912,520835,532995,568268,
January 2015,627395,529338,529427,578374,
February 2015,640214,552870,531122,562434,
March 2015,638110,579715,559784,586934,
April 2015,658402,582143,564412,616477,
May 2015,675420,530520,577784,649216,
June 2015,731907,556085,581419,661754,
July 2015,732673,579572,582639,634421,
August 2015,710289,664347,582709,616795,
September 2015,680257,720937,568344,601200,
October 2015,685381,776526,570462,637183,
November 2015,726328,777895,579296,651384,
December 2015,733457,710643,614362,670944,
January 2016,738937,727073,644589,667919,
February 2016,748526,726996,604156,688080,
March 2016,758491,732809,574164,720971,
April 2016,802053,763284,582775,733796,
May 2016,774277,725279,623216,718059,
June 2016,809734,669779,659812,723201,
July 2016,797911,692438,666229,749319,
August 2016,821959,788590,660791,742321,
September 2016,813527,882319,646665,747197,
October 2016,804853,923214,637510,741768,
November 2016,819786,855259,635943,733922,
December 2016,822415,773937,654330,719193,
January 2017,836333,840782,678621,677035,
February 2017,851430,799920,702479,738954,
March 2017,883217,864351,706282,759731,
April 2017,906900,784677,713356,800792,
May 2017,869143,845564,730516,788751,
June 2017,864831,780495,761211,821233,
July 2017,878188,808233,769514,824362,
August 2017,925791,749502,773979,842157,
September 2017,929220,792480,754486,821174,
October 2017,905657,787558,755178,777408,
November 2017,890587,821583,755088,767219,
December 2017,883603,825826,758329,788643,
January 2018,912727,899244,761304,841324,
February 2018,905954,931935,761883,895520,
March 2018,989231,851630,799649,891811,
April 2018,967123,820050,841484,895408,
May 2018,1004497,810696,864361,879774,
June 2018,1036343,843756,877983,873274,
July 2018,1050550,835621,845331,861867,
August 2018,1050333,783632,819673,889484,
September 2018,987924,773691,805146,904621,
October 2018,1003997,784489,809843,897299,
November 2018,1001993,802286,817291,856605,
December 2018,980592,813993,799000,817696,
January 2019,998290,802736,785795,808937,
February 2019,973438,840034,760924,785204,
March 2019,995281,1015331,765327,849925,
April 2019,972118,959706,786878,891920,
May 2019,968290,892974,815682,916429,
June 2019,971793,740550,818899,881133,
July 2019,1008012,818105,803571,854110,
August 2019,1034446,875209,782108,806282,
September 2019,1001299,846671,776141,862922,
October 2019,1000907,852466,791425,892005,
November 2019,978248,785458,789373,919250,
December 2019,1056201,842479,785154,865145,
January 2020,992444,777198,767444,827068,
February 2020,974487,808920,768338,818627,
March 2020,953700,794020,791672,824172,
April 2020,975042,797699,822796,866771,
May 2020,1013908,788831,825200,904575,
June 2020,1029078,821907,818042,961982,
July 2020,1036803,830906,810278,960896,
August 2020,1051636,828607,834527,970346,
September 2020,1070192,803628,838081,980988,
October 2020,1053942,906892,853881,986486,
November 2020,1059980,898548,853329,1008207,
December 2020,1035036,894730,862095,950621,
January 2021,1025464,821705,846015,939954,
February 2021,1033326,762150,830849,888298,
March 2021,1050398,750652,854451,939533,
April 2021,1135333,719526,865114,986009,
May 2021,1140289,746255,897953,1037456,
June 2021,1156545,763051,913585,1042180,
July 2021,1144933,768554,932300,1047359,
August 2021,1131305,798637,928811,1031331,
September 2021,1103518,802521,914910,1018910,
October 2021,1089522,809126,912017,1062797,
November 2021,1129300,809254,909054,1048181,
December 2021,1123820,794889,914651,1044845,
January 2022,1035967,784199,909321,910648,
February 2022,943159,771578,919590,931700,
March 2022,1066721,786747,979437,1026497,
April 2022,1145631,798555,1021850,1149019,
May 2022,1200521,858561,1041742,1179093,
June 2022,1232624,852041,1032333,1212362,
July 2022,1296151,824379,1019208,1201536,
August 2022,1295828,746119,996055,1156548,
September 2022,1236238,776253,973649,1083222,
October 2022,1148110,793447,956020,1041790,
November 2022,1115197,730278,959188,1047577,
December 2022,1072589,693511,932978,1052041,
January 2023,1056168,646694,898276,967950,
February 2023,1008508,711151,861874,939764,
March 2023,1052870,722747,896090,1035518,
April 2023,1071651,709058,937233,1131351,
May 2023,1118578,754700,971879,1143120,
June 2023,1139983,735054,994053,1091161,
July 2023,1180295,765205,988728,1046126,
August 2023,1191977,773859,963113,1034942,
September 2023,1122738,765911,942202,1035148,
October 2023,1090119,772196,927709,1062070,
November 2023,1064959,683806,948467,1033813,
December 2023,1132987,828344,928574,1025271,
January 2024,1077080,849977,925891,958711,
February 2024,1138508,930738,916040,1055220,
March 2024,1164264,837527,937734,1102171,
April 2024,1220721,849311,938137,1155070,
May 2024,1231010,782261,959223,1155879,
June 2024,1207767,774310,956930,1117266,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


