Metric:,Median Percent of Last Original Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,0.991,0.999,0.995,1,
February 2006,0.993,1,1,0.985,
March 2006,1,1,1,1,
April 2006,1,1,1,1,
May 2006,1,1,1,1,
June 2006,1,1,1,1,
July 2006,1,1,1,1,
August 2006,1,1,1,1,
September 2006,1,1,1,1,
October 2006,1,1,1,1,
November 2006,0.996,1,0.995,1,
December 2006,0.986,1,0.992,0.983,
January 2007,0.982,0.995,0.988,0.976,
February 2007,0.986,1,0.998,0.984,
March 2007,1,0.994,1,0.988,
April 2007,1,0.994,1,1,
May 2007,1,0.995,1,0.991,
June 2007,1,1,1,0.995,
July 2007,1,1,1,0.992,
August 2007,0.999,1,0.995,0.992,
September 2007,0.990,1,0.997,0.987,
October 2007,0.981,0.989,0.988,0.984,
November 2007,0.973,0.981,0.982,0.986,
December 2007,0.966,0.966,0.977,0.986,
January 2008,0.967,0.958,0.970,0.981,
February 2008,0.970,0.959,0.970,0.974,
March 2008,0.978,0.981,0.971,0.973,
April 2008,0.976,0.979,0.968,0.974,
May 2008,0.975,0.976,0.973,0.968,
June 2008,0.971,0.964,0.974,0.968,
July 2008,0.970,0.957,0.973,0.956,
August 2008,0.967,0.968,0.967,0.948,
September 2008,0.967,0.965,0.960,0.947,
October 2008,0.960,0.961,0.959,0.937,
November 2008,0.959,0.958,0.952,0.938,
December 2008,0.943,0.943,0.942,0.940,
January 2009,0.935,0.925,0.945,0.943,
February 2009,0.933,0.921,0.943,0.968,
March 2009,0.939,0.949,0.943,0.970,
April 2009,0.954,0.949,0.935,0.976,
May 2009,0.955,0.940,0.938,0.950,
June 2009,0.96,0.942,0.947,0.951,
July 2009,0.958,0.954,0.947,0.949,
August 2009,0.962,0.965,0.947,0.960,
September 2009,0.957,0.964,0.943,0.969,
October 2009,0.962,0.966,0.946,0.971,
November 2009,0.960,0.963,0.948,0.966,
