Metric:,Median Percent of Last Original Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,0.990,0.988,1,1,
February 2006,1,0.988,1,1,
March 2006,1,1,1,1,
April 2006,1,1,1,1,
May 2006,1,1,1,1,
June 2006,1,0.995,1,1,
July 2006,1,1,1,1,
August 2006,1,1,1,1,
September 2006,1,1,1,1,
October 2006,1,1,1,1,
November 2006,0.987,0.994,1,1,
December 2006,0.984,0.979,0.996,0.995,
January 2007,0.983,0.975,0.988,0.985,
February 2007,0.989,0.979,0.997,0.988,
March 2007,1,0.992,1,0.994,
April 2007,1,1,1,1,
May 2007,1,1,1,1,
June 2007,1,1,1,1,
July 2007,1,0.986,1,1,
August 2007,0.995,0.970,1,0.997,
September 2007,0.989,0.971,1,0.992,
October 2007,0.980,0.973,1,0.989,
November 2007,0.970,0.978,0.988,0.986,
December 2007,0.959,0.978,0.978,0.981,
January 2008,0.951,0.975,0.971,0.969,
February 2008,0.950,0.975,0.975,0.968,
March 2008,0.962,0.968,0.976,0.972,
April 2008,0.966,0.970,0.982,0.978,
May 2008,0.970,0.963,0.979,0.978,
June 2008,0.968,0.962,0.978,0.978,
July 2008,0.965,0.956,0.974,0.976,
August 2008,0.956,0.957,0.973,0.973,
September 2008,0.942,0.968,0.972,0.969,
October 2008,0.940,0.975,0.973,0.964,
November 2008,0.938,0.981,0.971,0.958,
December 2008,0.931,0.985,0.959,0.950,
January 2009,0.921,0.978,0.946,0.944,
February 2009,0.926,0.948,0.942,0.947,
March 2009,0.924,0.929,0.948,0.953,
April 2009,0.926,0.944,0.952,0.958,
May 2009,0.931,0.938,0.956,0.958,
June 2009,0.938,0.914,0.967,0.963,
July 2009,0.942,0.904,0.970,0.966,
August 2009,0.938,0.913,0.974,0.968,
September 2009,0.940,0.934,0.973,0.966,
October 2009,0.937,0.927,0.972,0.962,
November 2009,0.933,0.918,0.971,0.962,
December 2009,0.936,0.905,0.967,0.955,
January 2010,0.923,0.946,0.964,0.952,
February 2010,0.932,0.964,0.961,0.950,
March 2010,0.933,0.959,0.967,0.967,
April 2010,0.945,0.962,0.979,0.972,
May 2010,0.959,0.954,0.980,0.972,
June 2010,0.958,0.967,0.977,0.967,
July 2010,0.955,0.959,0.971,0.963,
August 2010,0.950,0.951,0.967,0.967,
September 2010,0.949,0.944,0.962,0.966,
October 2010,0.947,0.953,0.966,0.966,
November 2010,0.945,0.953,0.960,0.958,
December 2010,0.933,0.938,0.953,0.956,
January 2011,0.933,0.932,0.941,0.946,
February 2011,0.936,0.946,0.946,0.935,
March 2011,0.944,0.944,0.954,0.932,
April 2011,0.949,0.941,0.974,0.955,
May 2011,0.958,0.928,0.977,0.965,
June 2011,0.963,0.937,0.980,0.965,
July 2011,0.964,0.942,0.973,0.967,
August 2011,0.955,0.946,0.970,0.967,
September 2011,0.951,0.949,0.969,0.969,
October 2011,0.933,0.945,0.963,0.967,
November 2011,0.927,0.958,0.962,0.961,
December 2011,0.926,0.956,0.958,0.962,
January 2012,0.945,0.96,0.958,0.956,
February 2012,0.945,0.951,0.953,0.957,
March 2012,0.956,0.941,0.973,0.959,
April 2012,0.968,0.96,0.981,0.971,
May 2012,0.972,0.962,0.988,0.977,
June 2012,0.972,0.971,0.996,0.986,
July 2012,0.975,0.976,0.994,0.987,
August 2012,0.979,0.976,0.993,0.987,
September 2012,0.981,0.980,0.987,0.992,
October 2012,0.978,0.977,0.994,0.987,
November 2012,0.976,0.981,0.995,0.986,
December 2012,0.966,0.980,0.991,0.983,
January 2013,0.963,0.982,0.986,0.979,
February 2013,0.972,0.995,0.989,0.982,
March 2013,0.985,0.994,1,0.989,
April 2013,1,0.985,1,1,
May 2013,1,0.984,1,1,
June 2013,1,1,1,1,
July 2013,1,1,1,1,
August 2013,1,1,1,1,
September 2013,1,0.984,1,1,
October 2013,0.992,0.982,1,1,
November 2013,0.986,0.979,1,1,
December 2013,0.979,0.979,0.994,0.990,
January 2014,0.969,0.978,0.990,0.985,
February 2014,0.978,0.980,0.998,0.989,
March 2014,0.997,0.987,1,1,
April 2014,1,0.986,1,1,
May 2014,1,0.987,1,1.000,
June 2014,1,0.986,1.002,1.000,
July 2014,1,0.985,1.000,1,
August 2014,0.997,0.979,1,1,
September 2014,0.996,0.977,1,1,
October 2014,0.992,0.979,1,1,
November 2014,0.991,0.985,1,1,
December 2014,0.984,0.980,1,0.996,
January 2015,0.983,0.967,1,0.989,
February 2015,0.994,0.963,1,0.988,
March 2015,1,0.994,1,1,
April 2015,1,1,1.000,1.008,
May 2015,1.000,1,1.013,1.024,
June 2015,1,1,1.017,1.025,
July 2015,1,1,1.019,1.016,
August 2015,1,1,1.021,1.011,
September 2015,1,1,1.012,1.005,
October 2015,1,1,1.010,1.003,
November 2015,1,1,1.004,1,
December 2015,1,1,1.000,1,
January 2016,1,0.991,1,1,
February 2016,1,1,1.000,1.000,
March 2016,1.000,1,1.011,1.021,
April 2016,1.006,1,1.017,1.051,
May 2016,1.008,1,1.023,1.050,
June 2016,1.008,1,1.028,1.050,
July 2016,1,1,1.023,1.044,
August 2016,1,1,1.014,1.039,
September 2016,1,1,1.004,1.021,
October 2016,1,1,1.001,1.006,
November 2016,1,1,1.000,1,
December 2016,1,1,1,1,
January 2017,1,1,1,1,
February 2017,1,1,1,1,
March 2017,1.000,1.001,1.014,1.024,
April 2017,1.017,1.021,1.038,1.061,
May 2017,1.035,1.028,1.056,1.076,
June 2017,1.036,1.042,1.069,1.095,
July 2017,1.014,1.045,1.062,1.087,
August 2017,1,1.043,1.050,1.061,
September 2017,1,1.029,1.034,1.025,
October 2017,1.012,1.029,1.022,1.022,
November 2017,1.002,1.033,1.015,1.013,
December 2017,1,1.024,1.013,1.012,
January 2018,1,1,1.003,1.000,
February 2018,1.012,1,1.017,1.026,
March 2018,1.028,1,1.048,1.080,
April 2018,1.039,1.015,1.079,1.085,
May 2018,1.035,1,1.060,1.078,
June 2018,1.026,1,1.038,1.055,
July 2018,1.001,1,1.019,1.029,
August 2018,1,0.989,1,1,
September 2018,1,0.971,1,1,
October 2018,0.985,0.963,1,0.990,
November 2018,0.971,0.955,0.989,0.986,
December 2018,0.970,0.941,0.978,0.976,
January 2019,0.96,0.937,0.968,0.961,
February 2019,0.970,0.939,0.975,0.96,
March 2019,0.973,0.952,0.985,0.983,
April 2019,0.989,0.967,1,1,
May 2019,0.992,0.972,1,1,
June 2019,0.996,0.974,1,1,
July 2019,0.990,0.971,1,1,
August 2019,0.982,0.970,0.993,0.998,
September 2019,0.975,0.961,0.988,0.992,
October 2019,0.967,0.959,0.990,0.987,
November 2019,0.974,0.962,0.989,0.983,
December 2019,0.972,0.957,0.986,0.982,
January 2020,0.972,0.967,0.980,0.977,
February 2020,0.982,0.967,0.988,0.984,
March 2020,1,0.982,1,1,
April 2020,1,0.987,1,1.000,
May 2020,1,1,1,1,
June 2020,0.997,0.987,1,1,
July 2020,0.993,0.987,1,1,
August 2020,0.997,0.983,1,1,
September 2020,1,0.979,1,1,
October 2020,1,0.969,1,1,
November 2020,0.993,0.955,1,1,
December 2020,0.986,0.952,1,1,
January 2021,0.976,0.945,1,1,
February 2021,0.98,0.960,1,1,
March 2021,0.995,0.973,1,1.000,
April 2021,1,0.979,1.007,1.039,
May 2021,1,0.983,1.011,1.056,
June 2021,1,0.984,1.014,1.059,
July 2021,1,0.983,1.005,1.039,
August 2021,1,0.984,1.002,1.024,
September 2021,1,1,1,1.000,
October 2021,1,1,1,1.002,
November 2021,1,1,1,1.000,
December 2021,1,1,1,1.001,
January 2022,1,1,1,1,
February 2022,1,1,1,1.009,
March 2022,1.004,1,1.021,1.059,
April 2022,1.035,1,1.066,1.084,
May 2022,1.034,1,1.072,1.069,
June 2022,1.018,1,1.043,1.038,
July 2022,1,1,1.009,1.001,
August 2022,1,1,1,1,
September 2022,0.994,0.981,1,0.995,
October 2022,0.987,0.978,0.993,0.985,
November 2022,0.982,0.967,0.987,0.978,
December 2022,0.975,0.965,0.986,0.974,
January 2023,0.959,0.956,0.975,0.964,
February 2023,0.959,0.967,0.986,0.969,
March 2023,0.975,0.983,1,0.993,
April 2023,0.986,0.987,1,1,
May 2023,0.988,0.986,1,1,
June 2023,0.999,0.988,1,1,
