Metric:,Median Price Per Square Foot
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,229,191,321,187,
February 2006,231,197,325,187,
March 2006,244,210,326,196,
April 2006,246,227,330,195,
May 2006,245,229,339,197,
June 2006,252,230,347,210,
July 2006,251,220,350,223,
August 2006,255,226,363,234,
September 2006,255,224,378,223,
October 2006,257,225,382,217,
November 2006,256,216,370,214,
December 2006,252,216,372,209,
January 2007,251,216,370,209,
February 2007,254,218,392,211,
March 2007,261,226,383,213,
April 2007,264,231,393,221,
May 2007,266,236,391,213,
June 2007,269,236,394,234,
July 2007,272,243,389,229,
August 2007,274,244,388,236,
September 2007,272,252,395,236,
October 2007,266,247,407,245,
November 2007,258,239,411,247,
December 2007,252,237,403,246,
January 2008,251,235,410,232,
February 2008,251,225,412,233,
March 2008,254,224,385,223,
April 2008,262,224,361,219,
May 2008,262,233,357,195,
June 2008,260,233,350,194,
July 2008,254,232,363,199,
August 2008,254,232,349,214,
September 2008,249,229,358,219,
October 2008,242,229,347,206,
November 2008,234,221,353,209,
December 2008,225,217,319,185,
January 2009,223,203,323,205,
February 2009,221,205,353,180,
March 2009,217,206,346,204,
April 2009,217,199,339,181,
May 2009,223,199,323,201,
June 2009,228,198,328,199,
July 2009,225,190,321,193,
August 2009,224,185,315,189,
September 2009,224,189,313,185,
October 2009,223,196,320,187,
November 2009,224,197,322,185,
December 2009,223,197,323,185,
January 2010,224,193,321,180,
February 2010,216,186,325,179,
March 2010,218,181,328,179,
April 2010,218,193,323,179,
May 2010,222,214,316,180,
June 2010,222,206,312,179,
July 2010,223,194,309,181,
August 2010,218,178,315,173,
September 2010,215,176,313,152,
October 2010,205,179,302,150,
November 2010,203,178,294,149,
December 2010,188,174,279,157,
January 2011,198,173,272,149,
February 2011,197,163,273,149,
March 2011,205,174,271,152,
April 2011,194,171,274,152,
May 2011,194,174,284,157,
June 2011,185,168,282,155,
July 2011,191,170,286,156,
August 2011,189,169,274,156,
September 2011,191,164,277,160,
October 2011,187,165,272,156,
November 2011,189,163,275,157,
December 2011,187,165,274,147,
January 2012,184,160,274,146,
February 2012,179,148,266,145,
March 2012,181,153,273,140,
April 2012,189,153,278,155,
May 2012,190,157,290,162,
June 2012,193,164,296,163,
July 2012,196,168,295,167,
August 2012,200,175,296,159,
September 2012,198,175,297,158,
October 2012,200,190,304,154,
November 2012,200,177,306,157,
December 2012,202,169,312,156,
January 2013,200,167,313,159,
February 2013,202,168,314,161,
March 2013,212,182,314,169,
April 2013,214,188,318,175,
May 2013,225,197,329,175,
June 2013,226,198,334,175,
July 2013,230,207,339,175,
August 2013,227,205,336,186,
September 2013,230,207,340,194,
October 2013,232,209,335,202,
November 2013,233,208,337,202,
December 2013,229,216,327,193,
January 2014,231,204,331,200,
February 2014,232,210,336,203,
March 2014,236,203,341,210,
April 2014,236,207,351,208,
May 2014,237,210,360,208,
June 2014,243,228,368,203,
July 2014,243,234,368,204,
August 2014,247,238,365,204,
September 2014,248,229,361,203,
October 2014,253,227,364,197,
November 2014,258,233,369,190,
December 2014,250,233,377,194,
January 2015,249,233,382,199,
February 2015,249,243,390,199,
March 2015,261,246,389,214,
April 2015,258,251,392,225,
May 2015,262,260,400,225,
June 2015,267,245,416,231,
July 2015,273,249,430,237,
August 2015,279,249,431,243,
September 2015,282,261,429,242,
October 2015,284,263,419,238,
November 2015,283,251,417,245,
December 2015,284,254,431,267,
January 2016,285,250,436,274,
February 2016,294,249,448,270,
March 2016,303,244,449,260,
