Metric:,New Listings
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,517,208,485,103,
February 2006,523,202,472,109,
March 2006,656,273,639,143,
April 2006,683,319,650,166,
May 2006,808,352,746,184,
June 2006,908,387,772,195,
July 2006,924,397,747,208,
August 2006,912,391,747,213,
September 2006,911,385,757,188,
October 2006,898,362,808,188,
November 2006,769,327,724,147,
December 2006,535,235,513,117,
January 2007,500,219,520,107,
February 2007,574,245,560,130,
March 2007,771,307,783,181,
April 2007,885,354,824,173,
May 2007,1012,411,927,187,
June 2007,1063,454,953,191,
July 2007,1031,459,896,212,
August 2007,944,430,772,216,
September 2007,909,439,748,204,
October 2007,881,424,760,208,
November 2007,809,380,736,206,
December 2007,616,271,512,173,
January 2008,604,274,509,167,
February 2008,649,301,599,156,
March 2008,791,375,805,191,
April 2008,825,353,844,179,
May 2008,869,367,878,208,
June 2008,881,353,899,207,
July 2008,856,351,869,221,
August 2008,791,325,772,188,
September 2008,826,332,709,181,
October 2008,767,316,678,158,
November 2008,677,283,654,157,
December 2008,476,217,551,121,
January 2009,461,241,563,121,
February 2009,550,276,612,121,
March 2009,688,339,697,149,
April 2009,713,314,724,141,
May 2009,750,341,769,146,
June 2009,771,334,814,155,
July 2009,805,357,769,162,
August 2009,799,302,737,161,
September 2009,810,304,771,162,
October 2009,781,282,776,159,
November 2009,679,251,715,147,
December 2009,496,195,504,111,
January 2010,507,225,552,118,
February 2010,606,286,604,139,
March 2010,860,369,794,188,
April 2010,953,400,824,208,
May 2010,937,375,825,188,
June 2010,835,350,791,165,
July 2010,748,283,710,145,
August 2010,725,291,658,154,
September 2010,699,295,612,157,
October 2010,646,303,577,157,
November 2010,559,298,518,153,
December 2010,447,231,390,123,
January 2011,445,233,354,119,
February 2011,511,240,399,110,
March 2011,625,288,515,143,
April 2011,657,285,570,141,
May 2011,680,281,629,145,
June 2011,696,301,627,144,
July 2011,684,294,590,145,
August 2011,664,292,532,146,
September 2011,610,272,537,132,
October 2011,538,244,509,124,
November 2011,467,219,454,120,
December 2011,384,164,325,104,
January 2012,361,167,344,101,
February 2012,369,170,365,119,
March 2012,460,242,474,129,
April 2012,535,261,463,131,
May 2012,625,291,519,122,
June 2012,629,253,511,125,
July 2012,610,245,496,125,
August 2012,557,235,441,115,
September 2012,567,262,438,124,
October 2012,544,257,428,127,
November 2012,477,233,399,113,
December 2012,342,166,281,84,
January 2013,341,155,307,67,
February 2013,413,169,392,77,
March 2013,548,215,528,105,
April 2013,587,239,573,122,
May 2013,644,290,634,137,
June 2013,679,324,669,149,
July 2013,710,340,671,163,
August 2013,710,332,582,172,
September 2013,693,310,559,167,
October 2013,665,271,513,154,
November 2013,568,209,456,117,
December 2013,425,164,315,89,
January 2014,390,175,296,91,
February 2014,416,190,310,107,
March 2014,565,212,401,139,
April 2014,629,236,472,151,
May 2014,729,270,582,175,
June 2014,772,309,638,172,
July 2014,781,296,596,164,
August 2014,709,261,509,155,
September 2014,685,253,484,154,
October 2014,622,270,461,146,
November 2014,538,255,413,120,
December 2014,389,195,283,90,
January 2015,360,147,285,95,
February 2015,418,164,314,95,
March 2015,543,223,422,118,
April 2015,624,272,507,122,
May 2015,671,293,611,155,
June 2015,688,274,653,165,
July 2015,690,251,617,171,
August 2015,663,245,591,161,
September 2015,636,245,563,164,
October 2015,591,252,500,152,
November 2015,513,207,413,130,
December 2015,396,159,300,85,
January 2016,370,133,296,80,
February 2016,406,163,357,85,
March 2016,512,231,500,132,
April 2016,607,279,583,131,
May 2016,710,305,637,158,
June 2016,770,310,642,161,
July 2016,760,304,597,177,
August 2016,739,312,562,174,
September 2016,747,314,547,163,
October 2016,679,299,522,150,
November 2016,559,254,411,121,
December 2016,376,191,261,93,
January 2017,313,175,244,82,
February 2017,335,183,272,92,
March 2017,474,243,411,117,
April 2017,561,254,460,136,
May 2017,688,310,566,148,
June 2017,717,323,562,174,
July 2017,718,343,570,173,
August 2017,646,298,521,183,
September 2017,612,261,555,166,
October 2017,578,237,534,171,
November 2017,520,229,471,171,
December 2017,354,190,288,149,
January 2018,312,184,245,131,
February 2018,326,167,289,106,
March 2018,509,211,438,137,
April 2018,624,227,470,150,
May 2018,733,267,546,171,
June 2018,757,288,603,197,
July 2018,776,287,651,200,
August 2018,735,286,598,211,
September 2018,753,287,594,192,
October 2018,698,296,584,188,
November 2018,607,266,540,163,
December 2018,392,181,352,111,
January 2019,335,148,327,106,
February 2019,352,144,350,106,
March 2019,562,210,512,163,
April 2019,681,246,553,183,
May 2019,836,332,685,221,
June 2019,819,340,699,209,
July 2019,751,323,694,208,
August 2019,620,254,577,191,
September 2019,540,234,546,182,
October 2019,547,220,524,177,
November 2019,500,189,451,159,
December 2019,386,139,325,134,
January 2020,312,130,266,121,
February 2020,347,136,354,127,
March 2020,466,200,478,155,
April 2020,504,202,481,154,
May 2020,568,235,478,175,
June 2020,667,229,529,175,
July 2020,805,277,680,205,
August 2020,896,320,816,222,
September 2020,882,318,888,235,
October 2020,817,312,855,232,
November 2020,664,248,687,181,
December 2020,515,217,469,138,
January 2021,458,173,412,115,
February 2021,474,169,455,135,
March 2021,626,210,634,181,
April 2021,741,239,755,209,
May 2021,827,288,833,248,
June 2021,870,305,829,246,
July 2021,808,323,778,249,
August 2021,774,309,695,213,
September 2021,691,299,642,208,
October 2021,662,267,606,188,
November 2021,549,224,547,175,
December 2021,408,156,395,129,
January 2022,317,146,315,118,
February 2022,379,154,375,116,
March 2022,541,211,516,149,
April 2022,651,234,606,167,
May 2022,701,256,667,190,
June 2022,691,278,741,202,
July 2022,672,281,706,189,
August 2022,620,268,628,169,
September 2022,565,246,551,175,
October 2022,510,212,493,165,
November 2022,448,188,425,151,
December 2022,305,118,273,91,
January 2023,259,113,245,81,
February 2023,254,118,278,78,
March 2023,378,175,395,135,
April 2023,432,187,483,138,
May 2023,494,225,566,165,
June 2023,533,234,597,138,
July 2023,522,253,530,152,
August 2023,519,233,460,130,
September 2023,475,239,454,144,
October 2023,440,226,463,131,
November 2023,367,213,410,117,
December 2023,250,137,263,74,
January 2024,241,147,252,65,
February 2024,307,168,325,74,
March 2024,409,232,472,97,
April 2024,509,234,576,127,
May 2024,592,290,674,143,
June 2024,650,292,714,166,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


