Metric:,New Listings
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,332,95,776,455,
February 2006,366,125,687,446,
March 2006,478,181,917,557,
April 2006,518,173,1007,620,
May 2006,567,197,1129,706,
June 2006,592,199,1166,772,
July 2006,611,231,1149,733,
August 2006,616,217,1090,692,
September 2006,657,191,1113,679,
October 2006,612,189,1136,697,
November 2006,565,179,1012,630,
December 2006,375,158,729,440,
January 2007,368,182,682,388,
February 2007,403,197,753,424,
March 2007,556,284,1014,568,
April 2007,605,343,1073,596,
May 2007,625,425,1230,699,
June 2007,714,457,1246,778,
July 2007,707,409,1257,752,
August 2007,675,379,1207,716,
September 2007,644,328,1330,731,
October 2007,609,361,1346,772,
November 2007,557,299,1212,685,
December 2007,375,238,812,456,
January 2008,380,215,805,428,
February 2008,454,233,889,478,
March 2008,573,333,1198,663,
April 2008,618,323,1225,680,
May 2008,659,354,1325,756,
June 2008,673,316,1341,752,
July 2008,634,274,1267,741,
August 2008,560,250,1215,662,
September 2008,560,238,1249,673,
October 2008,550,269,1191,665,
November 2008,487,247,1021,596,
December 2008,373,197,673,432,
January 2009,371,189,690,451,
February 2009,459,212,761,533,
March 2009,523,270,976,660,
April 2009,531,284,992,659,
May 2009,536,297,1020,647,
June 2009,530,295,1024,655,
July 2009,558,271,1016,634,
August 2009,509,256,979,640,
September 2009,549,240,967,629,
October 2009,500,259,959,607,
November 2009,442,236,809,493,
December 2009,313,213,601,364,
January 2010,318,277,568,366,
February 2010,398,334,753,472,
March 2010,527,379,1070,646,
April 2010,593,360,1199,720,
May 2010,570,301,1136,673,
June 2010,544,274,1011,585,
July 2010,469,223,893,525,
August 2010,472,237,932,543,
September 2010,476,239,917,563,
October 2010,448,210,857,543,
November 2010,410,196,734,478,
December 2010,295,146,548,353,
January 2011,316,189,508,321,
February 2011,320,197,559,349,
March 2011,397,249,724,473,
April 2011,425,227,795,533,
May 2011,442,234,817,593,
June 2011,452,243,808,582,
July 2011,408,212,729,544,
August 2011,375,174,726,494,
September 2011,339,147,707,488,
October 2011,316,152,719,441,
November 2011,297,154,611,417,
December 2011,241,123,428,308,
January 2012,224,119,387,295,
February 2012,252,136,472,292,
March 2012,348,185,631,387,
April 2012,408,225,741,437,
May 2012,456,225,781,468,
June 2012,428,219,811,486,
July 2012,407,175,758,479,
August 2012,363,162,739,470,
September 2012,367,140,719,489,
October 2012,332,133,692,466,
November 2012,292,122,575,418,
December 2012,195,99,401,281,
January 2013,195,102,339,275,
February 2013,238,127,414,293,
March 2013,372,149,619,401,
April 2013,453,168,797,452,
May 2013,484,184,966,557,
June 2013,478,196,1033,595,
July 2013,464,185,1021,620,
August 2013,472,169,926,580,
September 2013,498,166,884,534,
October 2013,444,212,818,489,
November 2013,367,191,693,388,
December 2013,232,167,466,270,
January 2014,218,135,442,217,
February 2014,246,173,477,269,
March 2014,338,225,665,361,
April 2014,390,243,714,423,
May 2014,455,258,875,507,
June 2014,447,254,944,532,
July 2014,447,267,1007,566,
August 2014,394,227,924,527,
September 2014,400,214,914,550,
October 2014,369,193,833,539,
November 2014,330,175,725,445,
December 2014,228,136,487,302,
January 2015,209,140,388,218,
February 2015,229,150,460,256,
March 2015,332,267,668,374,
April 2015,398,299,844,460,
May 2015,475,361,942,536,
June 2015,468,314,947,575,
July 2015,437,286,907,561,
August 2015,391,273,828,548,
September 2015,398,279,828,504,
October 2015,380,277,757,466,
November 2015,333,226,670,372,
December 2015,236,140,471,258,
January 2016,219,125,437,204,
February 2016,241,147,492,238,
March 2016,337,197,698,372,
April 2016,384,227,819,467,
May 2016,433,249,928,518,
June 2016,435,258,927,527,
July 2016,449,226,959,536,
August 2016,413,210,895,539,
September 2016,430,195,926,569,
October 2016,383,188,799,526,
November 2016,328,161,694,440,
December 2016,227,118,449,265,
January 2017,209,108,412,209,
February 2017,259,104,450,229,
March 2017,358,163,605,338,
April 2017,412,175,665,405,
May 2017,448,205,798,488,
June 2017,461,188,871,527,
July 2017,453,193,936,536,
August 2017,414,180,902,514,
September 2017,416,174,887,505,
October 2017,413,156,844,481,
November 2017,373,133,718,401,
December 2017,232,85,502,262,
January 2018,179,82,386,238,
February 2018,190,120,397,244,
March 2018,309,178,564,347,
April 2018,352,223,721,389,
May 2018,442,244,925,509,
June 2018,480,277,997,561,
July 2018,495,255,1013,586,
August 2018,460,251,911,523,
September 2018,479,227,955,543,
October 2018,471,276,924,531,
November 2018,427,235,846,464,
December 2018,256,175,558,281,
January 2019,224,114,512,211,
February 2019,249,119,491,225,
March 2019,375,218,744,342,
April 2019,452,260,895,461,
May 2019,584,296,1153,580,
June 2019,604,243,1161,650,
July 2019,540,216,1071,602,
August 2019,406,200,883,541,
September 2019,390,206,906,500,
October 2019,410,198,884,469,
November 2019,360,161,776,401,
December 2019,223,107,508,254,
January 2020,177,92,416,201,
February 2020,236,135,516,249,
March 2020,364,200,712,388,
April 2020,358,204,757,425,
May 2020,405,213,841,439,
June 2020,410,249,901,438,
July 2020,537,339,1058,518,
August 2020,596,377,1126,591,
September 2020,668,375,1213,638,
October 2020,651,320,1213,643,
November 2020,539,246,1032,525,
December 2020,389,176,745,377,
January 2021,334,179,617,276,
February 2021,355,199,658,291,
March 2021,442,258,893,415,
April 2021,501,261,1049,523,
May 2021,561,276,1210,603,
June 2021,613,264,1247,654,
July 2021,616,263,1201,642,
August 2021,562,246,1088,620,
September 2021,489,252,1067,584,
October 2021,410,237,1027,521,
November 2021,324,223,930,442,
December 2021,214,161,650,293,
January 2022,164,156,522,264,
February 2022,228,195,621,295,
March 2022,336,281,828,432,
April 2022,425,308,978,509,
May 2022,474,321,1035,587,
June 2022,548,309,1148,649,
July 2022,542,311,1127,644,
August 2022,497,270,1051,594,
September 2022,453,239,949,531,
October 2022,417,203,876,503,
November 2022,367,184,761,432,
December 2022,227,125,507,274,
January 2023,181,122,434,200,
February 2023,181,149,430,218,
March 2023,251,197,596,356,
April 2023,279,211,659,413,
May 2023,332,212,785,445,
June 2023,348,236,849,424,
July 2023,350,228,825,437,
August 2023,327,216,736,424,
September 2023,342,201,711,430,
October 2023,343,193,704,371,
November 2023,296,157,646,307,
December 2023,189,105,430,175,
January 2024,169,124,393,182,
February 2024,211,173,471,252,
March 2024,317,228,659,402,
April 2024,411,248,790,492,
May 2024,462,286,960,595,
June 2024,483,300,1041,630,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


