#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,748631,S,RESI,2538 29th Ave W,WA,"$1,236,300",3.5,"3,180",04/02/2015,700,Seattle,7.0,5
2,729389,S,COND,3661 24th Place W #304,WA,"$186,000",1.0,695,04/02/2015,700,Seattle,13.0,1
3,737150,S,COND,655 Crockett St #A105,WA,"$379,900",1.0,932,04/03/2015,700,Seattle,28.0,0
4,736464,S,COND,519 W Roy St #313,WA,"$195,000",1.0,531,04/03/2015,700,Seattle,5.0,0
5,748860,S,RESI,2617 24th Ave W,WA,"$605,000",1.5,"2,180",04/03/2015,700,Seattle,7.0,3
6,745068,S,RESI,2521 27th Ave W,WA,"$1,300,000",3.5,"4,450",04/06/2015,700,Seattle,4.0,6
7,748155,S,COND,626 4th Ave W #301,WA,"$351,200",2.0,698,04/06/2015,700,Seattle,5.0,2
8,739986,S,RESI,161 Aloha St,WA,"$707,500",1.0,"2,350",04/06/2015,700,Seattle,5.0,3
9,755875,S,COND,1234 Taylor Ave N #302,WA,"$336,000",1.0,921,04/06/2015,700,Seattle,8.0,2
10,753884,S,COND,519 W Roy St #316,WA,"$179,000",1.0,459,04/06/2015,700,Seattle,4.0,0
11,749381,S,RESI,2841 35th Ave W,WA,"$676,000",2.75,"1,955",04/07/2015,700,Seattle,3.0,4
12,720201,S,COND,202 W Olympic Place #405,WA,"$397,500",1.5,"1,164",04/07/2015,700,Seattle,70.0,2
13,740046,S,RESI,14 W Crockett St,WA,"$710,000",1.75,"2,318",04/07/2015,700,Seattle,18.0,4
14,735546,S,RESI,2909 W Bertona St,WA,"$710,000",1.75,"2,160",04/08/2015,700,Seattle,13.0,4
15,751598,S,RESI,2602 36th Ave W,WA,"$1,445,000",4.25,"3,470",04/08/2015,700,Seattle,3.0,5
16,747541,S,RESI,509 W Olympic Place #509C,WA,"$874,000",2.25,"1,860",04/08/2015,700,Seattle,3.0,3
17,745209,S,RESI,552 McGraw St,WA,"$600,000",3.25,"1,714",04/09/2015,700,Seattle,14.0,3
18,684210,S,RESI,2020 Dexter Ave N,WA,"$410,000",2.0,"1,290",04/09/2015,700,Seattle,56.0,5
19,738087,S,RESI,2006 Warren Ave N,WA,"$716,000",1.5,"1,140",04/09/2015,700,Seattle,25.0,3
20,688542,S,COND,501 Roy St #C224,WA,"$1,275,000",2.5,"2,146",04/09/2015,700,Seattle,190.0,3
21,757389,S,RESI,3227 21st Ave W #D,WA,"$570,000",2.25,"1,550",04/10/2015,700,Seattle,2.0,3
22,704596,S,RESI,1611 Taylor Ave N,WA,"$490,000",1.0,760,04/10/2015,700,Seattle,147.0,1
23,762227,S,RESI,3042 A 21st Ave W,WA,"$615,000",2.25,"1,750",04/11/2015,700,Seattle,5.0,3
24,739043,S,COND,3150 W Government Wy #202,WA,"$265,000",1.0,639,04/13/2015,700,Seattle,33.0,1
25,739246,S,RESI,1209 Warren Ave N,WA,"$1,805,000",3.25,"4,050",04/13/2015,700,Seattle,157.0,4
26,729721,S,COND,622 6th Ave W #502,WA,"$440,000",2.0,"1,061",04/13/2015,700,Seattle,60.0,2
27,736409,S,RESI,2668 9th Ave W,WA,"$710,000",1.0,"2,300",04/14/2015,700,Seattle,7.0,2
28,750426,S,COND,3622 14th Ave W #101,WA,"$343,000",1.75,"1,170",04/14/2015,700,Seattle,1.0,2
29,755802,S,COND,701 3rd Ave W #723,WA,"$262,500",1.0,796,04/14/2015,700,Seattle,7.0,2
30,751989,S,RESI,3213 Whalley Place W,WA,"$689,800",1.75,"2,180",04/14/2015,700,Seattle,3.0,3
31,751384,S,RESI,4012 34th Ave W,WA,"$830,000",3.0,"2,420",04/15/2015,700,Seattle,8.0,4
32,747283,S,COND,2572 14th Ave W #401,WA,"$365,000",2.0,"1,155",04/15/2015,700,Seattle,4.0,2
33,751085,S,RESI,2306 W Viewmont Wy W,WA,"$1,295,000",2.75,"3,830",04/15/2015,700,Seattle,58.0,4
34,746268,S,COND,2425 33rd Ave W #102,WA,"$375,000",2.0,"1,039",04/15/2015,700,Seattle,5.0,2
35,756837,S,RESI,4026 33rd Ave W,WA,"$557,800",1.75,"1,550",04/15/2015,700,Seattle,8.0,4
36,754953,S,RESI,2521 29th Ave W,WA,"$862,000",2.25,"2,429",04/16/2015,700,Seattle,6.0,4
37,751391,S,COND,3608 26th Place W #301,WA,"$425,000",1.75,"1,448",04/17/2015,700,Seattle,8.0,3
38,747743,S,RESI,360 Boston St,WA,"$935,000",2.0,"2,006",04/17/2015,700,Seattle,22.0,3
39,750550,S,RESI,3230 44th Ave W,WA,"$1,080,000",2.5,"2,770",04/17/2015,700,Seattle,7.0,5
40,765867,S,RESI,2203 Thorndyke Ave. W.,WA,"$475,000",2.25,"1,440",04/17/2015,700,Seattle,5.0,2
41,755437,S,COND,965 W Nickerson St #34,WA,"$320,000",1.75,"1,150",04/17/2015,700,Seattle,1.0,2
42,743554,S,COND,530 4th Ave W #207,WA,"$373,000",1.0,810,04/17/2015,700,Seattle,7.0,1
43,743010,S,COND,401 9th Ave N #617,WA,"$480,000",1.5,909,04/17/2015,700,Seattle,7.0,1
44,752412,S,COND,275 W Roy St #213,WA,"$360,000",1.0,770,04/18/2015,700,Seattle,4.0,2
45,734927,S,RESI,418 W Barrett St,WA,"$1,847,500",0.0,"1,640",04/20/2015,700,Seattle,13.0,0
46,747313,S,RESI,409 Lynn St,WA,"$1,065,000",2.5,"2,130",04/20/2015,700,Seattle,15.0,3
47,751208,S,RESI,2807 W Viewmont Wy W,WA,"$2,795,000",3.25,"5,410",04/20/2015,700,Seattle,9.0,6
48,741030,S,RESI,2558 14th Ave W #B,WA,"$629,950",2.25,"1,715",04/21/2015,700,Seattle,2.0,3
49,738418,S,COND,420 Valley St #401,WA,"$224,500",1.0,485,04/21/2015,700,Seattle,8.0,1
50,751449,S,RESI,3446 22nd Ave W #A,WA,"$655,000",3.0,"1,549",04/21/2015,700,Seattle,11.0,3
51,751459,S,RESI,3446 22nd Ave W #B,WA,"$649,950",3.0,"1,549",04/21/2015,700,Seattle,8.0,3
52,759158,S,RESI,1528 4th Ave W,WA,"$940,000",1.5,"2,920",04/21/2015,700,Seattle,7.0,3
53,751744,S,COND,620 W Mercer Place #1A,WA,"$652,500",2.0,"1,748",04/22/2015,700,Seattle,8.0,2
54,735551,S,COND,202 W Olympic Place #303,WA,"$365,000",1.5,"1,184",04/22/2015,700,Seattle,25.0,2
55,748644,S,RESI,3205 13th Ave W,WA,"$911,911",1.5,"2,856",04/23/2015,700,Seattle,25.0,3
56,757175,S,COND,500 W Roy #W108,WA,"$482,000",2.0,"1,076",04/23/2015,700,Seattle,8.0,2
57,734157,S,COND,2145 Dexter Ave N #102,WA,"$221,000",1.0,910,04/23/2015,700,Seattle,25.0,1
58,750281,S,COND,500 5th Ave W #102,WA,"$415,000",1.5,987,04/23/2015,700,Seattle,2.0,1
59,750539,S,COND,100 W Highland Dr #402,WA,"$885,000",1.75,"1,338",04/23/2015,700,Seattle,9.0,2
60,762625,S,RESI,2909 27th Ave W,WA,"$825,000",1.75,"3,400",04/23/2015,700,Seattle,5.0,4
61,751424,S,RESI,2118 4th Ave W,WA,"$1,112,000",2.75,"2,710",04/23/2015,700,Seattle,21.0,3
62,753561,S,COND,530 4th Ave W #506,WA,"$374,000",1.0,745,04/23/2015,700,Seattle,7.0,1
63,750637,S,RESI,41 W Etruria St #C,WA,"$550,000",3.5,"1,450",04/24/2015,700,Seattle,4.0,3
64,760766,S,COND,519 W Roy St #208,WA,"$215,000",1.0,515,04/24/2015,700,Seattle,9.0,0
65,758056,S,COND,901 5th Ave N #203,WA,"$249,000",1.0,610,04/24/2015,700,Seattle,7.0,1
66,753562,S,COND,415 W Republican St,WA,"$1,075,000",1.75,"1,812",04/24/2015,700,Seattle,4.0,2
67,735122,S,COND,812 5th Ave N #412,WA,"$315,000",1.0,580,04/27/2015,700,Seattle,45.0,1
68,759418,S,RESI,2515 Nob Hill Place N,WA,"$740,000",2.25,"2,890",04/28/2015,700,Seattle,15.0,3
69,758543,S,RESI,1912 10th Ave W,WA,"$818,000",2.5,"1,623",04/28/2015,700,Seattle,13.0,3
70,759905,S,RESI,2611 24th Ave W,WA,"$708,000",2.0,"2,340",04/28/2015,700,Seattle,4.0,4
71,755586,S,COND,2115 Westlake Ave N #101,WA,"$438,000",1.75,"1,188",04/28/2015,700,Seattle,7.0,2
72,756590,S,COND,900 Aurora Ave N #S501,WA,"$625,000",1.75,"1,479",04/28/2015,700,Seattle,9.0,3
73,756659,S,COND,901 5th Ave N #110,WA,"$172,000",1.0,592,04/28/2015,700,Seattle,7.0,1
74,728427,S,COND,1800 Taylor Ave N #210,WA,"$455,000",2.0,"1,201",04/28/2015,700,Seattle,54.0,3
75,762174,S,COND,500 Aloha St #E-107,WA,"$470,000",2.0,"1,117",04/28/2015,700,Seattle,4.0,2
76,761175,S,RESI,1615 4th Ave W #2,WA,"$490,000",1.5,"1,230",04/29/2015,700,Seattle,74.0,2
77,761176,S,COND,1615 4th Ave W #2,WA,"$490,000",1.5,"1,230",04/29/2015,700,Seattle,74.0,2
78,708605,S,RESI,2610 43rd Ave W,WA,"$1,115,000",2.5,"3,980",04/29/2015,700,Seattle,126.0,4
79,753435,S,RESI,2810 1st Ave W,WA,"$950,000",3.0,"2,813",04/29/2015,700,Seattle,7.0,4
80,760800,S,COND,100 Ward St #801,WA,"$830,000",1.75,"1,300",04/29/2015,700,Seattle,11.0,2
81,664949,S,COND,3700 26th Place W #102,WA,"$160,000",1.0,829,04/29/2015,700,Seattle,135.0,1
82,759956,S,COND,620 W Mercer Place #3B,WA,"$570,370",2.0,"1,508",04/29/2015,700,Seattle,1.0,2
83,706178,S,COND,1414 1st Ave W #501,WA,"$1,675,000",2.25,"2,307",04/30/2015,700,Seattle,105.0,3
84,766571,S,RESI,568 McGraw St,WA,"$710,200",3.25,"1,714",04/30/2015,700,Seattle,6.0,3
85,757620,S,COND,701 Galer St #503,WA,"$349,000",1.0,769,04/30/2015,700,Seattle,6.0,1
86,764120,S,COND,566 Prospect St #308,WA,"$300,000",1.0,742,04/30/2015,700,Seattle,2.0,2
87,761809,S,COND,701 Galer St #617,WA,"$493,000",2.25,"1,477",04/30/2015,700,Seattle,1.0,2
88,702526,S,RESI,2211 26th Ave W,WA,"$905,000",1.75,"2,740",04/30/2015,700,Seattle,129.0,5
89,765605,S,COND,912 3rd Ave W #304,WA,"$480,000",1.75,"1,061",04/30/2015,700,Seattle,6.0,2
90,765796,S,COND,1504 Aurora Ave N #311,WA,"$310,000",2.0,823,05/01/2015,700,Seattle,8.0,2
91,758586,S,RESI,2812 24th Ave W,WA,"$990,000",2.5,"2,580",05/01/2015,700,Seattle,9.0,4
92,764912,S,RESI,2816 W Viewmont Wy W,WA,"$978,500",2.25,"2,623",05/01/2015,700,Seattle,8.0,3
93,760126,S,COND,2811 14th W #101,WA,"$245,000",0.0,932,05/01/2015,700,Seattle,9.0,1
94,759555,S,RESI,2512 11th Ave W,WA,"$1,236,000",3.5,"2,590",05/01/2015,700,Seattle,7.0,4
95,766596,S,RESI,4320 32nd Ave W,WA,"$807,000",2.5,"1,940",05/01/2015,700,Seattle,7.0,3
96,761297,S,RESI,2525 29th Ave W,WA,"$600,000",1.75,"1,540",05/01/2015,700,Seattle,6.0,2
97,743521,S,COND,524 6th Ave W #001,WA,"$205,000",1.0,553,05/01/2015,700,Seattle,9.0,0
98,767384,S,COND,100 Ward St #604,WA,"$649,000",1.75,"1,275",05/01/2015,700,Seattle,120.0,2
99,762580,S,RESI,2351 24th Ave W,WA,"$775,000",2.75,"2,320",05/02/2015,700,Seattle,2.0,3
100758367,S,RESI,2606,Mayfair Ave N,WA,"$705,000",2.75,"2,260",05/02/2015,700,Seattle,6.0,3
101754914,S,RESI,1826,12th Ave W,WA,"$1,500,000",3.5,"3,670",05/03/2015,700,Seattle,7.0,5
102748251,S,RESI,2607,32nd Ave W,WA,"$700,000",1.75,"2,770",05/03/2015,700,Seattle,26.0,4
103759790,S,COND,301,W Raye #206,WA,"$284,000",1.5,697,05/04/2015,700,Seattle,5.0,2
104760732,S,COND,1200,6th Ave N #7,WA,"$396,000",1.5,"1,065",05/04/2015,700,Seattle,7.0,2
105766612,S,COND,1417,Queen Anne Ave N #312,WA,"$492,000",2.0,"1,006",05/04/2015,700,Seattle,2.0,2
106736922,S,RESI,3439,14th Ave W #A,WA,"$530,000",2.5,"1,585",05/04/2015,700,Seattle,48.0,3
107762880,S,COND,467,Newton St #103,WA,"$437,500",2.0,963,05/04/2015,700,Seattle,8.0,2
108759667,S,RESI,2119,W Ruffner St,WA,"$494,000",3.0,"1,615",05/04/2015,700,Seattle,1.0,3
109764720,S,RESI,3502,31st Ave W,WA,"$872,500",2.0,"2,551",05/05/2015,700,Seattle,5.0,4
110762115,S,COND,613,4th Ave W #103,WA,"$325,000",2.0,"1,150",05/05/2015,700,Seattle,6.0,2
111771299,S,COND,901,5th Ave N #114,WA,"$238,780",1.0,589,05/05/2015,700,Seattle,5.0,1
112766554,S,RESI,3229,27th Ave W,WA,"$708,000",1.0,"1,430",05/05/2015,700,Seattle,9.0,2
113765564,S,COND,3700,25th Place W #201,WA,"$340,000",1.75,979,05/05/2015,700,Seattle,5.0,2
114757105,S,RESI,3007,W Viewmont Wy W,WA,"$1,175,000",2.0,"3,860",05/05/2015,700,Seattle,6.0,4
115760263,S,COND,301,W Raye St #D114,WA,"$225,000",1.0,503,05/05/2015,700,Seattle,1.0,1
