MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1369381,S,RESI,1080 W Ewing Place #A6,WA,"$320,000",1.0,510,04/01/2019,700,Seattle,163.0,2
1398238,S,RESI,1403 10th Ave W,WA,"$1,580,000",2.75,"3,137",04/02/2019,700,Seattle,6.0,4
1414515,S,COND,2551 Thorndyke Ave W #305,WA,"$576,000",2.0,"1,085",04/02/2019,700,Seattle,5.0,2
1417499,S,RESI,3253 21st Ave W #A,WA,"$745,000",2.5,"1,480",04/03/2019,700,Seattle,129.0,3
1403383,S,RESI,2215 3rd Ave W,WA,"$1,650,000",3.0,"2,600",04/03/2019,700,Seattle,30.0,4
1417533,S,RESI,2615 3rd Ave W #D,WA,"$799,000",3.0,"1,319",04/03/2019,700,Seattle,,3
1434150,S-UL,RESI,712 W Bertona St,WA,"$1,900,000",0.0,"1,200",04/03/2019,700,Seattle,,0
1416796,S,RESI,3447 13th Ave W,WA,"$975,000",1.75,"1,890",04/04/2019,700,Seattle,6.0,3
1362025,S,RESI,314 W Prospect St,WA,"$2,650,000",3.25,"3,700",04/05/2019,700,Seattle,156.0,4
1410855,S,RESI,3207 28th Ave W,WA,"$1,250,000",2.5,"3,410",04/05/2019,700,Seattle,7.0,5
1419894,S,COND,1417 Queen Anne Ave N #207,WA,"$445,000",1.0,626,04/05/2019,700,Seattle,4.0,1
1414540,S,RESI,1002 5th Ave N,WA,"$1,490,000",3.25,"2,289",04/05/2019,700,Seattle,3.0,3
1404902,S,COND,2040 13th Ave W #22,WA,"$401,500",1.0,773,04/05/2019,700,Seattle,43.0,1
1407531,S,RESI,3047 34th Ave W,WA,"$949,000",2.5,"2,140",04/05/2019,700,Seattle,7.0,3
1418768,S,RESI,161 Lynn St,WA,"$1,695,000",3.0,"2,340",04/07/2019,700,Seattle,13.0,3
1415463,S,RESI,2716 1st Ave N,WA,"$1,210,000",1.75,"2,640",04/08/2019,700,Seattle,6.0,3
1408969,S,RESI,2065 Gilman Dr W,WA,"$700,000",2.5,"1,200",04/08/2019,700,Seattle,30.0,2
1408772,S,RESI,2215 Thorndyke Ave W,WA,"$799,000",1.75,"1,530",04/08/2019,700,Seattle,30.0,3
1421774,S,COND,63 W Etruria St #1,WA,"$400,000",1.0,627,04/08/2019,700,Seattle,5.0,1
