#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,234733,S,RESI,1526 28th Ave W,WA,"$820,000",2.5,"2,850",08/02/2011,700,Seattle,17.0,3
2,241366,S,RESI,306 W Howe St,WA,"$570,000",1.5,"1,890",08/02/2011,700,Seattle,3.0,2
3,244730,S,RESI,1815 4th Ave W,WA,"$427,500",1.0,"2,360",08/03/2011,700,Seattle,3.0,2
4,29064905,S,RESI,2333 Perkins Lane W,WA,"$1,137,400",3.0,"4,900",08/04/2011,700,Seattle,761.0,4
5,236815,S,RESI,2559 34th Ave W,WA,"$367,950",1.0,"2,180",08/04/2011,700,Seattle,1.0,2
6,241604,S,RESI,3609 12th Ave W,WA,"$539,950",2.0,"2,170",08/05/2011,700,Seattle,6.0,4
7,232262,S,COND,2624 4th Ave N #106,WA,"$311,850",2.0,"1,543",08/05/2011,700,Seattle,97.0,3
8,189493,S,COND,1001 Queen Anne Ave N #201,WA,"$250,000",1.0,"1,025",08/05/2011,700,Seattle,1019.0,2
9,248072,S,COND,131 W Comstock,WA,"$961,000",2.5,"2,164",08/06/2011,700,Seattle,4.0,3
10,233252,S,COND,750 Crockett St #201,WA,"$180,000",1.75,890,08/08/2011,700,Seattle,7.0,2
11,223816,S,COND,2334 Thorndyke Ave W #401,WA,"$430,000",2.0,"1,404",08/08/2011,700,Seattle,65.0,2
12,214755,S,RESI,2716 Warren Ave N,WA,"$635,000",2.0,"2,020",08/08/2011,700,Seattle,7.0,4
13,238983,S,RESI,2611 W Bertona St,WA,"$440,000",1.5,"1,780",08/08/2011,700,Seattle,13.0,2
14,140209,S,COND,1902 Bigelow Ave N #202,WA,"$230,000",1.0,945,08/09/2011,700,Seattle,245.0,2
15,153860,S,COND,3635 24 Place W #2,WA,"$279,500",1.75,"1,230",08/09/2011,700,Seattle,241.0,3
16,235875,S,RESI,2837 12th Ave W,WA,"$600,000",1.75,"1,820",08/10/2011,700,Seattle,4.0,3
17,244276,S,RESI,3036 24th Ave W,WA,"$430,505",1.75,"2,170",08/10/2011,700,Seattle,12.0,2
18,174372,S,RESI,1953 9th Ave W,WA,"$1,300,000",2.5,"3,540",08/10/2011,700,Seattle,242.0,4
19,129052,S,RESI,2629 35th Ave W,WA,"$358,000",1.0,900,08/11/2011,700,Seattle,300.0,2
20,187572,S,COND,2500 6th Ave N #2,WA,"$695,000",1.75,"2,000",08/12/2011,700,Seattle,132.0,2
21,228603,S,COND,2200 Thorndyke Ave W #102,WA,"$120,000",1.0,546,08/12/2011,700,Seattle,14.0,1
23,129223,S,RESI,1020 W Howe St,WA,"$595,000",2.5,"2,980",08/13/2011,700,Seattle,411.0,5
