MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
491391,S,RESI,610 W Smith St,WA,"$886,000",3.75,"3,450",08/01/2013,700,Seattle,8.0,3
493343,S,COND,3646 14th Ave W,WA,"$169,000",1.0,566,08/02/2013,700,Seattle,7.0,1
471232,S,COND,2253 Gilman Dr W #103,WA,"$225,000",1.75,"1,046",08/02/2013,700,Seattle,72.0,2
465483,S,COND,1312 6th Ave N #12,WA,"$156,500",1.0,450,08/02/2013,700,Seattle,42.0,1
506941,S,RESI,4600 W Raye St,WA,"$2,700,000",3.25,"5,250",08/03/2013,700,Seattle,9.0,3
491308,S,COND,330 W Olympic Place #304,WA,"$249,900",1.0,697,08/03/2013,700,Seattle,44.0,1
503083,S,RESI,3602 40TH Ave W,WA,"$461,350",1.5,"1,720",08/05/2013,700,Seattle,11.0,2
471420,S,RESI,2811 W Viewmont Wy W,WA,"$1,711,000",3.5,"4,354",08/05/2013,700,Seattle,77.0,5
504599,S,RESI,2826 42nd Ave W,WA,"$949,000",2.5,"2,260",08/05/2013,700,Seattle,7.0,4
512302,S,RESI,3442 10th Ave W,WA,"$699,000",2.0,"1,920",08/05/2013,700,Seattle,2.0,4
505449,S,RESI,1624 4th Ave W,WA,"$1,215,700",3.75,"3,170",08/06/2013,700,Seattle,7.0,5
510653,S,RESI,2625 31st Ave W,WA,"$440,000",1.75,"1,580",08/06/2013,700,Seattle,4.0,3
510411,S,RESI,3433 B 21st Ave W,WA,"$432,500",2.25,"1,574",08/06/2013,700,Seattle,5.0,3
510399,S,RESI,4019 30th Ave W,WA,"$485,000",1.75,"1,890",08/06/2013,700,Seattle,15.0,2
502024,S,RESI,3247 43rd Ave W,WA,"$599,000",2.5,"2,280",08/07/2013,700,Seattle,11.0,3
493107,S,RESI,3308 W Dravus,WA,"$566,950",2.0,"2,200",08/07/2013,700,Seattle,37.0,4
493958,S,RESI,3216 21st Ave W #A,WA,"$420,000",2.0,"1,424",08/08/2013,700,Seattle,21.0,2
512394,S,RESI,3409 35th Ave W,WA,"$840,000",2.75,"2,850",08/08/2013,700,Seattle,10.0,5
490169,S,COND,1001 2nd Ave W #102,WA,"$275,000",1.0,972,08/09/2013,700,Seattle,40.0,1
512092,S,RESI,3426 34th Ave #A,WA,"$465,100",3.0,"1,500",08/09/2013,700,Seattle,6.0,3
511152,S,RESI,501 W Olympic Place #D,WA,"$800,000",2.5,"2,040",08/12/2013,700,Seattle,6.0,3
510511,S,RESI,2566 43rd Ave W,WA,"$795,000",2.25,"2,370",08/13/2013,700,Seattle,10.0,3
515449,S,RESI,2525 9th Ave W,WA,"$735,000",1.5,"1,650",08/13/2013,700,Seattle,8.0,4
506408,S,COND,2510 W Manor Place #413,WA,"$307,500",1.75,"1,175",08/13/2013,700,Seattle,27.0,2
481925,S,COND,655 Crockett St #B208,WA,"$385,000",2.0,"1,085",08/13/2013,700,Seattle,49.0,2
494004,S,RESI,12 A W Etruria St,WA,"$570,000",3.0,"1,880",08/14/2013,700,Seattle,27.0,3
512795,S,RESI,3705 W Barrett St,WA,"$906,000",2.5,"2,950",08/14/2013,700,Seattle,7.0,4
