MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
24088579,S,RESI,2315 Perkins W,WA,"$525,000",2.5,"2,300",02/03/2005,700,Seattle,111.0,4
24141373,S,RESI,5617 42nd Ave W,WA,"$985,000",3.5,"3,400",02/04/2005,700,Seattle,110.0,4
25007241,S,RESI,2719 4th Ave W,WA,"$859,950",2.5,"3,658",02/04/2005,700,Seattle,2.0,5
24151283,S,COND,655 Crockett St #B208,WA,"$404,990",2.0,"1,085",02/04/2005,700,Seattle,76.0,2
24144973,S,COND,900 Warren Ave N #103,WA,"$315,990",1.75,"1,016",02/04/2005,700,Seattle,2.0,2
25005253,S,RESI,3522 W Lawton Cir,WA,"$1,100,000",3.5,"4,064",02/06/2005,700,Seattle,323.0,4
25001179,S,COND,2420 8th Ave N #103,WA,"$575,000",2.0,"1,662",02/08/2005,700,Seattle,21.0,2
24143558,S,RESI,3429 10th Ave W,WA,"$535,000",1.75,"3,400",02/09/2005,700,Seattle,143.0,5
24161322,S,RESI,2845 31st Ave W,WA,"$440,000",2.0,"2,640",02/09/2005,700,Seattle,125.0,4
24148949,S,RESI,1009 W Garfield St,WA,"$399,950",1.75,"1,510",02/09/2005,700,Seattle,61.0,3
24136467,S,RESI,4029 31st Ave W,WA,"$451,000",1.75,"1,660",02/10/2005,700,Seattle,71.0,3
25007311,S,RESI,4022 34th Ave W,WA,"$350,000",1.0,"1,830",02/10/2005,700,Seattle,6.0,2
25003212,S,RESI,1616 Taylor Ave N,WA,"$605,000",3.0,"3,170",02/11/2005,700,Seattle,53.0,6
25001296,S,RESI,318 W Garfield St,WA,"$585,000",3.0,"2,190",02/11/2005,700,Seattle,18.0,4
25006569,S,COND,1001 2nd Ave W #301,WA,"$395,000",1.75,"1,309",02/11/2005,700,Seattle,13.0,2
24088459,S,RESI,3008 44th Ave W,WA,"$740,000",2.5,"2,930",02/14/2005,700,Seattle,180.0,3
25002529,S,RESI,2911 W Mansell,WA,"$506,000",2.0,"1,720",02/14/2005,700,Seattle,24.0,3
24096768,S,COND,2551 Thorndyke Ave W #301,WA,"$439,900",2.5,"1,468",02/14/2005,700,Seattle,184.0,3
24101287,S,RESI,2834 W Viewmont W,WA,"$1,190,000",3.5,"3,610",02/15/2005,700,Seattle,166.0,5
24107837,S,RESI,4321 W Montfort,WA,"$750,000",2.5,"3,840",02/15/2005,700,Seattle,147.0,3
24151817,S,RESI,710 W Wheeler St,WA,"$521,000",1.75,"2,130",02/15/2005,700,Seattle,82.0,3
25003946,S,RESI,2532 Queen Anne Ave N,WA,"$655,000",2.75,"2,200",02/16/2005,700,Seattle,9.0,3
24136386,S,RESI,3642 39th Ave W,WA,"$495,000",2.0,"3,160",02/16/2005,700,Seattle,172.0,3
24144954,S,COND,900 Warren Ave N #403,WA,"$470,700",1.75,"1,116",02/16/2005,700,Seattle,2.0,2
24106181,S,RESI,1022 B Taylor Ave N,WA,"$420,000",2.25,"1,481",02/16/2005,700,Seattle,172.0,3
24101647,S,COND,2551 Thorndyke Ave W #201,WA,"$356,900",2.0,"1,241",02/16/2005,700,Seattle,137.0,2
24150357,S,COND,1011 5 Ave N #404,WA,"$305,000",1.0,798,02/16/2005,700,Seattle,92.0,1
24164753,S,RESI,2622 Mayfair Ave N,WA,"$265,500",1.0,"1,350",02/16/2005,700,Seattle,14.0,2
24159976,S,COND,405 Prospect Ave #103,WA,"$249,950",1.0,651,02/16/2005,700,Seattle,,1
25006235,S,RESI,2470 Nob Hill Ave N,WA,"$665,000",2.25,"2,580",02/17/2005,700,Seattle,88.0,4
25007906,S,RESI,1906 6th Ave W,WA,"$496,250",2.75,"2,200",02/17/2005,700,Seattle,6.0,3
25010916,S,COND,1550 Eastlake Ave E #104,WA,"$336,724",2.0,"1,116",02/17/2005,700,Seattle,9.0,2
25007337,S,COND,1011 5 Ave N #204,WA,"$206,000",1.0,878,02/17/2005,700,Seattle,13.0,1
24122011,S,RESI,2517 Westmont W,WA,"$1,434,000",3.5,"3,850",02/18/2005,700,Seattle,205.0,4
24144972,S,RESI,309 Lynn St,WA,"$735,000",2.0,"3,070",02/18/2005,700,Seattle,108.0,4
25003779,S,RESI,3241 44th Ave W,WA,"$637,000",1.5,"2,740",02/18/2005,700,Seattle,10.0,3
24154487,S,RESI,354 Aloha St,WA,"$430,000",2.0,"1,680",02/18/2005,700,Seattle,69.0,2
24106188,S,RESI,1020 B Taylor Ave N,WA,"$425,000",2.25,"1,475",02/18/2005,700,Seattle,173.0,3
25000153,S,COND,3848 25th Ave W,WA,"$300,000",1.5,"1,679",02/20/2005,700,Seattle,20.0,2
25004102,S,RESI,1515 28th Ave W,WA,"$979,000",3.25,"3,780",02/21/2005,700,Seattle,86.0,3
25011939,S,RESI,3406 W Viewmont W,WA,"$491,250",1.5,"2,550",02/21/2005,700,Seattle,6.0,3
24163083,S,COND,507 W Mercer St #602,WA,"$347,000",1.75,"1,000",02/21/2005,700,Seattle,151.0,2
24143985,S,COND,133 Queen Anne Ave N. #606,WA,"$356,000",1.0,795,02/22/2005,700,Seattle,115.0,2
25007324,S,COND,2625 13th Ave W #301,WA,"$262,000",1.75,"1,019",02/22/2005,700,Seattle,13.0,2
24137787,S,COND,301 W Raye St #201,WA,"$254,950",1.0,605,02/22/2005,700,Seattle,107.0,3
25007278,S,COND,3661 24th W #406,WA,"$187,500",1.0,697,02/22/2005,700,Seattle,8.0,1
25004940,S,RESI,1509 4th Ave W,WA,"$450,000",1.5,"2,200",02/23/2005,700,Seattle,20.0,3
24162111,S,RESI,2217 W Ruffner St,WA,"$351,000",1.75,"1,920",02/23/2005,700,Seattle,39.0,2
25007194,S,RESI,2615 37th Ave W,WA,"$545,000",1.75,"2,230",02/24/2005,700,Seattle,17.0,3
25013683,S,RESI,1934 6th Ave W,WA,"$475,000",1.75,"2,150",02/24/2005,700,Seattle,10.0,3
24106196,S,RESI,1020 A Taylor Ave N,WA,"$435,000",2.25,"1,475",02/24/2005,700,Seattle,172.0,3
24141689,S,COND,900 Warren Ave N #204,WA,"$428,490",1.75,"1,207",02/24/2005,700,Seattle,12.0,2
25012073,S,COND,160 Lee St #109,WA,"$215,000",1.0,605,02/24/2005,700,Seattle,6.0,1
24143552,S,RESI,3008 10th Ave W,WA,"$597,500",2.0,"2,120",02/25/2005,700,Seattle,109.0,3
25004610,S,RESI,415 W McGraw St,WA,"$539,500",1.75,"3,000",02/25/2005,700,Seattle,15.0,4
25007790,S,COND,1219 6th Ave N #204,WA,"$356,750",2.5,"1,074",02/25/2005,700,Seattle,11.0,2
25011015,S,COND,1219 6th Ave N #208,WA,"$325,000",1.5,"1,042",02/25/2005,700,Seattle,4.0,2
25003672,S,COND,519 W Roy St #405,WA,"$159,900",1.0,492,02/26/2005,700,Seattle,6.0,0
25012736,S,RESI,2707 Nob Hill Ave N,WA,"$895,000",2.25,"4,600",02/28/2005,700,Seattle,6.0,4
24102809,S,RESI,2560 5th Ave W,WA,"$555,000",3.25,"3,050",02/28/2005,700,Seattle,244.0,4
25005280,S,RESI,43 W Dravus St,WA,"$480,950",3.0,"2,160",02/28/2005,700,Seattle,29.0,4
25007930,S,COND,1909 10th Ave W #203,WA,"$265,000",1.0,703,02/28/2005,700,Seattle,8.0,1
25004640,S,COND,133 Queen Anne Ave #603,WA,"$252,000",1.0,635,02/28/2005,700,Seattle,50.0,1
24166858,S,COND,123 Queen Anne Ave N #A205,WA,"$137,950",1.0,423,02/28/2005,700,Seattle,44.0,0
25011817,S,RESI,312 W Olympic Place,WA,"$600,000",1.5,"3,120",03/01/2005,700,Seattle,1.0,6
25003620,S,RESI,3425 42nd Ave W,WA,"$560,000",1.0,"1,650",03/01/2005,700,Seattle,4.0,3
25005403,S,RESI,4514 36th Ave W,WA,"$490,000",2.5,"1,710",03/01/2005,700,Seattle,11.0,3
25007894,S,COND,1525 Taylor Ave N #204,WA,"$200,000",1.0,596,03/01/2005,700,Seattle,25.0,1
25010763,S,COND,1300 W Boston St #33,WA,"$170,000",1.0,653,03/01/2005,700,Seattle,15.0,1
25010757,S,COND,3710 27th Place W #208,WA,"$155,000",1.0,658,03/01/2005,700,Seattle,115.0,1
24129325,S,COND,1216 5th Ave N,WA,"$881,125",2.5,"2,278",03/02/2005,700,Seattle,105.0,2
25008014,S,RESI,219 Ward St,WA,"$820,000",2.75,"3,280",03/02/2005,700,Seattle,186.0,3
25003850,S,COND,21 W Comstock St #101,WA,"$677,450",2.25,"1,600",03/02/2005,700,Seattle,13.0,2
24103505,S,RESI,1818 5th Ave N #1818,WA,"$479,000",2.5,"1,616",03/02/2005,700,Seattle,212.0,3
24160230,S,RESI,3004 W Tilden St,WA,"$465,000",1.75,"2,900",03/02/2005,700,Seattle,128.0,3
25007352,S,COND,3630 26 Place W #302-C,WA,"$450,000",1.75,"1,800",03/02/2005,700,Seattle,16.0,2
25004259,S,RESI,3037 30th Ave W #A,WA,"$431,500",2.5,"1,770",03/02/2005,700,Seattle,102.0,2
24144996,S,COND,900 Warren Ave N #302,WA,"$417,490",1.75,"1,110",03/02/2005,700,Seattle,,2
24161754,S,COND,123 Queen Anne Ave N #611,WA,"$237,500",1.0,595,03/02/2005,700,Seattle,142.0,1
24140280,S,COND,2244 13th Ave W #203,WA,"$134,900",1.0,589,03/02/2005,700,Seattle,123.0,1
25016768,S,RESI,3261 10th Ave W,WA,"$582,000",1.75,"2,560",03/03/2005,700,Seattle,4.0,3
25001290,S,RESI,154 Lynn St,WA,"$480,000",2.0,"1,638",03/03/2005,700,Seattle,10.0,5
24144982,S,COND,900 Warren Ave N #402,WA,"$440,000",1.75,"1,110",03/03/2005,700,Seattle,2.0,2
25006983,S,COND,2410 Aurora Ave N #104,WA,"$421,000",2.25,"1,638",03/03/2005,700,Seattle,16.0,2
25018023,S,RESI,1513 4th Ave W,WA,"$373,000",0.75,"1,230",03/03/2005,700,Seattle,7.0,2
25010869,S,COND,1550 Eastlake Ave E #504,WA,"$352,900",2.0,"1,116",03/03/2005,700,Seattle,9.0,2
24150582,S,RESI,3219 B 21 Ave W,WA,"$340,000",3.25,"1,563",03/03/2005,700,Seattle,62.0,3
10025013276,S,COND,526 W Mercer Place #403,WA,"$275,000",2.0,"1,000",03/03/2005,700,Seattle,281.0,2
10125012625,S,RESI,2606 W Raye St,WA,"$635,000",1.75,"2,920",03/04/2005,700,Seattle,12.0,5
10225006488,S,RESI,3215 33rd Ave W,WA,"$434,000",1.75,"2,340",03/04/2005,700,Seattle,91.0,5
10325012838,S,RESI,3037 30th Ave W #(B),WA,"$430,000",2.5,"1,770",03/04/2005,700,Seattle,4.0,2
10425016400,S,COND,410 W Roy St #E204,WA,"$335,000",1.75,"1,126",03/04/2005,700,Seattle,4.0,2
