#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,27005894,S,RESI,3615 41st Ave W,WA,"$579,950",1.75,"2,020",02/01/2007,700,Seattle,15.0,3
2,26175347,S,RESI,2207 Thorndyke Ave W,WA,"$475,990",2.25,"1,491",02/05/2007,700,Seattle,110.0,3
3,26175335,S,RESI,2400 W Boston St,WA,"$424,990",2.25,"1,420",02/05/2007,700,Seattle,75.0,2
4,26185946,S,COND,965 W Nickerson St #32,WA,"$360,000",1.75,"1,150",02/05/2007,700,Seattle,84.0,2
5,26189870,S,COND,410 W Roy St #209,WA,"$338,000",2.0,"1,031",02/05/2007,700,Seattle,23.0,2
6,26180500,S,RESI,2325 W Viewmont Wy W,WA,"$890,000",2.5,"3,280",02/07/2007,700,Seattle,181.0,4
7,27011727,S,COND,150 Valley St #402,WA,"$415,000",2.0,951,02/07/2007,700,Seattle,8.0,2
9,27009589,S,COND,2253 Gilman Dr W #101,WA,"$369,950",1.75,"1,172",02/08/2007,700,Seattle,21.0,2
10,26110205,S,COND,500 Aloha St #404,WA,"$685,000",2.0,"1,521",02/09/2007,700,Seattle,198.0,2
11,27002893,S,RESI,3229 A 21st Ave W,WA,"$470,000",3.0,"1,825",02/09/2007,700,Seattle,20.0,3
12,27001240,S,RESI,4300 30th Ave W,WA,"$729,000",2.5,"2,500",02/12/2007,700,Seattle,22.0,3
13,26182261,S,COND,1818 Bigelow Ave N #202,WA,"$470,000",1.75,936,02/12/2007,700,Seattle,65.0,2
14,26183592,S,COND,3601 24th Ave W #305,WA,"$220,000",1.0,706,02/12/2007,700,Seattle,99.0,1
16,27002289,S,COND,810 Taylor Ave N #226,WA,"$374,900",1.75,"1,006",02/14/2007,700,Seattle,108.0,2
17,26159702,S,RESI,902 W Lee St,WA,"$864,900",1.5,"2,350",02/15/2007,700,Seattle,83.0,3
18,26194546,S,RESI,3002 4th Ave W,WA,"$840,000",3.0,"3,910",02/16/2007,700,Seattle,156.0,4
19,27001402,S,COND,2628 4th Ave N #303,WA,"$355,000",1.75,"1,096",02/16/2007,700,Seattle,120.0,2
20,26190940,S,COND,3045 20th Ave W #305,WA,"$201,950",1.0,510,02/17/2007,700,Seattle,13.0,1
21,27003970,S,RESI,1313 4th Ave W,WA,"$795,000",3.0,"2,680",02/18/2007,700,Seattle,108.0,4
22,26153751,S,RESI,3216 22nd Ave W,WA,"$538,000",2.5,"2,130",02/19/2007,700,Seattle,116.0,3
23,27012795,S,COND,1605 5th Ave N #101,WA,"$525,000",1.75,"1,275",02/19/2007,700,Seattle,14.0,2
24,27003076,S,COND,2841 14th Ave W #202,WA,"$430,000",1.75,"1,121",02/19/2007,700,Seattle,139.0,2
25,26187952,S,COND,550 Aloha St #205,WA,"$277,900",1.0,690,02/19/2007,700,Seattle,48.0,1
26,26186336,S,COND,621 5th Ave N #205,WA,"$269,500",1.0,610,02/19/2007,700,Seattle,63.0,1
28,27015194,S,RESI,12 B W Etruria St,WA,"$635,000",3.0,"2,398",02/20/2007,700,Seattle,105.0,3
30,26173602,S,COND,1717 5th Ave N #404,WA,"$440,000",1.0,905,02/20/2007,700,Seattle,80.0,2
31,26186043,S,COND,1417 Queen Anne Ave N #202,WA,"$400,000",1.5,955,02/20/2007,700,Seattle,70.0,1
32,26182686,S,COND,1717 5th Ave N #103,WA,"$279,990",1.0,667,02/20/2007,700,Seattle,77.0,1
33,26192406,S,RESI,3622 C 22 Ave W,WA,"$372,500",1.5,"1,000",02/21/2007,700,Seattle,168.0,2
34,26134018,S,COND,621 5th Ave N #201,WA,"$328,000",1.0,679,02/21/2007,700,Seattle,131.0,1
35,26179559,S,COND,621 5th Ave N #307,WA,"$279,500",1.0,579,02/21/2007,700,Seattle,54.0,1
36,27009879,S,COND,912 3rd Ave W #504,WA,"$480,000",1.75,"1,061",02/22/2007,700,Seattle,17.0,2
37,26154443,S,RESI,2530 13th Ave W,WA,"$761,400",1.75,"2,744",02/23/2007,700,Seattle,213.0,4
38,26192507,S,RESI,622 W Smith St,WA,"$590,000",1.75,"2,460",02/23/2007,700,Seattle,156.0,3
39,27014704,S,RESI,3805 30TH Ave W,WA,"$500,000",1.75,"1,900",02/23/2007,700,Seattle,211.0,2
40,26201566,S,COND,1000 Aurora Ave N #N212,WA,"$294,100",1.0,762,02/23/2007,700,Seattle,14.0,1
41,26201456,S,RESI,2601 W Crockett St,WA,"$745,000",2.0,"2,510",02/24/2007,700,Seattle,116.0,3
43,26186171,S,COND,3710 25th Place W #402,WA,"$245,000",1.0,794,02/25/2007,700,Seattle,90.0,1
44,26184390,S,RESI,2106 26th Ave W,WA,"$794,000",2.5,"2,301",02/26/2007,700,Seattle,186.0,3
45,27011243,S,RESI,2445 W Lynn St,WA,"$695,000",1.75,"2,200",02/26/2007,700,Seattle,5.0,3
46,27018871,S,RESI,3247 12 Ave W,WA,"$655,000",1.75,"2,200",02/26/2007,700,Seattle,5.0,3
47,27007574,S,COND,2000 W Barrett St #302,WA,"$303,600",1.0,741,02/26/2007,700,Seattle,10.0,1
51,27002538,S,RESI,3600 22nd Ave W,WA,"$424,950",2.5,"1,420",02/27/2007,700,Seattle,114.0,3
53,27012542,S,COND,703 3 Ave W,WA,"$276,000",0.75,681,02/27/2007,700,Seattle,7.0,1
54,26148887,S,COND,557 Ward St,WA,"$600,000",2.25,"1,739",02/28/2007,700,Seattle,154.0,2
55,26185610,S,RESI,65 A Etruria St,WA,"$424,990",2.5,"1,370",02/28/2007,700,Seattle,100.0,2
56,27009722,S,COND,655 Crockett St #A504,WA,"$350,000",1.0,644,02/28/2007,700,Seattle,38.0,1
57,26181821,S,RESI,3016 W Hayes St,WA,"$1,160,000",3.5,"3,091",03/01/2007,700,Seattle,100.0,4
59,26179051,S,COND,500 Aloha St #PH-1,WA,"$712,000",2.5,"1,739",03/02/2007,700,Seattle,83.0,2
60,27012657,S,RESI,4610 34th Ave W,WA,"$692,500",2.75,"2,700",03/02/2007,700,Seattle,82.0,5
61,25091280,S,RESI,41 D W Etruria St,WA,"$460,000",3.5,"1,272",03/02/2007,700,Seattle,141.0,3
62,27008495,S,COND,2001 Westlake Ave N #24,WA,"$310,000",1.0,900,03/02/2007,700,Seattle,146.0,2
63,27010961,S,COND,701 1st Ave N #306,WA,"$262,000",1.0,553,03/02/2007,700,Seattle,19.0,0
65,27019586,S,COND,912 3rd Ave W #204,WA,"$375,000",1.75,"1,061",03/03/2007,700,Seattle,13.0,2
66,26168190,S,COND,2145 Dexter Ave N #103,WA,"$307,000",1.0,851,03/03/2007,700,Seattle,103.0,1
67,27009145,S,RESI,2636 W Newton St,WA,"$685,000",1.5,"2,340",03/05/2007,700,Seattle,4.0,2
68,26193380,S,COND,17 W Mercer St #303,WA,"$680,000",1.75,"1,408",03/05/2007,700,Seattle,83.0,2
69,27003032,S,RESI,3229 B 21st Ave W,WA,"$454,950",3.0,"1,966",03/05/2007,700,Seattle,148.0,3
70,27008092,S,RESI,2128 3rd Ave W,WA,"$449,000",1.75,"1,540",03/05/2007,700,Seattle,30.0,2
71,27018355,S,COND,3820 25th Ave W #3F,WA,"$400,000",1.5,"1,661",03/05/2007,700,Seattle,2.0,2
72,26164935,S,COND,550 Aloha St #406,WA,"$275,000",1.0,850,03/05/2007,700,Seattle,118.0,1
73,27002765,S,COND,1324 W Emerson #103,WA,"$237,000",1.0,737,03/05/2007,700,Seattle,13.0,1
