#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,28198288,S,COND,7 Highland Dr #404,WA,"$483,000",1.0,"1,064",02/03/2009,700,Seattle,7.0,2
2,28167773,S,RESI,2612 4th W,WA,"$480,000",3.75,"1,970",02/05/2009,700,Seattle,79.0,4
3,28192440,S,COND,510 Ward St #401,WA,"$410,250",1.75,"1,115",02/13/2009,700,Seattle,115.0,2
4,29003290,S,RESI,2809 W Boston St,WA,"$400,000",1.75,"2,620",02/13/2009,700,Seattle,156.0,2
6,28143547,S,COND,100 W Highland Dr #225,WA,"$525,000",1.5,"1,243",02/17/2009,700,Seattle,143.0,2
7,28159162,S,COND,1740 Aurora Ave N #203,WA,"$400,000",2.0,"1,239",02/17/2009,700,Seattle,118.0,2
8,29001919,S,COND,500 5th Ave W #704,WA,"$457,000",1.75,915,02/18/2009,700,Seattle,133.0,3
9,28176557,S,RESI,314 W Prospect St,WA,"$1,300,000",2.25,"2,730",02/20/2009,700,Seattle,358.0,3
10,28056949,S,RESI,2912 3 Ave N,WA,"$550,000",1.0,"1,230",02/20/2009,700,Seattle,295.0,2
11,28192434,S,COND,1730 Taylor Ave N #402,WA,"$225,000",1.0,650,02/21/2009,700,Seattle,58.0,1
12,29005739,S,RESI,1912 5th Ave W,WA,"$1,375,000",3.5,"3,575",02/23/2009,700,Seattle,56.0,5
13,28140583,S,RESI,2008 8th Ave N,WA,"$1,170,000",3.25,"2,420",02/23/2009,700,Seattle,145.0,2
16,28102714,S,COND,612 Prospect St #304,WA,"$210,000",1.0,757,02/23/2009,700,Seattle,229.0,1
17,28174478,S,RESI,1911 5th Ave W,WA,"$590,000",1.75,"1,980",02/24/2009,700,Seattle,130.0,3
18,28179092,S,RESI,3615 31st Ave W,WA,"$415,000",1.75,"1,860",02/24/2009,700,Seattle,86.0,3
19,29001431,S,COND,1629 Queen Anne Ave N #203,WA,"$470,000",2.75,990,02/25/2009,700,Seattle,35.0,2
20,28138775,S,COND,3150 W Government Wy #305,WA,"$370,000",1.75,"1,053",02/25/2009,700,Seattle,428.0,2
21,29009114,S,COND,275 W Roy St #117,WA,"$250,000",1.0,598,02/25/2009,700,Seattle,14.0,1
22,28104055,S,RESI,152 Lee St,WA,"$690,000",3.5,"2,200",02/26/2009,700,Seattle,233.0,3
23,28191776,S,RESI,501 C W Olympic Place,WA,"$675,000",2.5,"1,720",02/26/2009,700,Seattle,941.0,3
24,28142911,S,RESI,2504 7th Ave W,WA,"$1,020,000",2.75,"3,200",02/27/2009,700,Seattle,160.0,3
25,29006211,S,RESI,2638 38th Ave W,WA,"$599,000",2.75,"2,360",02/27/2009,700,Seattle,225.0,4
26,28138785,S,COND,3150 W Government Wy #306,WA,"$335,000",1.75,"1,043",02/27/2009,700,Seattle,482.0,2
27,28125443,S,COND,530 4th Ave W #501,WA,"$430,000",1.75,"1,116",02/28/2009,700,Seattle,181.0,2
28,29004385,S,RESI,2515 30th Ave W,WA,"$385,000",1.75,"1,870",03/01/2009,700,Seattle,16.0,3
29,28152058,S,RESI,2400 W McGraw St,WA,"$520,000",1.5,"1,590",03/02/2009,700,Seattle,130.0,3
