MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
20082171,S,RESI,665 W Highland Dr,WA,"$2,550,000",4.75,"6,290",01/05/2001,700,Seattle,,6
20127518,S,RESI,1114 2nd Ave N,WA,"$675,000",2.0,"2,820",01/05/2001,700,Seattle,,3
20136478,S,RESI,2620 Perkins W,WA,"$620,000",3.0,"2,570",01/08/2001,700,Seattle,,4
20142478,S,COND,2324 W Newton Street #102,WA,"$193,000",1.75,916,01/08/2001,700,Seattle,,2
20112085,S,COND,2410 Aurora Ave N #110,WA,"$322,000",2.25,"1,768",01/09/2001,700,Seattle,,2
20137167,S,RESI,4233 28th W,WA,"$329,500",1.75,"1,920",01/10/2001,700,Seattle,,2
20100967,S,COND,275 W Roy St #408,WA,"$209,990",1.0,650,01/10/2001,700,Seattle,,1
20112298,S,COND,521 5th Ave W #905,WA,"$320,000",1.0,888,01/12/2001,700,Seattle,,1
20100976,S,COND,275 W Roy St #101,WA,"$172,000",1.0,598,01/12/2001,700,Seattle,,1
20125272,S,RESI,2345 W Halladay,WA,"$462,500",3.5,"3,690",01/16/2001,700,Seattle,,5
20114878,S,COND,2101 Westlake Ave N #202,WA,"$248,000",1.75,"1,276",01/16/2001,700,Seattle,,2
20141027,S,COND,1511 11th Ave W ##6,WA,"$198,500",1.0,800,01/16/2001,700,Seattle,,1
20140919,S,COND,1800 Taylor Ave N #212,WA,"$151,000",1.0,574,01/17/2001,700,Seattle,,1
20142718,S,RESI,10 W Smith St,WA,"$499,500",2.0,"3,090",01/18/2001,700,Seattle,,4
20135335,S,COND,801 2nd Ave N #104,WA,"$270,000",1.75,955,01/18/2001,700,Seattle,,2
20114883,S,COND,275 W Roy St #316,WA,"$187,990",1.0,665,01/19/2001,700,Seattle,,1
20140863,S,COND,3700 26th W #B4,WA,"$126,950",1.0,745,01/19/2001,700,Seattle,,1
20114979,S,RESI,300 Ward St,WA,"$1,200,000",3.25,"3,510",01/23/2001,700,Seattle,,3
20140507,S,COND,920 5th Ave N #5,WA,"$203,000",2.25,915,01/23/2001,700,Seattle,,2
20129516,S,COND,1000 Aurora Ave N #609,WA,$0,1.75,"1,184",01/23/2001,700,Seattle,,2
20125531,S,RESI,3425 A 21st Ave W,WA,"$274,950",3.5,"1,836",01/24/2001,700,Seattle,,3
20125540,S,RESI,3425 B 21st Ave W,WA,"$274,950",3.5,"1,836",01/25/2001,700,Seattle,,3
20144628,S,RESI,3215 34th Ave W,WA,"$226,900",1.0,"1,580",01/25/2001,700,Seattle,,2
20136462,S,COND,1504 Aurora N #407,WA,"$147,000",1.0,598,01/29/2001,700,Seattle,,1
20128814,S,COND,519 W Roy #212,WA,"$131,000",1.0,475,01/29/2001,700,Seattle,,0
21005843,S,RESI,2002 Nob Hill Ave N,WA,"$808,000",2.25,"2,720",01/30/2001,700,Seattle,,3
20137134,S,RESI,1009 W Crockett,WA,"$415,000",1.5,"2,370",01/31/2001,700,Seattle,,3
20144927,S,RESI,2845 30th Ave W,WA,"$365,000",1.75,"2,660",01/31/2001,700,Seattle,,4
20134730,S,RESI,3508 W Government,WA,"$320,000",1.75,"1,912",01/31/2001,700,Seattle,,3
20137169,S,RESI,3644 24th Ave W,WA,"$245,000",1.0,"2,000",01/31/2001,700,Seattle,,3
20147759,S,RESI,3914 W Barrett,WA,"$625,000",1.75,"3,060",02/02/2001,700,Seattle,,3
21011351,S,RESI,3420 10th Ave W,WA,"$600,000",2.75,"3,030",02/02/2001,700,Seattle,,4
20123575,S,COND,802 Newton Str #202,WA,"$180,000",1.0,731,02/02/2001,700,Seattle,,1
20134462,S,RESI,1125 8th Ave W,WA,"$750,000",3.0,"3,970",02/03/2001,700,Seattle,,4
21003710,S,RESI,1824 5th Ave W,WA,"$452,500",1.75,"2,230",02/03/2001,700,Seattle,,3
20127341,S,RESI,2572 9th Ave W,WA,"$335,000",1.0,"2,040",02/05/2001,700,Seattle,,2
20143660,S,COND,914 6th Ave N #202,WA,"$186,750",1.5,975,02/05/2001,700,Seattle,,2
20136934,S,COND,420 Valley Street #W207,WA,"$167,000",2.0,733,02/06/2001,700,Seattle,,2
20114081,S,RESI,1921 Edgemont W,WA,"$550,000",1.5,"2,620",02/08/2001,700,Seattle,,3
20131883,S,COND,2111 Westlake Ave N #302,WA,"$260,000",1.5,"1,288",02/08/2001,700,Seattle,,2
20142334,S,RESI,2435 Lorentz N,WA,"$400,000",1.5,"2,820",02/09/2001,700,Seattle,,3
20137680,S,RESI,2813 1st Ave N,WA,"$495,000",2.0,"2,740",02/13/2001,700,Seattle,,3
21008107,S,RESI,2115 11th Ave W,WA,"$309,000",1.75,"1,690",02/13/2001,700,Seattle,,2
21002392,S,RESI,2020 12th Ave W,WA,"$449,000",2.25,"2,170",02/14/2001,700,Seattle,,3
20120470,S,COND,1902 Bigelow Ave #404,WA,"$255,000",1.0,945,02/14/2001,700,Seattle,,1
20136474,S,RESI,2517 Westmont W,WA,$0,3.5,"4,240",02/14/2001,700,Seattle,,4
20117893,S,RESI,2322 Thorndyke W,WA,"$240,000",1.75,"2,200",02/15/2001,700,Seattle,,2
20114982,S,COND,275 W Roy St #116,WA,"$168,990",1.0,598,02/15/2001,700,Seattle,,1
20133406,S,COND,1011 5th Ave N #106,WA,"$300,000",2.0,"1,646",02/17/2001,700,Seattle,,3
