#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,21127543,S,COND,1504 Aurora Ave N #305,WA,"$183,950",1.5,819,01/04/2002,700,Seattle,77.0,2
2,21144255,S,RESI,3413 10th Ave W,WA,"$325,000",1.5,"1,700",01/07/2002,700,Seattle,17.0,2
3,21141139,S,RESI,2633 35th Ave W,WA,"$244,000",1.5,"1,130",01/08/2002,700,Seattle,32.0,3
5,21145254,S,RESI,3239 31st Ave W,WA,"$369,000",2.5,"2,780",01/09/2002,700,Seattle,7.0,4
7,21145296,S,RESI,3026 35th Ave W,WA,"$335,000",1.75,"2,820",01/11/2002,700,Seattle,19.0,3
9,21124550,S,RESI,1610 Magnolia Blvd W,WA,"$2,200,000",3.25,"4,750",01/14/2002,700,Seattle,7.0,5
10,21153365,S,RESI,3117 W Dravus Street,WA,"$355,000",1.75,"2,150",01/15/2002,700,Seattle,7.0,3
11,21118512,S,RESI,1533 11th Ave W,WA,"$310,500",1.0,"2,430",01/15/2002,700,Seattle,104.0,2
12,21152616,S,COND,133 Queen Anne Ave N #403,WA,"$221,950",1.0,680,01/15/2002,700,Seattle,15.0,1
13,22001742,S,COND,2530 15th Ave W #410,WA,"$189,900",1.0,802,01/16/2002,700,Seattle,108.0,2
14,21098278,S,COND,2530 15th Ave W #401,WA,"$161,000",1.0,778,01/16/2002,700,Seattle,145.0,1
15,21146046,S,RESI,2537 36th Ave W,WA,"$360,000",1.0,"2,480",01/17/2002,700,Seattle,10.0,3
16,21121136,S,COND,701 First Ave N #206,WA,"$159,950",1.0,509,01/17/2002,700,Seattle,82.0,0
17,20126561,S,RESI,1080 W Ewing Street,WA,"$110,000",0.75,520,01/18/2002,700,Seattle,,1
18,21151634,S,COND,1800 Taylor Ave N #104,WA,"$80,000",1.0,363,01/18/2002,700,Seattle,19.0,0
19,22002144,S,COND,514 Ward Street #202,WA,"$419,000",2.0,"1,443",01/19/2002,700,Seattle,12.0,2
20,21140165,S,RESI,3505 Magnolia Blvd W,WA,"$489,500",1.75,"2,905",01/21/2002,700,Seattle,48.0,3
21,21139157,S,COND,521 5th Ave W #306,WA,"$245,000",1.0,888,01/21/2002,700,Seattle,53.0,1
22,21152609,S,COND,133 Queen Anne Ave #203,WA,"$197,950",1.0,680,01/21/2002,700,Seattle,10.0,1
23,22001394,S,RESI,2550 14th W Ave W,WA,"$300,000",1.75,"2,390",01/22/2002,700,Seattle,7.0,3
24,21121376,S,COND,701 First Ave N #405,WA,"$324,950",1.0,903,01/23/2002,700,Seattle,77.0,2
25,21080521,S,COND,120 W Highland Dr #220/1,WA,"$2,000,000",4.5,"3,200",01/24/2002,700,Seattle,185.0,4
26,21143774,S,RESI,1547 Thorndyke Ave W,WA,"$450,000",2.0,"2,950",01/24/2002,700,Seattle,42.0,3
27,21149656,S,COND,1504 Aurora Ave N #312,WA,"$213,000",1.75,981,01/24/2002,700,Seattle,37.0,2
28,21149083,S,RESI,116 Galer St,WA,"$529,950",3.5,"2,325",01/28/2002,700,Seattle,35.0,3
29,21150514,S,RESI,431 Halladay St,WA,"$430,000",1.75,"2,390",01/28/2002,700,Seattle,27.0,4
30,21132984,S,RESI,615 W Crockett,WA,"$340,000",1.0,"2,500",01/28/2002,700,Seattle,68.0,2
31,21135993,S,RESI,3508 W Government,WA,"$337,000",1.75,"1,912",01/28/2002,700,Seattle,63.0,3
32,21121399,S,COND,701 First Ave N #407,WA,"$177,950",1.0,529,01/28/2002,700,Seattle,97.0,1
33,21150162,S,RESI,2684 Bishop W,WA,"$405,000",2.5,"2,960",01/29/2002,700,Seattle,45.0,4
34,21110192,S,RESI,1425 10th Ave W,WA,"$392,870",1.5,"2,727",01/29/2002,700,Seattle,124.0,4
35,21145703,S,COND,3400 25th Ave W #302,WA,"$170,000",1.75,954,01/29/2002,700,Seattle,45.0,2
36,21151470,S,RESI,1414 Magnolia Blvd,WA,"$830,000",3.0,"4,120",01/30/2002,700,Seattle,13.0,4
37,21081639,S,RESI,5433 39th Ave W,WA,"$458,500",1.0,"1,800",01/30/2002,700,Seattle,196.0,1
38,21122076,S,COND,2530 15th Ave W #505,WA,"$280,000",2.0,"1,213",01/30/2002,700,Seattle,72.0,2
39,22001726,S,COND,2530 15th Ave W #404,WA,"$183,990",2.0,984,01/30/2002,700,Seattle,115.0,2
40,21099324,S,COND,2000 W Barrett #106,WA,"$139,000",1.0,736,01/30/2002,700,Seattle,157.0,1
41,21139253,S,COND,1425 Orange N,WA,"$499,000",3.5,"2,140",01/31/2002,700,Seattle,46.0,2
42,21139232,S,RESI,1425 Orange N,WA,"$499,000",3.5,"2,140",01/31/2002,700,Seattle,46.0,2
43,21155490,S,COND,717 3rd Ave W #717,WA,"$172,500",1.0,798,01/31/2002,700,Seattle,20.0,2
44,21133435,S,RESI,3420 W Blaine St,WA,"$675,000",1.75,"2,530",02/01/2002,700,Seattle,90.0,3
45,21150171,S,RESI,3812 32nd Ave W,WA,"$297,000",1.0,"2,380",02/01/2002,700,Seattle,42.0,2
46,21146513,S,RESI,735 W Florentia,WA,"$336,000",1.5,"2,220",02/04/2002,700,Seattle,43.0,3
47,21132236,S,COND,2244 13th Ave W #108,WA,"$145,000",1.0,584,02/04/2002,700,Seattle,78.0,1
48,21127546,S,RESI,1522 Bigelow Ave N,WA,"$400,000",1.5,"3,440",02/05/2002,700,Seattle,108.0,3
49,22000590,S,RESI,3410 Viewmont W,WA,"$379,500",1.0,"2,460",02/05/2002,700,Seattle,13.0,2
50,21145339,S,RESI,3612 39th Ave W,WA,"$320,000",1.0,"1,820",02/05/2002,700,Seattle,62.0,2
51,21130960,S,COND,1214 Taylor Ave N #201,WA,"$251,000",1.5,"1,161",02/05/2002,700,Seattle,102.0,3
52,21152410,S,RESI,2834 44th W. Ave W,WA,"$720,000",2.5,"3,920",02/07/2002,700,Seattle,65.0,4
53,21145833,S,COND,115 W Galer #307,WA,"$269,000",1.5,916,02/07/2002,700,Seattle,106.0,2
54,21143644,S,COND,500 W Roy St #206,WA,"$244,000",2.0,"1,071",02/07/2002,700,Seattle,23.0,2
55,21153101,S,COND,2108 Warren N #102 Ave #102,WA,"$213,750",2.0,835,02/07/2002,700,Seattle,28.0,2
56,21154462,S,COND,150 Valley Street #201,WA,"$160,500",1.0,648,02/07/2002,700,Seattle,33.0,1
57,21134966,S,RESI,2623 39th Ave W,WA,"$525,000",2.5,"3,340",02/08/2002,700,Seattle,64.0,4
58,22002869,S,RESI,3050 37th Ave W,WA,"$430,000",2.0,"2,440",02/11/2002,700,Seattle,115.0,3
59,22008223,S,RESI,4212 27th Ave W,WA,"$335,000",2.5,"1,970",02/11/2002,700,Seattle,9.0,3
60,22001299,S,RESI,2440 29th Ave W,WA,"$328,950",1.0,"2,500",02/11/2002,700,Seattle,13.0,4
62,21134303,S,RESI,2560 3rd Ave W,WA,"$296,500",1.0,"2,115",02/13/2002,700,Seattle,97.0,2
64,21122823,S,COND,2530 15th Ave W #510,WA,"$199,990",1.0,802,02/14/2002,700,Seattle,87.0,2
65,22008253,S,RESI,1608 2nd Ave N,WA,"$749,000",4.25,"3,000",02/15/2002,700,Seattle,,4
66,22004479,S,COND,810 Taylor Ave N #329,WA,"$170,000",1.0,681,02/15/2002,700,Seattle,22.0,1
67,21142739,S,COND,3100 W Commodore #407 #407,WA,"$325,000",1.75,"1,526",02/19/2002,700,Seattle,102.0,2
68,22000673,S,RESI,511 W Prospect,WA,"$975,000",2.25,"3,620",02/20/2002,700,Seattle,33.0,3
69,22000544,S,RESI,152 Lee St,WA,"$380,000",1.75,"2,930",02/20/2002,700,Seattle,17.0,4
70,21121239,S,COND,701 First Ave N #305,WA,"$299,950",1.0,903,02/20/2002,700,Seattle,99.0,2
71,21149974,S,COND,2618 4th Ave N #504,WA,"$265,000",1.75,"1,100",02/20/2002,700,Seattle,37.0,2
72,21132487,S,COND,202 West Olympic #304,WA,"$255,000",1.5,"1,184",02/20/2002,700,Seattle,99.0,2
73,21153851,S,COND,3636 14th Ave W #203,WA,"$223,500",2.0,"1,300",02/20/2002,700,Seattle,38.0,2
74,22001296,S,COND,524 6th Ave W #302,WA,"$142,950",1.0,500,02/20/2002,700,Seattle,37.0,1
75,21123497,S,RESI,3517 43rd W,WA,"$420,000",2.0,"2,970",02/21/2002,700,Seattle,131.0,3
76,22008430,S,RESI,2707 Prosch Ave W,WA,"$380,500",1.5,"2,070",02/21/2002,700,Seattle,12.0,3
77,21140942,S,RESI,3642 35th Ave W,WA,"$351,000",1.75,"2,440",02/21/2002,700,Seattle,87.0,3
78,22001871,S,COND,2530 15th Ave W #304,WA,"$178,000",2.0,984,02/21/2002,700,Seattle,122.0,2
79,22002578,S,RESI,2216 Viewmont W,WA,"$800,000",2.5,"3,000",02/22/2002,700,Seattle,78.0,2
80,22009249,S,RESI,3011 38th Ave W,WA,"$416,000",1.75,"2,260",02/22/2002,700,Seattle,5.0,3
81,21122424,S,COND,1001 2nd Ave W #201,WA,"$324,000",2.0,"1,317",02/22/2002,700,Seattle,127.0,2
83,21155342,S,COND,330 W Roy Street #301,WA,"$286,000",1.0,"1,083",02/22/2002,700,Seattle,23.0,2
84,22000086,S,COND,3710 26th W #206,WA,"$134,500",1.0,755,02/22/2002,700,Seattle,44.0,1
86,22011660,S,RESI,4010 33rd Ave W,WA,"$239,950",1.5,880,02/25/2002,700,Seattle,5.0,3
87,22011819,S,COND,810 Taylor Ave N #322,WA,"$175,400",1.0,689,02/25/2002,700,Seattle,7.0,1
88,22009015,S,RESI,112 W McGraw St,WA,"$445,000",2.0,"2,030",02/26/2002,700,Seattle,14.0,4
90,22015578,S,COND,133 Queen Anne Ave #404,WA,"$259,950",1.0,770,02/26/2002,700,Seattle,39.0,2
91,21121639,S,COND,1214 Taylor Ave N #402,WA,"$226,800",1.0,877,02/26/2002,700,Seattle,118.0,2
92,21121457,S,COND,701 First Ave N #411,WA,"$169,950",1.0,498,02/26/2002,700,Seattle,116.0,0
93,22005914,S,COND,3044 14th Ave W #B102,WA,"$157,750",1.0,662,02/26/2002,700,Seattle,11.0,1
94,22005999,S,COND,2625 13th Ave W #102,WA,"$157,000",1.0,700,02/26/2002,700,Seattle,20.0,1
95,22003638,S,COND,3609 14th Ave W #G3,WA,"$147,500",1.0,661,02/26/2002,700,Seattle,21.0,1
96,21148610,S,RESI,2688 Bishop W,WA,"$430,000",1.75,"2,800",02/27/2002,700,Seattle,60.0,2
97,22001493,S,COND,701 Galer St #408,WA,"$197,000",1.0,910,02/27/2002,700,Seattle,21.0,1
99,22010916,S,RESI,2713 Prosch Ave W,WA,"$355,950",1.75,"2,600",02/28/2002,700,Seattle,119.0,4
