#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,860258,S,COND,3003 14th Ave W #105,WA,"$495,000",2.0,"1,103",01/04/2016,700,Seattle,35.0,2
2,827817,S,RESI,215 W Garfield St,WA,"$699,950",2.0,"2,280",01/05/2016,700,Seattle,8.0,2
3,871593,S,COND,655 Crockett St #B501,WA,"$517,500",2.0,822,01/05/2016,700,Seattle,9.0,2
4,862984,S,RESI,2853 30th Ave W,WA,"$870,000",3.25,"3,360",01/08/2016,700,Seattle,6.0,4
5,866012,S,COND,654 W Olympic Place #202,WA,"$420,000",2.0,"1,075",01/08/2016,700,Seattle,25.0,2
6,844614,S,RESI,458 Wheeler St,WA,"$1,590,000",3.25,"3,526",01/11/2016,700,Seattle,12.0,4
7,849569,S,COND,1404 W Boston St #301,WA,"$400,000",1.75,"1,374",01/11/2016,700,Seattle,64.0,3
8,873952,S,COND,401 9th Ave N #608,WA,"$540,000",1.5,867,01/14/2016,700,Seattle,8.0,1
9,867750,S,COND,401 9th Ave N #406,WA,"$420,000",1.0,770,01/14/2016,700,Seattle,26.0,1
10,872106,S,RESI,1217 Olympic Wy W,WA,"$925,000",2.0,"2,020",01/15/2016,700,Seattle,17.0,3
11,868900,S,RESI,3443 10th Ave W,WA,"$715,000",1.75,"1,820",01/15/2016,700,Seattle,8.0,4
12,869932,S,COND,500 W Roy St #W101,WA,"$505,000",1.75,"1,112",01/15/2016,700,Seattle,8.0,2
13,869880,S,COND,802 Newton St #102,WA,"$320,000",1.0,732,01/15/2016,700,Seattle,4.0,1
14,873647,S,RESI,144 W Florentia St,WA,"$382,000",1.0,750,01/15/2016,700,Seattle,6.0,2
15,872900,S,COND,2244 13th Ave W #415,WA,"$325,000",1.0,811,01/18/2016,700,Seattle,10.0,2
16,866488,S,COND,519 W Roy St #212,WA,"$186,780",1.0,475,01/18/2016,700,Seattle,9.0,0
17,866367,S,COND,3423 W Government Wy #4,WA,"$320,000",1.5,960,01/19/2016,700,Seattle,13.0,2
18,865425,S,COND,500 W Olympic Place #306,WA,"$368,500",1.5,"1,000",01/19/2016,700,Seattle,78.0,2
19,878908,S,RESI,2804 W Boston St,WA,"$1,650,000",3.25,"3,474",01/20/2016,700,Seattle,,4
20,861555,S,COND,2200 Thorndyke Ave W #101,WA,"$302,000",1.0,746,01/20/2016,700,Seattle,20.0,2
21,878231,S,RESI,1919 8th Ave W,WA,"$979,950",2.25,"2,112",01/20/2016,700,Seattle,,3
22,874698,S,RESI,2438 Queen Anne Ave N,WA,"$916,227",1.75,"2,190",01/20/2016,700,Seattle,7.0,3
23,869320,S,RESI,2109 3rd Ave N,WA,"$906,000",2.75,"2,180",01/20/2016,700,Seattle,7.0,3
24,842826,S,COND,2562 Thorndyke Ave W #204,WA,"$256,000",1.75,"1,221",01/21/2016,700,Seattle,46.0,3
25,874559,S,COND,200 W Highland Dr #405,WA,"$1,325,000",1.75,"1,816",01/21/2016,700,Seattle,6.0,2
26,880733,S,RESI,2128 34th Ave W,WA,"$565,000",1.0,"1,620",01/22/2016,700,Seattle,7.0,3
27,867147,S,COND,3420 15th Ave W #201,WA,"$235,000",1.0,627,01/22/2016,700,Seattle,45.0,1
28,879135,S,RESI,2702 4th Ave W,WA,"$930,000",2.0,"2,350",01/22/2016,700,Seattle,7.0,3
