#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,1526700,S,RESI,3406 32nd Ave W,WA,"$699,000",1.0,"1,270",01/03/2020,700,Seattle,41.0,2
2,1535677,S,RESI,2460 W Lynn St,WA,"$2,070,000",3.5,"3,778",01/04/2020,700,Seattle,14.0,5
3,1552051,S-UL,COND,2470 Dexter Ave N #401,WA,"$450,000",1.75,"1,600",01/06/2020,700,Seattle,,3
4,1542374,S,COND,501 Roy St #C232,WA,"$800,000",2.25,"1,394",01/06/2020,700,Seattle,18.0,2
5,1525907,S,RESI,2117 W Armour St,WA,"$899,000",2.25,"1,815",01/06/2020,700,Seattle,64.0,3
6,1527574,S,RESI,2119 W Armour St,WA,"$955,000",3.25,"2,043",01/06/2020,700,Seattle,45.0,3
7,1527101,S,RESI,1906 8th Ave W,WA,"$900,000",1.75,"1,810",01/07/2020,700,Seattle,48.0,3
8,1546476,S,RESI,3821 34th Ave W,WA,"$695,000",2.25,"1,403",01/08/2020,700,Seattle,1.0,2
9,1524605,S,RESI,3404 10th Ave W,WA,"$690,000",2.0,"2,080",01/08/2020,700,Seattle,49.0,3
10,1510217,S,RESI,2806 W Dravus St,WA,"$855,000",1.75,"2,340",01/08/2020,700,Seattle,103.0,3
11,1465041,S,RESI,2548 13th Ave W,WA,"$965,000",1.75,"1,960",01/09/2020,700,Seattle,180.0,3
12,1541789,S,RESI,3817 34th Ave W #B,WA,"$815,000",2.5,"1,760",01/09/2020,700,Seattle,16.0,3
13,1530254,S,COND,530 W Olympic Place #102,WA,"$375,000",1.0,591,01/09/2020,700,Seattle,58.0,1
14,1553837,S-UL,RESI,903 W Emerson St,WA,"$938,000",2.5,"1,870",01/10/2020,700,Seattle,,3
15,1541212,S,RESI,2016 14th Ave W,WA,"$825,000",2.0,"1,740",01/10/2020,700,Seattle,19.0,3
16,1509032,S,RESI,3324 W Government Wy,WA,"$687,500",2.25,"1,460",01/10/2020,700,Seattle,101.0,3
17,1545202,S,COND,323 Queen Anne Ave N #410,WA,"$359,950",1.0,510,01/13/2020,700,Seattle,4.0,1
18,1505188,S,COND,63 W Etruria St #6,WA,"$519,000",1.5,"1,000",01/13/2020,700,Seattle,73.0,2
19,1535996,S,RESI,2621 40th Ave W,WA,"$1,630,000",2.5,"3,460",01/14/2020,700,Seattle,42.0,4
20,1516018,S,RESI,663 W Emerson St,WA,"$625,000",2.25,"1,290",01/15/2020,700,Seattle,96.0,2
21,1542535,S,RESI,2605 W Lynn St,WA,"$1,158,000",2.0,"2,900",01/15/2020,700,Seattle,9.0,4
22,1545906,S,RESI,2855 W Jameson St,WA,"$1,400,000",2.25,"2,370",01/16/2020,700,Seattle,4.0,3
23,1530888,S,COND,123 Queen Anne Ave N #201,WA,"$392,000",1.0,658,01/16/2020,700,Seattle,61.0,1
24,1470530,S,RESI,1707 3rd Ave N,WA,"$999,000",1.0,"2,380",01/16/2020,700,Seattle,72.0,4
25,1430162,S,RESI,3251 Perkins Lane W,WA,"$1,650,000",2.0,"2,310",01/17/2020,700,Seattle,228.0,3
26,1537009,S,RESI,2225 30th Ave W,WA,"$1,300,000",2.75,"2,340",01/17/2020,700,Seattle,53.0,5
27,1540582,S,COND,965 W Nickerson St #25,WA,"$424,900",1.75,"1,117",01/18/2020,700,Seattle,127.0,2
28,1523653,S,COND,3820 25th Ave W #3F,WA,"$575,000",1.5,"1,661",01/18/2020,700,Seattle,79.0,2
29,1547450,S,RESI,3432 W Blaine St,WA,"$1,225,000",2.0,"2,880",01/21/2020,700,Seattle,7.0,3
30,1474128,S,COND,341 W Olympic Place #1,WA,"$1,185,000",1.75,"1,759",01/22/2020,700,Seattle,172.0,2
31,1535989,S,COND,809 Taylor Ave N #1 & A,WA,"$888,000",2.25,"1,561",01/22/2020,700,Seattle,53.0,3
32,1553099,S,RESI,3259 W Commodore Wy,WA,"$1,111,000",2.25,"1,748",01/23/2020,700,Seattle,1.0,3
33,1527261,S,COND,505 W Mercer Place #101,WA,"$1,285,000",2.5,"2,718",01/24/2020,700,Seattle,29.0,2
34,1546610,S,RESI,1911 31st Ave W,WA,"$1,080,000",2.75,"3,150",01/24/2020,700,Seattle,4.0,4
35,1548394,S,RESI,1917 3rd Ave N,WA,"$890,000",1.5,"1,820",01/24/2020,700,Seattle,9.0,4
36,1535232,S,RESI,1429 Warren Ave N,WA,"$1,350,000",2.5,"2,800",01/24/2020,700,Seattle,10.0,4
37,1526920,S,RESI,918 2nd Ave W #B,WA,"$740,000",2.25,"1,140",01/26/2020,700,Seattle,65.0,2
38,1534602,S,RESI,3021 35th Ave W,WA,"$1,125,000",2.0,"2,970",01/28/2020,700,Seattle,29.0,4
39,1542689,S,RESI,1311 W Newton St,WA,"$970,000",1.0,540,01/29/2020,700,Seattle,36.0,1
40,1520676,S,COND,965 W Nickerson St #24,WA,"$461,125",1.75,"1,154",01/29/2020,700,Seattle,92.0,2
41,1546828,S,RESI,2425 2nd Ave W,WA,"$1,180,000",3.25,"3,080",01/29/2020,700,Seattle,130.0,5
42,1533802,S,COND,1250 N Taylor Ave #302,WA,"$500,000",1.75,"1,235",01/29/2020,700,Seattle,82.0,2
