MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1686983,S,RESI,814 W Cremona St,WA,"$920,000",1.5,"2,320",01/04/2021,700,Seattle,5.0,2
1668450,S,RESI,107 C Aloha St,WA,"$819,000",1.75,"1,070",01/04/2021,700,Seattle,22.0,2
1695907,S,RESI,823 Warren Ave N,WA,"$740,000",1.75,"1,196",01/06/2021,700,Seattle,,2
1680720,S,RESI,4043 Williams Ave W,WA,"$1,950,000",3.5,"3,770",01/06/2021,700,Seattle,42.0,5
1670975,S,RESI,3219 A 21st Ave W,WA,"$739,000",2.25,"1,538",01/06/2021,700,Seattle,61.0,3
1684245,S,RESI,3514 29th Ave W,WA,"$2,279,000",4.25,"3,625",01/07/2021,700,Seattle,25.0,5
1667695,S,RESI,107 B Aloha St,WA,"$745,000",1.75,"1,100",01/07/2021,700,Seattle,36.0,2
1677925,S,COND,699 John St #706,WA,"$774,980",2.25,"1,284",01/07/2021,700,Seattle,49.0,2
1693578,S,RESI,2823 21st Ave W #B,WA,"$680,000",2.0,"1,000",01/07/2021,700,Seattle,8.0,2
1663803,S,COND,2530 15 Ave W #406,WA,"$257,500",1.0,635,01/07/2021,700,Seattle,96.0,1
1677250,S,COND,18 Dravus St #408,WA,"$585,000",2.0,916,01/07/2021,700,Seattle,8.0,2
1679524,S,RESI,3457 39th Ave W,WA,"$1,350,000",2.5,"2,950",01/08/2021,700,Seattle,35.0,4
1667646,S,RESI,310 Valley St #B,WA,"$860,000",2.25,"1,350",01/08/2021,700,Seattle,72.0,3
1683236,S,RESI,2314 D Thorndyke Ave W,WA,"$739,950",2.0,"1,260",01/08/2021,700,Seattle,30.0,2
1690819,S,RESI,2922 W Garfield St,WA,"$2,327,000",3.25,"3,117",01/08/2021,700,Seattle,3.0,5
1647835,S,RESI,2000 Thorndyke Ave W,WA,"$833,000",1.25,"1,511",01/08/2021,700,Seattle,118.0,2
1687837,S,RESI,3 W Dravus St,WA,"$900,000",2.25,"1,840",01/08/2021,700,Seattle,23.0,4
1694204,S,RESI,3321 W Commodore Wy,WA,"$1,338,321",2.0,"2,540",01/09/2021,700,Seattle,8.0,4
1679762,S,RESI,2538 13th Ave W,WA,"$1,995,000",3.0,"3,220",01/09/2021,700,Seattle,137.0,5
1567369,S,RESI,2540 13th Ave W,WA,"$2,125,000",4.0,"3,208",01/09/2021,700,Seattle,185.0,5
1693337,S,RESI,3212 15th Ave W #A,WA,"$659,995",1.5,"1,410",01/10/2021,700,Seattle,49.0,2
1679165,S,COND,762 Hayes St #27,WA,"$470,000",1.0,861,01/10/2021,700,Seattle,40.0,2
1663994,S,RESI,2215 Franklin Ave E,WA,"$745,000",1.5,"2,240",01/11/2021,700,Seattle,37.0,3
1695496,S,RESI,304 W Raye St,WA,"$860,000",2.5,"1,325",01/11/2021,700,Seattle,8.0,3
1692617,S,RESI,3042 31st Ave W,WA,"$1,088,000",3.0,"1,778",01/12/2021,700,Seattle,2.0,3
1677910,S,RESI,2311 W Crockett St,WA,"$825,000",3.25,"1,800",01/12/2021,700,Seattle,43.0,2
1646161,S,RESI,1416 9th Ave W,WA,"$1,750,000",3.5,"4,890",01/12/2021,700,Seattle,136.0,4
1683813,S,RESI,1909 8th Ave W #B,WA,"$585,000",1.5,830,01/12/2021,700,Seattle,87.0,2
1684978,S,COND,613 4th Ave W #103,WA,"$580,000",2.0,"1,150",01/12/2021,700,Seattle,17.0,2
1683339,S,COND,1717 5th Ave N #302,WA,"$418,000",1.0,670,01/14/2021,700,Seattle,47.0,1
1689288,S,RESI,2510 Westmont Wy W,WA,"$1,540,000",1.75,"2,580",01/14/2021,700,Seattle,24.0,4
1663484,S,COND,201 Galer St #440,WA,"$438,000",1.0,692,01/14/2021,700,Seattle,88.0,1
1670318,S,RESI,1962 8th Ave W,WA,"$975,000",2.5,"1,424",01/14/2021,700,Seattle,90.0,3
1677774,S,RESI,2813 1st Ave N,WA,"$1,130,000",2.75,"2,740",01/14/2021,700,Seattle,62.0,3
1696200,S,RESI,2583 W Viewmont Wy W,WA,"$1,400,000",1.75,"2,660",01/14/2021,700,Seattle,21.0,3
1656734,S,RESI,102 W Florentia St #B,WA,"$775,000",2.5,"1,420",01/15/2021,700,Seattle,102.0,3
1710069,S,COND,401 9th Ave N #508,WA,"$444,500",1.0,633,01/15/2021,700,Seattle,10.0,1
1697465,S,RESI,321 Lee St,WA,"$1,895,000",3.25,"2,290",01/15/2021,700,Seattle,5.0,3
1681269,S,COND,401 9th Ave N #507,WA,"$446,000",1.0,636,01/15/2021,700,Seattle,42.0,1
1692961,S,RESI,2300 W Newton St,WA,"$899,000",2.25,"1,712",01/15/2021,700,Seattle,7.0,3
1686887,S,COND,201 Galer St #426,WA,"$449,000",1.0,692,01/15/2021,700,Seattle,143.0,1
1687892,S,RESI,114 A W Florentia St,WA,"$660,000",1.5,"1,150",01/15/2021,700,Seattle,37.0,2
1697198,S,RESI,5625 42nd Ave W,WA,"$922,500",1.75,"2,000",01/15/2021,700,Seattle,4.0,3
1647650,S,COND,500 Elliott Ave W #412,WA,"$267,000",1.0,428,01/15/2021,700,Seattle,114.0,0
1664043,S,RESI,3438 23rd Ave W #A,WA,"$791,000",2.0,"1,640",01/15/2021,700,Seattle,89.0,3
