#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,1154595,S-UL,COND,500 Aloha St #E307,WA,"$610,000",2.0,"1,117",07/03/2017,700,Seattle,,2
2,1096063,S,RESI,2118 10th Ave W,WA,"$959,950",2.25,"1,858",07/03/2017,700,Seattle,37.0,3
3,1124322,S,RESI,20 Smith St,WA,"$1,050,000",1.75,"2,380",07/03/2017,700,Seattle,7.0,4
4,1134175,S,RESI,3202 11th Ave W,WA,"$900,000",1.75,"2,060",07/03/2017,700,Seattle,7.0,3
5,1142117,S,COND,1504 Aurora Ave N #206,WA,"$370,000",1.0,600,07/06/2017,700,Seattle,9.0,1
6,1136390,S,RESI,3405 21st Ave W,WA,"$859,000",2.25,"1,735",07/06/2017,700,Seattle,5.0,3
7,1127824,S,RESI,2605 E 22nd Ave W,WA,"$729,950",2.5,"1,707",07/06/2017,700,Seattle,4.0,3
8,1128841,S,RESI,2605 B 22nd Ave W,WA,"$749,950",2.5,"1,707",07/06/2017,700,Seattle,,3
9,1120602,S,RESI,2833 27th Ave W,WA,"$1,100,000",2.25,"1,960",07/06/2017,700,Seattle,11.0,3
10,1112919,S,RESI,2819 14th Ave W #B,WA,"$879,000",4.25,"2,155",07/07/2017,700,Seattle,16.0,4
11,1134250,S,RESI,3553 W Raye St,WA,"$925,000",1.75,"2,498",07/07/2017,700,Seattle,7.0,3
12,1132228,S,RESI,2605 W Armour St,WA,"$1,500,000",2.5,"2,929",07/08/2017,700,Seattle,2.0,4
13,1128044,S,RESI,2912 1st Ave W,WA,"$850,000",2.25,"1,780",07/09/2017,700,Seattle,17.0,3
15,1101673,S,RESI,3246 14th Ave W #B,WA,"$910,000",2.25,"1,850",07/10/2017,700,Seattle,47.0,3
16,1135025,S,RESI,2631 Mayfair Ave N,WA,"$975,000",2.25,"2,160",07/10/2017,700,Seattle,7.0,3
17,1085821,S,COND,200 W Highland Dr #106,WA,"$1,689,000",2.25,"1,713",07/10/2017,700,Seattle,96.0,2
18,1124660,S,COND,701 Galer St #808,WA,"$675,000",2.5,"1,350",07/10/2017,700,Seattle,24.0,2
19,1129085,S,COND,2400 Aurora Ave N #202,WA,"$770,000",2.5,"1,865",07/10/2017,700,Seattle,17.0,2
20,1137481,S,RESI,3228 Conkling Place W,WA,"$1,100,000",2.25,"2,100",07/10/2017,700,Seattle,7.0,2
21,1129726,S,RESI,2608 37th Ave W,WA,"$925,000",2.5,"1,980",07/10/2017,700,Seattle,6.0,3
22,1125034,S,RESI,2640 13th Ave W,WA,"$925,000",2.0,"2,820",07/10/2017,700,Seattle,12.0,5
23,1124179,S,COND,1740 Aurora Ave N #302,WA,"$478,000",1.0,792,07/11/2017,700,Seattle,7.0,1
24,1134825,S,RESI,510 B Prospect St,WA,"$1,398,500",2.5,"2,235",07/11/2017,700,Seattle,5.0,3
25,1129728,S,COND,3505 W Government Wy #303,WA,"$420,000",1.75,970,07/11/2017,700,Seattle,10.0,2
26,1148837,S,RESI,4216 27th Ave W,WA,"$607,500",1.0,"1,720",07/11/2017,700,Seattle,7.0,2
27,1115580,S,RESI,3835 33 Ave W,WA,"$850,000",1.0,"1,050",07/12/2017,700,Seattle,15.0,3
28,1112832,S,RESI,2535 11th Ave W,WA,"$1,000,000",2.25,"2,310",07/12/2017,700,Seattle,33.0,3
29,1122577,S,RESI,3636 41st Ave W,WA,"$950,000",2.0,"2,360",07/12/2017,700,Seattle,11.0,4
30,1083867,S,RESI,4210 Washington Ave W,WA,"$1,950,000",3.25,"4,185",07/12/2017,700,Seattle,79.0,4
31,1128113,S,COND,530 W Olympic Place #314,WA,"$385,000",1.0,650,07/12/2017,700,Seattle,10.0,1
32,1138273,S,RESI,2828 35th Ave W,WA,"$771,000",1.75,"1,620",07/13/2017,700,Seattle,4.0,2
33,1124310,S,RESI,2601 W Blaine St,WA,"$750,000",2.0,"1,900",07/13/2017,700,Seattle,95.0,3
34,1140566,S,RESI,3611 22 nd Ave W #A,WA,"$780,000",2.5,"1,750",07/14/2017,700,Seattle,6.0,3
35,1161478,S-UL,RESI,2512 36th Ave W,WA,"$915,000",2.0,"2,000",07/14/2017,700,Seattle,,3
36,1140988,S,COND,3045 20th Ave W #410,WA,"$421,000",1.0,708,07/14/2017,700,Seattle,4.0,2
37,1134715,S,RESI,2846 23rd Ave W,WA,"$695,000",1.75,"1,712",07/14/2017,700,Seattle,6.0,3
38,1137807,S,RESI,2520 42nd Ave W,WA,"$1,780,000",3.25,"3,200",07/14/2017,700,Seattle,7.0,5
39,1146516,S,RESI,308 Valley St #B,WA,"$888,888",1.75,"1,540",07/14/2017,700,Seattle,5.0,3
40,1134976,S,COND,2253 Gilman Dr W #409,WA,"$532,000",1.75,"1,046",07/14/2017,700,Seattle,8.0,2
41,1161797,S-UL,RESI,1919 A 9th Ave W,WA,"$855,000",2.25,"1,329",07/14/2017,700,Seattle,,3
42,1143755,S,COND,401 9th Ave N #313,WA,"$501,000",1.0,689,07/14/2017,700,Seattle,5.0,1
43,1138757,S,RESI,2310 W Dravus St,WA,"$748,500",2.5,"1,671",07/14/2017,700,Seattle,7.0,3
44,1093487,S,RESI,1411 10th Ave W,WA,"$1,600,000",3.5,"2,850",07/14/2017,700,Seattle,7.0,4
45,1128197,S,RESI,15 W McGraw St,WA,"$1,158,000",1.75,"1,860",07/15/2017,700,Seattle,7.0,3
46,1140009,S,RESI,2605 A 22nd Ave W,WA,"$735,000",2.0,"1,707",07/15/2017,700,Seattle,2.0,3
47,1140604,S,RESI,305 W Crockett St,WA,"$1,230,000",2.5,"2,090",07/15/2017,700,Seattle,6.0,4
49,1068714,S,RESI,2506 12th Ave W,WA,"$1,017,500",2.25,"2,410",07/17/2017,700,Seattle,140.0,3
50,1128663,S,RESI,4437 35th Ave W,WA,"$845,000",2.75,"2,090",07/17/2017,700,Seattle,22.0,3
51,1070047,S,RESI,4520 W Armour St,WA,"$2,058,000",3.0,"4,270",07/17/2017,700,Seattle,84.0,5
52,1147297,S,COND,1902 Bigelow Ave N #203,WA,"$587,000",1.0,945,07/17/2017,700,Seattle,8.0,1
53,1131229,S,COND,1017 W Nickerson St #117,WA,"$310,000",1.0,977,07/17/2017,700,Seattle,7.0,2
54,1136177,S,COND,2410 Aurora Ave N #102,WA,"$699,950",2.25,"1,638",07/17/2017,700,Seattle,14.0,2
55,1106427,S,RESI,459 Lynn St,WA,"$1,615,000",1.75,"2,710",07/17/2017,700,Seattle,7.0,3
56,1136161,S,RESI,3606 Arapahoe Place W,WA,"$1,112,000",2.5,"2,080",07/18/2017,700,Seattle,7.0,3
57,1145599,S,RESI,3425 37th Ave W,WA,"$675,000",1.0,"1,560",07/18/2017,700,Seattle,5.0,2
58,1135554,S,COND,3045 20th Ave W #409,WA,"$333,000",1.0,584,07/18/2017,700,Seattle,7.0,1
59,1137415,S,COND,699 John St #609,WA,"$480,000",1.0,642,07/18/2017,700,Seattle,6.0,1
60,1138462,S,RESI,3430 36th Ave W,WA,"$632,000",1.0,940,07/18/2017,700,Seattle,9.0,3
61,1083892,S,RESI,4218 Washington Ave W,WA,"$1,971,000",3.5,"4,088",07/18/2017,700,Seattle,129.0,4
62,1138070,S,RESI,2812 23rd Ave W,WA,"$925,000",1.75,"2,040",07/18/2017,700,Seattle,8.0,3
63,1138704,S,RESI,554 Highland Dr,WA,"$750,000",2.0,"1,710",07/19/2017,700,Seattle,9.0,2
64,1116173,S,COND,601 W Mercer Place #201,WA,"$750,000",2.0,"1,513",07/20/2017,700,Seattle,20.0,2
65,1141271,S,RESI,2556 27th Ave W,WA,"$1,888,000",3.5,"3,560",07/20/2017,700,Seattle,3.0,3
66,1139559,S,RESI,510 A Prospect St,WA,"$1,395,000",2.5,"2,121",07/20/2017,700,Seattle,13.0,3
67,1132264,S,COND,920 5th Ave N #B9,WA,"$561,250",1.5,"1,047",07/20/2017,700,Seattle,7.0,2
68,1134326,S,RESI,3022 31st Ave W #B,WA,"$509,950",1.0,870,07/21/2017,700,Seattle,19.0,2
69,1131174,S,COND,3406 W Government Wy #3,WA,"$439,900",2.0,949,07/21/2017,700,Seattle,9.0,2
70,1108328,S,RESI,4724 W Ruffner St,WA,"$1,850,000",3.5,"4,560",07/21/2017,700,Seattle,26.0,5
71,1149492,S,COND,133 Queen Anne Ave N #403,WA,"$430,000",1.0,635,07/21/2017,700,Seattle,5.0,1
72,1140162,S,RESI,2908 26th Ave W,WA,"$1,085,000",3.25,"4,160",07/21/2017,700,Seattle,6.0,4
73,1140493,S,COND,500 5th Ave W #506,WA,"$452,500",1.0,657,07/22/2017,700,Seattle,6.0,1
74,1144547,S,COND,415 W Mercer St ##801,WA,"$627,000",1.75,"1,188",07/23/2017,700,Seattle,9.0,2
75,1139978,S,COND,507 W Mercer St #502,WA,"$679,000",1.75,926,07/23/2017,700,Seattle,6.0,2
76,1145561,S,COND,521 5th Ave W #502,WA,"$635,000",1.0,907,07/24/2017,700,Seattle,6.0,1
77,1146628,S,COND,2324 W Newton St #102,WA,"$389,500",1.75,916,07/24/2017,700,Seattle,11.0,2
78,1146274,S,RESI,216 Boston St #B,WA,"$810,000",1.75,"1,424",07/24/2017,700,Seattle,8.0,3
79,1145574,S,RESI,823 W Armour St,WA,"$900,000",1.5,"1,590",07/24/2017,700,Seattle,4.0,4
80,1104085,S,RESI,2445 Magnolia Blvd W,WA,"$1,748,000",2.75,"3,000",07/24/2017,700,Seattle,47.0,3
