#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,1603229,S,COND,519 W Roy St #307,WA,"$425,000",1.0,669,07/01/2020,700,Seattle,7.0,1
2,1582366,S,RESI,2040 Westlake Ave N #1A,WA,"$268,000",0.75,333,07/01/2020,700,Seattle,68.0,1
3,1600503,S,COND,2420 8th Ave N #201N,WA,"$660,000",1.5,"1,130",07/01/2020,700,Seattle,5.0,2
4,1612546,S,RESI,4321 B 35th Ave W,WA,"$765,000",2.5,"1,341",07/02/2020,700,Seattle,7.0,3
5,1599777,S,COND,1730 Taylor Ave N #501,WA,"$1,050,000",1.75,"1,390",07/02/2020,700,Seattle,5.0,2
6,1593694,S,RESI,352 Wheeler St,WA,"$1,795,000",3.0,"2,881",07/02/2020,700,Seattle,6.0,4
7,1610859,S,COND,1504 Aurora Ave N #304,WA,"$399,000",1.5,862,07/02/2020,700,Seattle,2.0,2
8,1596538,S,RESI,4626 33rd Ave W,WA,"$965,000",3.0,"1,980",07/02/2020,700,Seattle,249.0,4
9,1603644,S,RESI,1829 C 11th Ave W,WA,"$757,500",1.75,"1,261",07/03/2020,700,Seattle,15.0,3
10,1607685,S,COND,3700 26th Place W #203,WA,"$321,000",1.0,765,07/03/2020,700,Seattle,1.0,1
11,1592523,S,COND,3700 26th Place W #301,WA,"$448,500",1.75,"1,310",07/06/2020,700,Seattle,34.0,3
12,1588492,S,RESI,2004 26th Ave W,WA,"$1,565,000",3.5,"3,670",07/06/2020,700,Seattle,47.0,5
13,1600644,S,RESI,3227 21st Ave W #A,WA,"$829,000",1.75,"1,510",07/06/2020,700,Seattle,1.0,3
14,1597746,S,COND,7 Highland Dr #404,WA,"$670,000",1.0,"1,064",07/07/2020,700,Seattle,67.0,2
15,1603992,S,COND,2400 Aurora Ave N #210,WA,"$1,129,561",2.25,"2,517",07/08/2020,700,Seattle,5.0,2
16,1596050,S,COND,2000 W Barrett St #306,WA,"$360,000",1.0,719,07/08/2020,700,Seattle,22.0,1
17,1606216,S,RESI,2024 36th Ave W,WA,"$1,255,000",1.5,"2,580",07/08/2020,700,Seattle,12.0,3
18,1612521,S,RESI,806 3rd Ave N,WA,"$900,000",2.75,"1,310",07/08/2020,700,Seattle,49.0,3
19,1592113,S,RESI,411 W Howe St,WA,"$1,288,000",2.0,"2,040",07/09/2020,700,Seattle,13.0,3
20,1603691,S,RESI,3022 42nd Ave W,WA,"$1,193,000",2.0,"2,367",07/09/2020,700,Seattle,2.0,3
21,1602789,S,RESI,2024 Constance Dr W,WA,"$1,490,000",3.0,"4,080",07/09/2020,700,Seattle,23.0,5
22,1606316,S,RESI,3447 37th Ave W,WA,"$1,225,000",2.75,"3,340",07/09/2020,700,Seattle,9.0,4
23,1611099,S,COND,401 9th Avenue N #313,WA,"$475,000",1.0,689,07/09/2020,700,Seattle,91.0,1
24,1593964,S,COND,301 W Raye St #A102,WA,"$540,000",2.5,"1,028",07/09/2020,700,Seattle,40.0,3
25,1605505,S,RESI,3208 32nd Ave W,WA,"$780,000",1.0,"1,160",07/09/2020,700,Seattle,5.0,2
26,1628325,S-UL,RESI,2537 1st Ave W,WA,"$1,040,000",0.0,"2,750",07/09/2020,700,Seattle,,0
27,1575423,S,RESI,2346 W Plymouth St,WA,"$1,080,000",3.0,"1,627",07/09/2020,700,Seattle,60.0,3
28,1609168,S,RESI,1829 A 11th Ave W,WA,"$795,000",1.75,"1,289",07/10/2020,700,Seattle,8.0,3
29,1577244,S,RESI,1815 12th Ave W,WA,"$1,222,500",3.5,"2,580",07/10/2020,700,Seattle,82.0,4
30,1598988,S,COND,1800 Taylor Ave N #311,WA,"$427,000",1.0,798,07/10/2020,700,Seattle,28.0,2
31,1610771,S,RESI,1528 Magnolia Wy W,WA,"$1,187,500",1.75,"1,990",07/10/2020,700,Seattle,5.0,2
32,1612570,S,COND,202 W Olympic Place #204,WA,"$620,000",1.5,"1,285",07/10/2020,700,Seattle,3.0,2
33,1619512,S,RESI,2707 4th Ave W,WA,"$1,000,000",1.0,"1,630",07/10/2020,700,Seattle,5.0,2
34,1614820,S,RESI,2840 22nd Ave W,WA,"$1,721,823",4.5,"3,646",07/11/2020,700,Seattle,11.0,5
35,1609537,S,RESI,3242 22nd Ave W,WA,"$955,000",1.0,"2,510",07/11/2020,700,Seattle,3.0,3
