#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,2190096,S-UL,RESI,3442 15th Ave NW,WA,"$400,000",1.0,"1,560",01/09/2024,700,Seattle,,1
2,2190091,S-UL,RESI,3440 15th Ave NW,WA,"$400,000",1.0,"1,200",01/09/2024,700,Seattle,,2
3,2078180,S,COND,2400 8th Ave N #101-S,WA,"$895,000",2.0,"1,159",07/03/2023,700,Seattle,6.0,2
4,2077969,S,RESI,425 W Howe St,WA,"$1,870,000",3.5,"2,370",07/03/2023,700,Seattle,5.0,4
5,2078105,S,RESI,358 Garfield St,WA,"$1,850,000",2.25,"2,520",07/03/2023,700,Seattle,5.0,3
6,2060465,S,COND,1758 Dexter Ave N #6,WA,"$620,000",1.0,"1,140",07/03/2023,700,Seattle,6.0,2
7,2070214,S,COND,3710 25th Place W #405,WA,"$423,325",1.0,874,06/30/2023,700,Seattle,3.0,2
8,2075591,S,RESI,3822 32nd Ave W,WA,"$790,000",1.75,"1,780",06/30/2023,700,Seattle,5.0,3
9,2055053,S,COND,1914 13th Ave W #302,WA,"$669,950",1.75,"1,415",06/30/2023,700,Seattle,49.0,2
10,2033963,S,COND,521 5th Ave W #202,WA,"$540,000",1.0,908,06/30/2023,700,Seattle,127.0,1
11,2038586,S,RESI,3408 34th Ave W #B,WA,"$965,000",2.25,"1,846",06/30/2023,700,Seattle,103.0,3
12,2066034,S,RESI,3021 35th Ave W,WA,"$1,295,000",2.0,"2,970",06/30/2023,700,Seattle,5.0,4
13,2127041,S,RESI,1617 3rd Ave W,WA,"$1,399,000",2.5,"1,908",06/30/2023,700,Seattle,3.0,3
14,2055387,S,RESI,3014 14th Ave W,WA,"$1,175,000",2.25,"1,830",06/30/2023,700,Seattle,40.0,4
15,2067134,S,COND,2034 14th Ave W #301,WA,"$475,000",1.75,882,06/29/2023,700,Seattle,20.0,2
16,2133475,S-UL,RESI,2601 12th Ave W,WA,"$2,635,000",3.25,"3,700",06/29/2023,700,Seattle,,5
17,2133282,S-UL,COND,201 Galer St #528,WA,"$878,750",1.75,"1,107",06/29/2023,700,Seattle,,2
18,2013268,S,COND,2100 Thorndyke Ave W #501,WA,"$1,350,000",2.0,"2,060",06/28/2023,700,Seattle,207.0,2
19,2073237,S,COND,1324 W Emerson St #303,WA,"$440,000",1.0,745,06/28/2023,700,Seattle,8.0,1
20,2054304,S,COND,410 W Roy St #E102,WA,"$439,950",1.0,781,06/28/2023,700,Seattle,34.0,1
21,2068307,S,RESI,1517 Magnolia Wy W,WA,"$2,040,000",1.75,"2,690",06/28/2023,700,Seattle,15.0,2
22,2074222,S,RESI,4437 35th Ave W,WA,"$1,150,000",2.75,"2,240",06/28/2023,700,Seattle,11.0,3
23,2067718,S,RESI,3442 15th Ave W,WA,"$602,000",0.75,"1,560",06/27/2023,700,Seattle,11.0,2
24,2070296,S,RESI,3830 36th Ave W,WA,"$1,114,000",2.25,"1,830",06/27/2023,700,Seattle,5.0,3
25,2071008,S,RESI,525 W Kinnear Place,WA,"$3,533,000",3.25,"3,660",06/26/2023,700,Seattle,7.0,4
26,2052916,S,RESI,1000 5th Ave N,WA,"$1,750,000",3.25,"2,254",06/26/2023,700,Seattle,38.0,3
27,2065278,S,COND,1300 W Boston St #35,WA,"$479,000",1.0,837,06/24/2023,700,Seattle,12.0,1
28,2069572,S,RESI,2531 Westmont Wy W,WA,"$2,900,000",3.25,"3,870",06/23/2023,700,Seattle,9.0,4
29,2052178,S,RESI,1810 6th Ave W,WA,"$1,420,000",2.5,"2,010",06/22/2023,700,Seattle,18.0,3
30,2075399,S,COND,3505 W Government Wy #206,WA,"$435,000",0.75,825,06/22/2023,700,Seattle,3.0,1
31,2062621,S,RESI,2701 2nd Ave N,WA,"$1,650,000",2.75,"3,220",06/22/2023,700,Seattle,5.0,4
32,2069225,S,RESI,3219 22nd Ave W,WA,"$1,211,100",2.0,"1,610",06/22/2023,700,Seattle,5.0,3
33,2047673,S,COND,3710 27th Place W #104,WA,"$315,000",1.0,680,06/22/2023,700,Seattle,72.0,1
34,2021775,S,RESI,2376 W Howe St,WA,"$1,789,000",3.5,"4,290",06/22/2023,700,Seattle,154.0,6
35,2069669,S,RESI,3513 W Howe St,WA,"$1,585,000",2.5,"1,990",06/21/2023,700,Seattle,6.0,3
36,2070758,S,RESI,411 W Lee St,WA,"$1,885,000",2.75,"2,670",06/21/2023,700,Seattle,5.0,4
37,2050863,S,RESI,3421 9th Ave W,WA,"$1,020,000",2.5,"1,901",06/21/2023,700,Seattle,47.0,3
38,2067516,S,RESI,405 W Crockett St,WA,"$1,520,000",2.75,"2,348",06/21/2023,700,Seattle,6.0,5
39,2057307,S,RESI,2521 W Dravus St,WA,"$935,000",1.0,"1,600",06/20/2023,700,Seattle,23.0,3
40,2068641,S,COND,2244 13th Ave W #310,WA,"$399,000",1.0,625,06/20/2023,700,Seattle,7.0,1
41,2062637,S,COND,1250 Taylor Ave N #303,WA,"$565,000",1.75,"1,237",06/19/2023,700,Seattle,30.0,2
42,2061447,S,COND,100 Ward St #203,WA,"$950,000",1.75,"1,275",06/17/2023,700,Seattle,8.0,2
43,2069474,S,COND,2034 14th Ave W #304,WA,"$327,000",1.0,527,06/17/2023,700,Seattle,4.0,1
44,2072197,S,COND,2310 Thorndyke Ave W #101,WA,"$610,000",2.25,"1,172",06/17/2023,700,Seattle,6.0,2
45,2044654,S,COND,323 Queen Anne Ave N #201,WA,"$525,000",2.0,880,06/16/2023,700,Seattle,50.0,2
46,2047397,S,RESI,2818 4th Ave W,WA,"$1,387,000",3.5,"2,290",06/16/2023,700,Seattle,6.0,3
47,2066330,S,RESI,4327 30th Ave W,WA,"$990,000",1.75,"2,090",06/16/2023,700,Seattle,15.0,3
48,2073411,S,COND,18 Dravus St #407,WA,"$430,000",1.0,597,06/16/2023,700,Seattle,2.0,1
49,2068718,S,RESI,1811 12th Ave W,WA,"$1,550,000",3.5,"2,020",06/16/2023,700,Seattle,3.0,4
50,2045420,S,RESI,3470 W Blaine St,WA,"$2,750,000",4.25,"4,000",06/15/2023,700,Seattle,14.0,4
51,2050281,S,RESI,2014 14th Ave W,WA,"$880,000",2.0,"2,580",06/15/2023,700,Seattle,9.0,4
52,2053585,S,RESI,2655 39th Ave W,WA,"$2,385,000",2.5,"4,640",06/15/2023,700,Seattle,10.0,3
53,2065551,S,COND,2001 Westlake Ave N #33,WA,"$534,900",1.0,900,06/15/2023,700,Seattle,4.0,2
54,2057739,S,COND,3814 11th Ave W #11,WA,"$385,000",1.0,977,06/15/2023,700,Seattle,10.0,2
55,2060987,S,RESI,1401 8th Ave W,WA,"$2,295,000",2.5,"3,630",06/15/2023,700,Seattle,8.0,4
56,2052998,S,COND,3045 20th Ave W #205,WA,"$290,000",1.0,510,06/15/2023,700,Seattle,25.0,1
57,2068436,S,RESI,3040 38th Ave W,WA,"$1,450,000",1.75,"2,120",06/15/2023,700,Seattle,1.0,3
58,2063749,S,COND,4264 27th Ave W #4264,WA,"$340,000",1.0,563,06/15/2023,700,Seattle,14.0,1
59,2063538,S,RESI,2642 31st Ave W,WA,"$950,000",1.0,"2,100",06/15/2023,700,Seattle,2.0,2
60,1929443,S,RESI,3423 9th Ave W,WA,"$1,055,000",2.5,"1,901",06/15/2023,700,Seattle,152.0,3
61,2069497,S,RESI,363 Lynn St,WA,"$1,427,000",1.75,"2,420",06/14/2023,700,Seattle,5.0,3
