MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
2262498,S-UL,RESI,3203 34th Ave W,WA,"$867,000",2.0,"1,940",07/09/2024,700,Seattle,,3
2251057,S,COND,3150 W Government Wy #305,WA,"$540,000",1.75,"1,052",07/09/2024,700,Seattle,8.0,2
2059864,S,RESI,2538 14th Ave W,WA,"$1,200,000",1.0,"1,380",07/09/2024,700,Seattle,5.0,2
2250530,S,RESI,2847 12th Ave W,WA,"$1,224,000",2.0,"1,590",07/08/2024,700,Seattle,5.0,3
2252127,S,RESI,1512 Thorndyke Ave W,WA,"$1,150,000",1.5,"2,080",07/08/2024,700,Seattle,8.0,2
2239533,S,RESI,2904 W Hayes St,WA,"$1,900,000",3.25,"3,490",07/08/2024,700,Seattle,16.0,5
2242115,S,RESI,110 Howe St,WA,"$1,680,000",1.75,"2,320",07/08/2024,700,Seattle,6.0,3
2261599,S-UL,COND,2819 36th Ave W,WA,"$956,000",2.25,"1,116",07/07/2024,700,Seattle,,2
2236810,S,COND,2215 14th Ave W #4,WA,"$425,000",1.0,829,07/05/2024,700,Seattle,3.0,2
2246725,S,RESI,2923 27th Ave W,WA,"$1,950,000",2.25,"2,840",07/03/2024,700,Seattle,6.0,4
2243754,S,COND,57 Etruria St #1,WA,"$382,500",1.0,725,07/03/2024,700,Seattle,15.0,1
2232422,S,RESI,1112 Taylor Ave N,WA,"$995,000",2.0,"2,300",07/03/2024,700,Seattle,11.0,4
2241230,S,RESI,2822 32nd Avenue W,WA,"$1,471,000",1.75,"2,420",07/02/2024,700,Seattle,8.0,4
2221579,S,COND,919 2nd Ave W #203,WA,"$255,000",1.0,576,07/01/2024,700,Seattle,8.0,1
2213625,S,RESI,2466 Westlake Ave N #6,WA,"$1,815,000",0.75,860,07/01/2024,700,Seattle,76.0,1
2225511,S,RESI,3408 15th Ave W #A,WA,"$702,000",1.75,"1,396",07/01/2024,700,Seattle,2.0,2
2195291,S,COND,3722 27th Place W #301,WA,"$450,000",1.0,992,06/30/2024,700,Seattle,115.0,2
2243085,S,RESI,345 W Olympic Place,WA,"$2,165,000",3.25,"4,330",06/28/2024,700,Seattle,8.0,6
2247041,S,COND,611 Highland Dr #601,WA,"$845,000",1.75,"1,270",06/28/2024,700,Seattle,5.0,2
2229727,S,COND,1324 W Emerson St #203,WA,"$405,000",1.0,743,06/28/2024,700,Seattle,30.0,1
2217206,S,COND,1300 W Boston St #32,WA,"$399,000",1.0,768,06/27/2024,700,Seattle,57.0,1
2236644,S,RESI,1309 W Dravus St,WA,"$975,000",2.5,"1,920",06/26/2024,700,Seattle,12.0,3
2238251,S,RESI,3041 W Viewmont Wy W,WA,"$2,998,000",4.25,"3,844",06/26/2024,700,Seattle,6.0,5
2227150,S,COND,2100 Thorndyke Ave W #301,WA,"$950,000",1.75,"1,598",06/26/2024,700,Seattle,31.0,2
2227048,S,COND,1964 26th Ave W #302,WA,"$425,000",1.0,807,06/26/2024,700,Seattle,39.0,1
2241252,S,RESI,3418 15th Ave W #C,WA,"$670,000",1.75,"1,390",06/26/2024,700,Seattle,1.0,2
2241317,S,RESI,2101 3rd Avenue W,WA,"$1,310,000",1.5,"2,260",06/26/2024,700,Seattle,5.0,3
2235162,S,COND,500 Aloha St #301,WA,"$750,000",2.0,"1,250",06/26/2024,700,Seattle,7.0,2
2226098,S,COND,3604 35th Ave W,WA,"$825,000",1.75,"1,292",06/25/2024,700,Seattle,6.0,2
2234764,S,COND,769 Hayes St #209,WA,"$360,000",1.0,566,06/25/2024,700,Seattle,12.0,1
2239173,S,COND,965 W Nickerson St #14,WA,"$444,500",1.75,"1,160",06/25/2024,700,Seattle,30.0,2
2216342,S,RESI,3448 13th Ave W,WA,"$829,999",1.75,"1,062",06/25/2024,700,Seattle,40.0,2
2238278,S,COND,515 W Olympic Place #1,WA,"$400,000",1.0,561,06/25/2024,700,Seattle,4.0,1
2220043,S,RESI,3257 22nd Ave W,WA,"$870,000",2.0,"1,380",06/24/2024,700,Seattle,47.0,3
2240461,S,COND,2906 W Bertona St,WA,"$1,695,000",3.5,"2,662",06/24/2024,700,Seattle,5.0,4
2250533,S,RESI,2607 31st Ave W,WA,"$1,220,000",2.0,"1,760",06/24/2024,700,Seattle,3.0,3
2232651,S,RESI,4037 32nd Ave W,WA,"$1,560,000",2.5,"2,860",06/24/2024,700,Seattle,34.0,4
2225371,S,COND,1525 Taylor Ave N #203,WA,"$360,000",1.0,558,06/24/2024,700,Seattle,36.0,1
2255985,S-UL,RESI,107 Lynn St,WA,"$3,200,000",3.5,"3,198",06/23/2024,700,Seattle,,4
2255968,S-UL,RESI,4459 Brygger Dr W,WA,"$730,000",1.0,913,06/23/2024,700,Seattle,,2
2236274,S,RESI,3508 W Emerson St,WA,"$910,000",1.0,"1,085",06/22/2024,700,Seattle,4.0,2
2247733,S,RESI,2 W Fulton St,WA,"$815,000",1.0,"1,440",06/22/2024,700,Seattle,6.0,3
2240485,S,COND,2906 W Bertona St #B,WA,"$825,000",2.0,"1,175",06/21/2024,700,Seattle,5.0,2
2255572,S-UL,RESI,2518 28th Ave W,WA,"$1,200,000",2.0,"2,230",06/21/2024,700,Seattle,,2
2170661,S,COND,1406 3rd Ave W #201,WA,"$1,375,000",2.0,"1,540",06/20/2024,700,Seattle,213.0,2
2245952,S,COND,2904 W Bertona St,WA,"$875,000",2.25,"1,096",06/20/2024,700,Seattle,3.0,2
2240447,S,RESI,1566 28th Ave W,WA,"$1,871,000",2.5,"3,600",06/20/2024,700,Seattle,7.0,3
2223839,S,COND,120 1st Ave W #404,WA,"$393,000",1.0,615,06/20/2024,700,Seattle,16.0,1
2254086,S-UL,RESI,914 W Emerson St,WA,"$1,100,000",2.0,"4,140",06/19/2024,700,Seattle,,8
2209629,S,COND,301 W Raye St #208,WA,"$435,000",1.0,605,06/18/2024,700,Seattle,75.0,2
2231954,S,COND,515 W Olympic Place #207,WA,"$365,000",1.0,949,06/18/2024,700,Seattle,33.0,2
2253969,S-UL,RESI,150 Lee St,WA,"$1,400,000",3.25,"2,200",06/18/2024,700,Seattle,,3
2236605,S,COND,2551 Thorndyke Ave W #202,WA,"$625,000",1.75,"1,330",06/18/2024,700,Seattle,6.0,2
