#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,24048217,S,RESI,3039 B 30th Ave W,WA,"$499,900",3.5,"2,300",06/01/2004,700,Seattle,11.0,3
2,24036168,S,RESI,5412 40th Ave W,WA,"$742,500",2.5,"3,058",06/02/2004,700,Seattle,21.0,4
3,24048087,S,RESI,4231 Williams Ave W,WA,"$627,000",3.0,"3,036",06/02/2004,700,Seattle,30.0,3
4,24064780,S,RESI,1402 3rd Ave W,WA,"$620,000",1.75,"2,190",06/02/2004,700,Seattle,5.0,3
5,24041649,S,RESI,3858 24th Ave W,WA,"$339,000",1.75,"1,780",06/02/2004,700,Seattle,6.0,3
6,24022752,S,RESI,3422 35th Ave W,WA,"$307,000",1.75,"1,000",06/02/2004,700,Seattle,39.0,2
8,24004506,S,RESI,1005 5th W,WA,"$1,200,000",2.5,"3,370",06/03/2004,700,Seattle,122.0,3
10,21156672,S,COND,2425 33rd Ave W #103,WA,"$489,000",2.0,"1,520",06/03/2004,700,Seattle,855.0,2
12,24052355,S,COND,133 Queen Anne Ave N #101,WA,"$239,000",1.0,793,06/03/2004,700,Seattle,10.0,1
13,24048282,S,COND,3400 25th Ave W #404,WA,"$230,000",1.75,"1,118",06/03/2004,700,Seattle,30.0,2
14,24043386,S,RESI,2201 Viewmont W,WA,"$695,000",2.75,"2,769",06/04/2004,700,Seattle,31.0,3
15,24047387,S,RESI,4014 32nd Ave W,WA,"$425,000",2.5,"2,370",06/04/2004,700,Seattle,18.0,4
16,24061698,S,COND,3609 14th Ave W #207,WA,"$159,950",1.0,725,06/04/2004,700,Seattle,4.0,1
17,24065332,S,RESI,3050 35th Ave W,WA,"$310,000",1.0,"1,880",06/05/2004,700,Seattle,5.0,3
18,24033245,S,COND,900 Aurora Ave N #S607,WA,"$405,000",2.0,"1,375",06/07/2004,700,Seattle,84.0,2
19,24027872,S,COND,1525 Taylor Ave N #603,WA,"$249,950",1.0,687,06/07/2004,700,Seattle,40.0,2
20,24046025,S,RESI,2302 Nob Hill Ave N,WA,"$623,000",2.0,"3,380",06/08/2004,700,Seattle,3.0,5
22,24014341,S,COND,17 W Mercer St #214,WA,"$250,000",1.0,704,06/08/2004,700,Seattle,96.0,1
23,24040386,S,COND,1605 5th Ave N #201,WA,"$385,000",1.75,"1,275",06/09/2004,700,Seattle,60.0,2
24,24034317,S,COND,2312 W Boston St #101,WA,"$325,900",2.0,"1,048",06/10/2004,700,Seattle,40.0,2
26,23115575,S,RESI,1230 Warren Ave N,WA,"$2,105,000",3.0,"4,910",06/11/2004,700,Seattle,251.0,3
27,24060982,S,RESI,4021 29 Ave W,WA,"$425,000",1.0,"1,610",06/14/2004,700,Seattle,6.0,2
28,23057275,S,RESI,1207 Aurora Ave N,WA,"$275,000",1.5,"2,650",06/14/2004,700,Seattle,376.0,3
29,24083435,S,RESI,3721 W fulton St,WA,"$1,022,500",3.0,"3,600",06/15/2004,700,Seattle,,4
30,24030517,S,COND,500 W Roy #W106,WA,"$299,000",2.0,"1,071",06/15/2004,700,Seattle,68.0,2
31,24056357,S,COND,1000 2nd Ave W #3,WA,"$268,000",1.0,920,06/15/2004,700,Seattle,46.0,2
32,24027895,S,COND,1601 Taylor Ave N #403,WA,"$249,950",1.0,731,06/15/2004,700,Seattle,70.0,2
34,24028190,S,RESI,2654 W Lynn St,WA,"$554,000",2.5,"3,440",06/16/2004,700,Seattle,82.0,3
35,24070459,S,RESI,209 W Blaine St,WA,"$500,000",1.5,"2,340",06/16/2004,700,Seattle,7.0,4
36,24055261,S,RESI,2441 W Lynn St,WA,"$469,000",1.75,"2,260",06/16/2004,700,Seattle,15.0,3
37,24041919,S,RESI,1925 Dexter Ave N,WA,"$429,900",1.75,"2,210",06/16/2004,700,Seattle,42.0,4
39,24063278,S,RESI,4352 36th Ave W,WA,"$380,000",2.0,"2,112",06/16/2004,700,Seattle,7.0,3
40,24044663,S,COND,2221 Gilman Dr W #404,WA,"$340,000",1.75,"1,203",06/16/2004,700,Seattle,15.0,2
41,24057576,S,COND,1008 6th Ave N #202,WA,"$274,000",2.0,880,06/16/2004,700,Seattle,15.0,2
42,24046600,S,COND,613 4 Ave W #203,WA,"$245,000",2.0,"1,150",06/16/2004,700,Seattle,15.0,2
43,24024724,S,COND,2510 W Bertona St #106,WA,"$173,000",1.0,769,06/16/2004,700,Seattle,95.0,1
45,24047208,S,RESI,3311 38th Ave W,WA,"$419,900",1.75,"2,380",06/17/2004,700,Seattle,45.0,4
46,24068756,S,COND,2612 23rd Ave W #2,WA,"$310,000",2.0,"1,200",06/17/2004,700,Seattle,8.0,3
47,24047855,S,COND,769 Hayes St #305,WA,"$179,000",1.75,753,06/17/2004,700,Seattle,24.0,2
48,23153910,S,COND,111 W Highland Dr #4W,WA,"$2,150,000",2.75,"2,592",06/18/2004,700,Seattle,165.0,2
49,24055894,S,RESI,1670 Magnolia Blvd W,WA,"$1,300,000",2.25,"3,120",06/18/2004,700,Seattle,8.0,3
50,24061407,S,COND,522 W Mercer #402,WA,"$350,000",2.0,"1,122",06/18/2004,700,Seattle,13.0,2
51,24049917,S,COND,326 Queen Anne Ave N #501,WA,"$326,000",2.0,877,06/18/2004,700,Seattle,45.0,2
52,24022855,S,COND,3661 24th W #402,WA,"$158,000",1.0,696,06/18/2004,700,Seattle,66.0,1
54,24034389,S,COND,2120 8th Ave N #400,WA,"$1,240,000",2.5,"2,100",06/21/2004,700,Seattle,36.0,2
55,24055787,S,RESI,209 Boston St,WA,"$618,000",1.5,"2,640",06/21/2004,700,Seattle,28.0,3
56,24012867,S,COND,609 W Mercer #300,WA,"$535,000",2.0,"1,740",06/21/2004,700,Seattle,116.0,2
58,24063835,S,RESI,3029 25th Ave W,WA,"$425,000",2.75,"2,880",06/21/2004,700,Seattle,159.0,2
59,24070399,S,COND,12 Ward St #A304,WA,"$271,600",1.0,636,06/21/2004,700,Seattle,17.0,1
60,24058352,S,RESI,2602 10th Ave W,WA,"$539,500",1.0,"2,010",06/22/2004,700,Seattle,11.0,4
61,24035771,S,COND,521 5th Ave W #803,WA,"$373,000",1.5,"1,070",06/22/2004,700,Seattle,62.0,1
62,24057044,S,COND,123 Queen Anne Ave N #601,WA,"$239,000",1.0,600,06/22/2004,700,Seattle,22.0,1
63,24057293,S,RESI,2123 4th Ave W,WA,"$661,000",2.5,"2,000",06/23/2004,700,Seattle,4.0,3
64,24063045,S,RESI,2636 W Newton St,WA,"$499,000",1.5,"2,340",06/23/2004,700,Seattle,14.0,2
65,24065236,S,RESI,2507 12th Ave W,WA,"$425,000",1.75,"2,200",06/23/2004,700,Seattle,45.0,3
66,24067254,S,COND,2040 Waverly N #203,WA,"$345,000",2.0,"1,040",06/23/2004,700,Seattle,7.0,2
67,24040336,S,COND,22 John St #40,WA,"$300,000",1.0,"1,000",06/23/2004,700,Seattle,63.0,1
68,24067629,S,RESI,366 Prospect St,WA,"$1,437,000",3.25,"3,580",06/24/2004,700,Seattle,7.0,4
69,24016622,S,RESI,3623 43rd Ave W,WA,"$800,000",3.25,"3,560",06/24/2004,700,Seattle,99.0,4
70,24042480,S,RESI,2557 4th Ave W,WA,"$750,000",2.0,"3,110",06/24/2004,700,Seattle,21.0,4
71,24074350,S,RESI,3822 30th Ave W,WA,"$325,000",1.0,"1,460",06/24/2004,700,Seattle,2.0,2
72,24072219,S,COND,1417 Queen Anne Ave N #209,WA,"$256,000",1.0,789,06/24/2004,700,Seattle,125.0,1
73,24057222,S,COND,123 Queen Anne Ave N #501,WA,"$233,500",1.0,595,06/24/2004,700,Seattle,19.0,1
74,24061780,S,COND,530 W Olympic #202,WA,"$187,000",1.0,606,06/24/2004,700,Seattle,7.0,1
75,24047937,S,COND,17 W Mercer St #215,WA,"$250,000",1.0,704,06/25/2004,700,Seattle,35.0,1
76,24057904,S,COND,100 W Highland Dr #104,WA,"$235,000",1.0,558,06/25/2004,700,Seattle,83.0,1
77,24067966,S,RESI,2607 28th Ave W,WA,"$675,000",2.5,"3,210",06/26/2004,700,Seattle,29.0,3
78,24067958,S,RESI,2602 36th Ave W,WA,"$435,000",1.75,"1,920",06/28/2004,700,Seattle,3.0,2
79,24058620,S,RESI,3027 34th Ave W,WA,"$325,000",1.0,"1,820",06/28/2004,700,Seattle,47.0,2
80,24031949,S,COND,1504 Aurora Ave N #205,WA,"$205,000",1.5,820,06/28/2004,700,Seattle,60.0,2
81,24075751,S,COND,2000 W Barrett St #302,WA,"$204,200",1.0,741,06/28/2004,700,Seattle,9.0,1
83,24073952,S,RESI,125 Lee St,WA,"$580,000",1.5,"2,620",06/29/2004,700,Seattle,4.0,3
84,24047805,S,COND,1601 Taylor Ave N #301,WA,"$299,950",1.5,915,06/29/2004,700,Seattle,25.0,1
85,24052590,S,COND,701 1st Ave N #402,WA,"$257,000",1.0,738,06/29/2004,700,Seattle,46.0,1
86,24032160,S,COND,1504 Aurora Ave N #310,WA,"$181,000",1.0,630,06/29/2004,700,Seattle,42.0,1
87,24051910,S,RESI,2448 31 Ave W,WA,"$900,000",4.5,"4,914",06/30/2004,700,Seattle,19.0,4
88,24065555,S,RESI,3505 W Howe St,WA,"$749,000",2.25,"3,360",06/30/2004,700,Seattle,13.0,3
89,24057256,S,RESI,1200 W Bertona St,WA,"$730,000",2.5,"3,100",06/30/2004,700,Seattle,206.0,4
90,24050757,S,RESI,3232 24th Ave W,WA,"$705,000",3.5,"3,600",06/30/2004,700,Seattle,34.0,4
92,24076320,S,RESI,4119 Dayton Ave N,WA,"$599,000",2.5,"2,590",06/30/2004,700,Seattle,32.0,4
93,24059131,S,RESI,3422 12th Ave W,WA,"$579,900",2.25,"2,630",06/30/2004,700,Seattle,13.0,4
94,21156662,S,COND,2425 33rd Ave W #107,WA,"$433,000",2.0,"1,335",06/30/2004,700,Seattle,870.0,2
95,24062246,S,RESI,3612 39th Ave W,WA,"$415,950",1.0,"1,820",06/30/2004,700,Seattle,12.0,2
96,24000968,S,COND,521 5th Ave W #904,WA,"$399,000",1.75,"1,073",06/30/2004,700,Seattle,172.0,2
97,24070755,S,COND,900 Aurora Ave N #208,WA,"$237,400",1.0,873,06/30/2004,700,Seattle,30.0,1
98,24059383,S,COND,519 W Roy St #108,WA,"$190,000",4.0,711,06/30/2004,700,Seattle,52.0,1
99,24068848,S,COND,3661 24th W,WA,"$170,000",1.0,962,06/30/2004,700,Seattle,15.0,1
10024050518,S,RESI,3408,30th Ave W,WA,"$770,000",2.25,"4,120",07/01/2004,700,Seattle,46.0,5
10124073652,S,RESI,3017,24th Ave W,WA,"$655,000",3.5,"2,800",07/01/2004,700,Seattle,12.0,3
10224069417,S,RESI,2031,Eastlake Ave E,WA,"$490,000",3.25,"3,080",07/01/2004,700,Seattle,38.0,4
10324040946,S,RESI,2909,W Bertona,WA,"$429,000",1.75,"2,120",07/01/2004,700,Seattle,80.0,4
10424074624,S,RESI,3228,36 Ave W,WA,"$345,000",1.0,"1,620",07/01/2004,700,Seattle,6.0,3
10524061251,S,COND,1008,6th Ave N #203,WA,"$299,000",1.75,896,07/01/2004,700,Seattle,8.0,2
10624056590,S,COND,330,W Olympic #406,WA,"$280,000",1.0,684,07/01/2004,700,Seattle,21.0,1
10724058101,S,COND,15,Prospect St #B101,WA,"$272,000",1.0,754,07/01/2004,700,Seattle,100.0,3
10824028054,S,COND,3630,26th W #C-101,WA,"$250,350",1.75,"1,800",07/01/2004,700,Seattle,34.0,2
10924054793,S,COND,1800,10th Ave W,WA,"$250,000",1.5,738,07/01/2004,700,Seattle,35.0,1
11024071439,S,COND,524,6th Ave W #401,WA,"$155,000",1.0,518,07/01/2004,700,Seattle,13.0,1
11124057660,S,RESI,1810,8th Ave W,WA,"$660,000",2.25,"2,600",07/02/2004,700,Seattle,36.0,4
11224055256,S,RESI,4516,W Ruffner St,WA,"$660,000",2.25,"2,700",07/02/2004,700,Seattle,39.0,4
11324066840,S,RESI,2558,30th Ave W,WA,"$439,000",2.0,"1,530",07/02/2004,700,Seattle,31.0,3
11424059888,S,RESI,3641,13th Ave W #B,WA,"$359,950",2.25,"1,704",07/02/2004,700,Seattle,14.0,2
11524054806,S,COND,2312,W Crockett St,WA,"$286,000",1.0,"1,120",07/02/2004,700,Seattle,31.0,2
11624045813,S,RESI,2849,Thorndyke Ave W,WA,"$280,000",1.0,"1,680",07/02/2004,700,Seattle,1.0,2
