MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
602780,S,COND,2048 13th Ave W #5,WA,"$485,000",2.25,"1,445",06/02/2014,700,Seattle,48.0,2
633541,S,COND,1504 Aurora Ave N #412,WA,"$350,000",1.75,981,06/02/2014,700,Seattle,12.0,2
629644,S,RESI,140 D W Florentia St,WA,"$552,000",1.75,"1,370",06/03/2014,700,Seattle,3.0,3
618518,S,COND,2100 W Thorndyke Ave W #301,WA,"$675,000",2.0,"1,598",06/03/2014,700,Seattle,22.0,2
602401,S,COND,1401 5th Ave W #407,WA,"$489,000",2.0,"1,206",06/03/2014,700,Seattle,32.0,2
582059,S,COND,769 Hayes St #208,WA,"$160,125",1.0,593,06/04/2014,700,Seattle,9.0,1
620706,S,RESI,3229 35th Ave W,WA,"$589,000",1.75,"1,500",06/04/2014,700,Seattle,115.0,4
613283,S,COND,521 5th Ave W #405,WA,"$360,000",1.0,888,06/04/2014,700,Seattle,20.0,1
619169,S,COND,420 Valley St #307,WA,"$309,900",2.0,736,06/04/2014,700,Seattle,16.0,2
632388,S,COND,420 Valley St #W502,WA,"$317,450",2.0,735,06/04/2014,700,Seattle,9.0,2
629686,S,RESI,34 Florentia St,WA,"$486,500",2.0,"1,160",06/05/2014,700,Seattle,5.0,1
601428,S,COND,2562 Thorndyke Ave W #201,WA,"$225,780",1.5,930,06/05/2014,700,Seattle,8.0,2
634601,S,RESI,2644 23rd Ave W #B,WA,"$640,000",2.5,"1,880",06/05/2014,700,Seattle,16.0,3
618318,S,COND,275 W Roy St #410,WA,"$295,000",1.0,665,06/05/2014,700,Seattle,6.0,1
622828,S,RESI,3047 21st Ave W,WA,"$607,500",1.0,"2,200",06/06/2014,700,Seattle,1.0,4
628738,S,RESI,2418 10th Ave W,WA,"$930,000",2.5,"2,700",06/06/2014,700,Seattle,6.0,4
627480,S,RESI,3636 41st Ave W,WA,"$730,000",2.0,"2,360",06/06/2014,700,Seattle,8.0,4
590639,S,RESI,3432 9th Ave W,WA,"$755,000",3.5,"2,410",06/06/2014,700,Seattle,66.0,6
614072,S,RESI,1950 9th Ave W,WA,"$645,000",3.0,"1,730",06/06/2014,700,Seattle,13.0,3
638162,S,RESI,303 W Prospect St,WA,"$2,400,000",3.5,"4,180",06/07/2014,700,Seattle,4.0,5
602194,S,RESI,1908 11th Ave W,WA,"$780,000",3.5,"3,080",06/07/2014,700,Seattle,59.0,4
582377,S,COND,124 Warren Ave N #308,WA,"$210,000",1.0,531,06/07/2014,700,Seattle,95.0,1
579142,S,RESI,2520 42nd Ave W,WA,"$975,000",3.25,"3,200",06/07/2014,700,Seattle,115.0,5
630863,S,COND,1525 Taylor Ave N #202,WA,"$194,000",1.0,566,06/09/2014,700,Seattle,141.0,1
612839,S,COND,2312 W Boston #202,WA,"$400,000",2.0,"1,018",06/09/2014,700,Seattle,3.0,2
625420,S,RESI,2548 14th Ave W,WA,"$499,950",2.5,"1,520",06/09/2014,700,Seattle,7.0,4
