#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,33296,S,RESI,3000 W Eaton St,WA,"$3,275,000",3.25,"4,827",05/03/2010,700,Seattle,23.0,3
2,40963,S,RESI,556 McGraw St,WA,"$482,000",3.0,"1,670",05/03/2010,700,Seattle,22.0,3
3,7075,S,COND,699 John St #308,WA,"$221,000",1.0,557,05/08/2010,700,Seattle,37.0,0
4,33558,S,RESI,2428 35th Ave W,WA,"$595,000",1.75,"2,040",05/10/2010,700,Seattle,16.0,3
5,25083,S,COND,1300 W Boston #21,WA,"$250,000",1.0,890,05/10/2010,700,Seattle,50.0,1
6,29011799,S,RESI,4315 W Semple St,WA,"$2,450,000",3.75,"8,210",05/10/2010,700,Seattle,952.0,5
7,25814,S,RESI,2766 Westlake Ave N #A,WA,"$575,000",1.0,900,05/10/2010,700,Seattle,19.0,2
8,45244,S,RESI,2607 W Howe,WA,"$389,000",1.0,"1,800",05/10/2010,700,Seattle,2.0,2
9,20397,S,RESI,2839 Viewmont Wy W,WA,"$1,621,620",3.25,"4,120",05/11/2010,700,Seattle,153.0,5
10,48726,S,RESI,2814 14th Ave W #A,WA,"$480,000",3.75,"2,075",05/11/2010,700,Seattle,307.0,3
11,44234,S,RESI,2118 3rd Ave W,WA,"$609,000",2.5,"1,780",05/11/2010,700,Seattle,17.0,3
12,37385,S,RESI,2522 8th Ave W,WA,"$835,000",2.5,"4,000",05/11/2010,700,Seattle,20.0,5
13,32165,S,RESI,1716 31st Ave W,WA,"$625,000",2.5,"2,270",05/12/2010,700,Seattle,31.0,3
15,56150,S,RESI,636 4th Ave W,WA,"$699,000",1.75,"1,530",05/13/2010,700,Seattle,,2
16,18646,S,RESI,2700 11th Ave W,WA,"$699,000",3.5,"2,700",05/13/2010,700,Seattle,70.0,3
17,63961,S,RESI,1610 9th Ave W,WA,"$1,100,000",3.25,"3,260",05/13/2010,700,Seattle,,3
18,43859,S,RESI,2569 W Viewmont Wy W,WA,"$867,000",2.0,"2,740",05/13/2010,700,Seattle,21.0,3
19,29152440,S,RESI,3444 23rd Ave W #B,WA,"$462,000",2.0,"1,476",05/13/2010,700,Seattle,181.0,2
20,29084,S,RESI,2543 30th Ave W,WA,"$430,000",1.75,"2,200",05/14/2010,700,Seattle,43.0,3
21,29141585,S,COND,124 Warren Ave N #110,WA,"$162,500",1.0,545,05/14/2010,700,Seattle,143.0,1
22,9128,S,COND,559 McGraw St #102,WA,"$153,000",1.0,761,05/14/2010,700,Seattle,97.0,1
23,37564,S,RESI,2521 Piedmont Place W,WA,"$425,000",1.75,"2,360",05/15/2010,700,Seattle,22.0,5
24,73764,S,RESI,2427 35th Ave W,WA,"$825,000",1.75,"2,210",05/17/2010,700,Seattle,,3
26,50952,S,COND,550 Aloha St #106,WA,"$231,000",1.0,740,05/17/2010,700,Seattle,16.0,1
27,36761,S,RESI,2120 1st Ave W,WA,"$586,500",1.0,"1,600",05/17/2010,700,Seattle,4.0,4
28,29165888,S,RESI,562 Ward St #A,WA,"$410,000",1.75,"1,306",05/18/2010,700,Seattle,104.0,1
29,49947,S,RESI,1916 2nd Ave N,WA,"$1,384,000",3.0,"3,050",05/18/2010,700,Seattle,1.0,5
30,31796,S,COND,900 Aurora Ave N #504,WA,"$337,000",2.0,"1,139",05/19/2010,700,Seattle,133.0,2
31,7635,S,RESI,2125 Dexter Ave N,WA,"$399,950",1.0,"2,050",05/19/2010,700,Seattle,96.0,3
32,43307,S,RESI,1411 1st Ave N,WA,"$979,000",3.0,"2,570",05/19/2010,700,Seattle,4.0,3
33,29005169,S,RESI,2107 Thorndyke Ave W,WA,"$329,600",1.0,"1,390",05/19/2010,700,Seattle,313.0,2
34,44551,S,COND,2040 13th Ave W #43,WA,"$350,000",1.75,"1,089",05/19/2010,700,Seattle,24.0,2
35,25183,S,COND,467 Newton St #101,WA,"$324,000",1.75,922,05/20/2010,700,Seattle,45.0,2
36,32826,S,RESI,735 W Florentia Place,WA,"$850,000",2.5,"3,390",05/20/2010,700,Seattle,41.0,3
37,29107064,S,COND,3604 26th Place W #202,WA,"$300,000",1.75,"1,548",05/21/2010,700,Seattle,239.0,2
38,53714,S,RESI,2118 2nd Ave N,WA,"$692,500",1.5,"2,660",05/21/2010,700,Seattle,12.0,4
39,34235,S,RESI,2637 3rd Ave N,WA,"$670,000",2.25,"2,210",05/21/2010,700,Seattle,55.0,3
40,51442,S,RESI,1240 W Bothwell St,WA,"$492,000",1.75,"1,900",05/21/2010,700,Seattle,18.0,3
41,4396,S,COND,1909 10th Ave W #202,WA,"$267,500",1.0,740,05/21/2010,700,Seattle,97.0,1
42,29134917,S,RESI,1024 W Howe St,WA,"$479,950",1.5,"2,860",05/21/2010,700,Seattle,195.0,4
43,58238,S,RESI,4201 W Bertona St,WA,"$480,000",1.5,"2,100",05/21/2010,700,Seattle,4.0,2
44,46125,S,RESI,1945 B 7th Ave W #B,WA,"$715,000",2.5,"2,190",05/21/2010,700,Seattle,21.0,3
