MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1232533,S,RESI,310 W Highland Dr,WA,"$3,500,000",3.75,"4,970",05/02/2018,700,Seattle,143.0,4
1260894,S,COND,133 Queen Anne Ave N #PH601,WA,"$773,000",1.0,854,05/02/2018,700,Seattle,8.0,2
1264929,S,COND,1 Ward St #2,WA,"$641,000",1.5,"1,000",05/03/2018,700,Seattle,37.0,1
1260960,S,RESI,4048 31st Ave W,WA,"$1,346,000",2.75,"3,560",05/03/2018,700,Seattle,6.0,5
1260385,S,RESI,3425 35th Ave W,WA,"$915,000",2.75,"2,600",05/04/2018,700,Seattle,31.0,4
1274012,S,RESI,731 W Florentia Place,WA,"$1,121,000",2.5,"3,190",05/04/2018,700,Seattle,4.0,4
1269871,S,COND,7 Highland Dr #503,WA,"$785,000",1.75,"1,106",05/04/2018,700,Seattle,11.0,2
1266775,S,COND,3440 25th Ave W #301,WA,"$515,000",1.75,"1,076",05/04/2018,700,Seattle,9.0,2
1271675,S,RESI,720 Nob Hill Ave N #D,WA,"$1,075,000",3.0,"1,665",05/04/2018,700,Seattle,23.0,3
1242566,S,RESI,1407 1st Ave N,WA,"$1,550,000",1.5,"2,140",05/04/2018,700,Seattle,7.0,3
1237194,S,COND,701 Galer St #805,WA,"$585,000",1.75,990,05/04/2018,700,Seattle,34.0,2
1259996,S,RESI,3715 Magnolia Blvd W,WA,"$2,125,000",6.0,"5,070",05/04/2018,700,Seattle,6.0,5
1261956,S,RESI,3416 33rd Ave W,WA,"$1,700,000",3.5,"3,491",05/05/2018,700,Seattle,24.0,5
1265779,S,RESI,2526 Warren Ave N,WA,"$1,115,000",2.75,"1,790",05/05/2018,700,Seattle,12.0,3
1262795,S,COND,500 Aloha St #301,WA,"$739,000",2.0,"1,250",05/07/2018,700,Seattle,13.0,2
1264429,S,RESI,33 Etruria St #C,WA,"$802,900",2.75,"1,580",05/07/2018,700,Seattle,8.0,3
1260634,S,COND,613 4th Ave W #201,WA,"$625,000",2.0,"1,175",05/07/2018,700,Seattle,8.0,2
1241561,S,RESI,160 Highland Dr,WA,"$3,450,000",6.5,"6,426",05/07/2018,700,Seattle,91.0,5
1264324,S,RESI,2602 Magnolia Lane W,WA,"$1,360,000",2.25,"1,940",05/08/2018,700,Seattle,11.0,3
1269367,S,COND,655 Crockett St #B208,WA,"$710,000",1.75,"1,086",05/08/2018,700,Seattle,6.0,2
1278401,S,RESI,2827 30th Ave W,WA,"$1,437,000",2.75,"2,480",05/09/2018,700,Seattle,7.0,4
1262310,S,RESI,301 W Crockett St,WA,"$1,349,000",1.75,"2,170",05/09/2018,700,Seattle,15.0,4
1258855,S,RESI,2105 Wolfe Place W,WA,"$905,000",1.5,"2,429",05/09/2018,700,Seattle,24.0,2
1268978,S,RESI,514 Lee St,WA,"$850,000",1.0,"1,990",05/09/2018,700,Seattle,15.0,3
1262673,S,COND,1001 Queen Anne Ave N #205,WA,"$616,000",1.5,"1,072",05/10/2018,700,Seattle,7.0,2
1186707,S,COND,105 W Highland Dr #200,WA,"$2,600,000",2.25,"3,255",05/10/2018,700,Seattle,197.0,2
1276137,S,RESI,2654 Bishop Place W,WA,"$810,000",1.75,"2,460",05/11/2018,700,Seattle,13.0,3
1256535,S,RESI,3704 W Dravus St,WA,"$1,400,000",2.5,"3,100",05/11/2018,700,Seattle,21.0,4
1274972,S,RESI,2648 W Plymouth St,WA,"$975,000",1.75,"2,120",05/11/2018,700,Seattle,7.0,3
1255494,S,RESI,1926 10th Ave W,WA,"$1,005,000",3.25,"1,710",05/11/2018,700,Seattle,34.0,3
1270526,S,RESI,3227 44th Ave W,WA,"$1,260,206",2.0,"2,280",05/11/2018,700,Seattle,7.0,4
1265571,S,RESI,1803 Bigelow Ave N,WA,"$1,400,000",2.5,"3,361",05/11/2018,700,Seattle,8.0,4
1265893,S,RESI,815 W Argand St,WA,"$1,200,000",3.0,"3,130",05/11/2018,700,Seattle,5.0,4
1275063,S,COND,655 Crockett St #A104,WA,"$680,000",1.0,"1,123",05/11/2018,700,Seattle,3.0,1
1237880,S,COND,202 W Olympic Place #301,WA,"$630,000",1.5,"1,187",05/12/2018,700,Seattle,80.0,2
1268765,S,COND,2841 14th Ave W #201,WA,"$625,000",1.75,"1,121",05/15/2018,700,Seattle,6.0,2
1272587,S,COND,2145 Dexter Ave N #101,WA,"$437,500",1.0,711,05/15/2018,700,Seattle,5.0,1
1274651,S,COND,3711 26th Place W #401,WA,"$420,000",1.75,946,05/15/2018,700,Seattle,6.0,2
1264382,S,COND,620 W Mercer Place #2B,WA,"$750,000",1.75,"1,453",05/15/2018,700,Seattle,9.0,2
1270134,S,RESI,3232 W Government Wy,WA,"$877,800",1.75,"1,823",05/16/2018,700,Seattle,6.0,3
1274942,S,COND,1605 5th Ave N #302,WA,"$784,000",2.0,"1,275",05/16/2018,700,Seattle,7.0,2
1280790,S,RESI,315 W Galer St #106,WA,"$1,215,000",2.25,"1,680",05/16/2018,700,Seattle,7.0,2
1274110,S,COND,1417 Queen Anne Ave N #403,WA,"$540,000",1.0,800,05/16/2018,700,Seattle,8.0,1
1271017,S,RESI,3217 11th Ave W,WA,"$1,200,000",2.25,"3,130",05/16/2018,700,Seattle,7.0,3
1279982,S,COND,133 Queen Anne Ave N #503,WA,"$565,000",1.0,635,05/16/2018,700,Seattle,8.0,1
1267110,S,RESI,2925 28th Ave W,WA,"$1,225,000",2.25,"2,850",05/16/2018,700,Seattle,4.0,3
1261287,S,RESI,2103 Condon Wy W,WA,"$1,350,000",1.75,"2,800",05/16/2018,700,Seattle,23.0,4
1279791,S,COND,2244 13th Ave W #402,WA,"$423,000",1.0,595,05/17/2018,700,Seattle,6.0,1
1270764,S,RESI,2720 Nob Hill Ave N,WA,"$1,100,000",3.25,"2,200",05/17/2018,700,Seattle,7.0,4
1274833,S,COND,1234 Taylor Ave N #104,WA,"$435,000",1.0,718,05/18/2018,700,Seattle,9.0,1
1281179,S,COND,1417 Queen Anne Ave N #313,WA,"$540,000",1.0,726,05/18/2018,700,Seattle,3.0,1
1274811,S,COND,3505 W Government Wy #301,WA,"$510,000",1.75,990,05/18/2018,700,Seattle,6.0,2
1274093,S,RESI,210 Boston St #B,WA,"$660,000",1.5,840,05/18/2018,700,Seattle,6.0,1
1277419,S,RESI,2721 3rd Ave N,WA,"$1,231,200",1.75,"1,730",05/18/2018,700,Seattle,7.0,3
1260241,S,RESI,2208 29th Ave W,WA,"$1,900,000",3.25,"3,760",05/18/2018,700,Seattle,10.0,4
1272639,S,COND,17 W Mercer St #303,WA,"$840,000",1.75,"1,408",05/18/2018,700,Seattle,7.0,2
1257286,S,RESI,1937 7th Ave W,WA,"$1,165,000",2.5,"2,200",05/18/2018,700,Seattle,34.0,4
1249952,S,RESI,2339 W Plymouth St,WA,"$1,099,950",2.5,"1,910",05/18/2018,700,Seattle,3.0,3
