#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
2,22225599,S,RESI,3642 35th Ave W,WA,"$416,000",1.75,"2,440",11/03/2002,700,Seattle,20.0,3
3,22091679,S,RESI,3811 A 12th W,WA,"$396,000",2.75,"1,945",11/03/2002,700,Seattle,77.0,2
4,22228422,S,RESI,2653 W Lynn St,WA,"$437,000",1.75,"3,080",11/05/2002,700,Seattle,4.0,4
5,22055580,S,COND,12 Ward St #A-102,WA,"$233,950",2.0,826,11/05/2002,700,Seattle,176.0,2
6,22226485,S,COND,420 valley St #401,WA,"$123,000",1.0,485,11/06/2002,700,Seattle,81.0,1
8,22226419,S,RESI,2715 W GALER St,WA,"$525,000",2.75,"1,920",11/08/2002,700,Seattle,12.0,3
9,22234489,S,RESI,4011 33rd Ave W,WA,"$328,000",1.0,"1,540",11/08/2002,700,Seattle,8.0,2
10,22236750,S,RESI,2411 4th Ave W,WA,"$555,000",3.0,"3,130",11/11/2002,700,Seattle,2.0,3
11,22237591,S,RESI,2635 29th Ave W,WA,"$650,000",3.0,"4,040",11/12/2002,700,Seattle,195.0,5
13,22239775,S,COND,720 Queen Anne Ave N #501,WA,"$245,000",1.0,684,11/12/2002,700,Seattle,6.0,1
14,22084615,S,RESI,110 Smith St,WA,"$595,000",2.75,"3,720",11/14/2002,700,Seattle,6.0,5
15,22219268,S,RESI,2703 W Raye St,WA,"$410,000",3.0,"2,900",11/14/2002,700,Seattle,67.0,4
16,22219845,S,RESI,4233 28th W,WA,"$339,000",1.75,"1,920",11/14/2002,700,Seattle,39.0,2
19,22210621,S,RESI,2917 W McGraw St,WA,"$409,000",2.0,"2,850",11/15/2002,700,Seattle,47.0,3
20,22236873,S,RESI,3442 23rd Ave W,WA,"$320,000",2.25,"2,910",11/15/2002,700,Seattle,82.0,4
21,22233603,S,RESI,2919 3rd Ave N,WA,"$240,000",1.0,910,11/15/2002,700,Seattle,101.0,2
22,22220716,S,RESI,2017 Nob Hill Ave N,WA,"$495,000",1.75,"2,704",11/19/2002,700,Seattle,162.0,3
23,22220654,S,RESI,3024 11th Ave W,WA,"$340,000",2.0,"2,480",11/19/2002,700,Seattle,110.0,4
24,21152026,S,COND,2565 N Dexter Ave N #203,WA,"$269,000",1.75,"2,200",11/19/2002,700,Seattle,332.0,3
25,22090341,S,COND,701 1st Ave N #302,WA,"$240,000",1.0,738,11/19/2002,700,Seattle,23.0,1
26,22240699,S,RESI,3704 W Lawton St W,WA,"$955,000",2.5,"3,480",11/20/2002,700,Seattle,18.0,4
27,22240345,S,RESI,201 McGraw St,WA,"$399,900",1.0,"1,340",11/20/2002,700,Seattle,20.0,2
28,22242222,S,RESI,514 W Crockett St,WA,"$389,950",1.5,"2,510",11/20/2002,700,Seattle,50.0,3
29,22235982,S,COND,1909 10th Ave W #101,WA,"$366,000",1.0,818,11/20/2002,700,Seattle,,1
30,22075086,S,COND,701 Galer St ##819,WA,"$311,000",2.25,"1,265",11/20/2002,700,Seattle,141.0,2
