#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,27012340,S,COND,2530 15th Ave W #404,WA,"$292,000",1.75,953,10/02/2007,700,Seattle,212.0,2
2,27117719,S,RESI,2419 2nd Ave W,WA,"$720,000",1.75,"1,950",10/03/2007,700,Seattle,75.0,3
3,27165190,S,RESI,1616 2nd Ave N,WA,"$750,000",2.25,"1,780",10/04/2007,700,Seattle,6.0,4
4,27097180,S,COND,900 Aurora Ave N #408,WA,"$306,850",1.0,873,10/04/2007,700,Seattle,235.0,1
5,27153918,S,RESI,1606 1st Ave N,WA,"$855,000",2.25,"3,000",10/05/2007,700,Seattle,11.0,4
6,27111852,S,RESI,2153 8th Ave W,WA,"$600,000",2.5,"2,800",10/08/2007,700,Seattle,59.0,4
7,27118825,S,COND,420 Valley St #207,WA,"$289,000",2.0,733,10/08/2007,700,Seattle,86.0,2
8,27153596,S,COND,2111 Waverly Place N #101,WA,"$270,000",1.0,664,10/08/2007,700,Seattle,10.0,1
9,27140724,S,COND,2040 Waverly Place N #402,WA,"$775,000",1.75,"1,471",10/09/2007,700,Seattle,39.0,2
10,27150313,S,RESI,1628 3rd Ave W,WA,"$530,000",1.0,864,10/09/2007,700,Seattle,8.0,2
11,27127823,S,COND,610 Wheeler St #402,WA,"$537,000",1.75,"1,370",10/10/2007,700,Seattle,48.0,2
12,27045138,S,COND,1250 Taylor Ave N #203,WA,"$373,500",1.75,"1,237",10/10/2007,700,Seattle,174.0,1
13,27124136,S,COND,2030 13th Ave W #103,WA,"$350,000",1.0,"1,144",10/10/2007,700,Seattle,63.0,1
14,27141696,S,COND,1401 5th Ave W #207,WA,"$339,000",1.0,615,10/10/2007,700,Seattle,14.0,1
15,27098266,S,RESI,2719 W Blaine St,WA,"$740,000",2.75,"2,500",10/11/2007,700,Seattle,110.0,4
16,27168356,S,COND,2309 W Crockett St,WA,"$485,000",1.75,"1,810",10/11/2007,700,Seattle,21.0,3
17,27166880,S,RESI,2309 W Crockett St,WA,"$485,000",1.75,"1,810",10/11/2007,700,Seattle,21.0,3
19,27150440,S,RESI,3017 32nd Ave W,WA,"$739,500",3.0,"2,750",10/15/2007,700,Seattle,22.0,4
20,27031071,S,COND,1415 6th Ave N #301,WA,"$577,000",2.0,"1,181",10/15/2007,700,Seattle,87.0,2
21,27123567,S,RESI,3820 36th Ave W,WA,"$559,950",1.5,"1,960",10/15/2007,700,Seattle,73.0,3
22,27167977,S,COND,1730 Taylor Ave N #303,WA,"$289,950",1.0,658,10/15/2007,700,Seattle,13.0,1
23,27185204,S,COND,4269 Gilman Ave W #6,WA,"$240,000",1.0,664,10/15/2007,700,Seattle,,1
24,27070655,S,COND,2253 Gilman Dr W #511,WA,"$380,000",2.0,"1,205",10/16/2007,700,Seattle,146.0,2
25,27161772,S,RESI,3033 B 30th Ave W #B,WA,"$590,000",2.5,"1,631",10/17/2007,700,Seattle,22.0,2
26,27139404,S,COND,1011 5th Ave N #203,WA,"$507,500",1.75,"1,262",10/17/2007,700,Seattle,63.0,2
27,27100006,S,COND,3416 21st Ave W #4,WA,"$249,950",1.0,687,10/17/2007,700,Seattle,111.0,1
28,27163372,S,COND,201 Galer St #103,WA,"$491,000",1.0,931,10/18/2007,700,Seattle,36.0,1
29,27172940,S,COND,621 5th Ave N #207,WA,"$268,000",1.0,582,10/18/2007,700,Seattle,178.0,1
30,27168523,S,RESI,2939 25th Ave W,WA,"$899,000",2.5,"3,080",10/19/2007,700,Seattle,12.0,3
31,27161117,S,RESI,115 W Blaine St,WA,"$679,900",1.75,"2,080",10/19/2007,700,Seattle,22.0,4
32,27075422,S,COND,700 Crockett St #401,WA,"$669,000",2.0,"1,882",10/19/2007,700,Seattle,437.0,3
33,27143837,S,RESI,3652 W Viewmont Wy W,WA,"$625,000",1.5,"1,770",10/19/2007,700,Seattle,9.0,2
34,27158008,S,COND,2932 Mayfair Ave N #1,WA,"$375,000",1.75,936,10/19/2007,700,Seattle,109.0,2
35,27158354,S,COND,3400 25th Ave W #303,WA,"$324,450",1.75,"1,015",10/19/2007,700,Seattle,29.0,2
36,27178609,S,COND,120 1st Ave W #201,WA,"$294,500",1.0,731,10/19/2007,700,Seattle,8.0,1
37,27058818,S,RESI,3211 30th Ave W,WA,"$729,000",1.75,"2,460",10/20/2007,700,Seattle,101.0,4
38,27170209,S,RESI,2808 34th Ave W,WA,"$569,000",1.0,"1,440",10/20/2007,700,Seattle,13.0,3
40,27119797,S,COND,7 Highland Dr #602,WA,"$420,000",1.75,"1,050",10/20/2007,700,Seattle,81.0,2
41,27147280,S,RESI,2910 W Crockett St,WA,"$670,000",1.5,"2,240",10/22/2007,700,Seattle,26.0,3
42,27171286,S,RESI,309 W Prospect St,WA,"$2,500,000",3.0,"3,840",10/23/2007,700,Seattle,3.0,5
43,27036198,S,RESI,320 W Prospect St,WA,"$2,100,000",3.5,"4,020",10/23/2007,700,Seattle,180.0,4
44,27173114,S,RESI,2816 29th Ave W,WA,"$799,000",2.5,"3,540",10/23/2007,700,Seattle,12.0,4
45,27168505,S,RESI,915 W Crockett St,WA,"$550,000",1.0,"1,770",10/23/2007,700,Seattle,10.0,3
46,27115321,S,RESI,4210 27th Ave W,WA,"$499,000",2.5,"1,710",10/23/2007,700,Seattle,82.0,3
47,27166434,S,COND,2145 Dexter Ave N #102,WA,"$335,000",1.0,910,10/23/2007,700,Seattle,19.0,1
48,27132182,S,COND,275 W Roy St #410,WA,"$295,000",1.0,655,10/23/2007,700,Seattle,71.0,1
49,27170508,S,COND,500 Aloha St #201,WA,"$479,000",2.0,"1,250",10/24/2007,700,Seattle,287.0,2
50,27186647,S,COND,4269 Gilman Ave W #3,WA,"$220,000",1.0,571,10/24/2007,700,Seattle,89.0,1
51,27168768,S,COND,769 Hayes St #206,WA,"$257,000",1.0,766,10/25/2007,700,Seattle,126.0,2
52,27163437,S,COND,1400 2nd Ave N #285,WA,"$775,450",2.0,"1,000",10/26/2007,700,Seattle,137.0,2
53,27175004,S,COND,124 Warren Ave N #311,WA,"$440,000",1.0,765,10/26/2007,700,Seattle,30.0,1
54,27127546,S,RESI,2565 25th Ave W,WA,"$869,000",3.75,"3,500",10/27/2007,700,Seattle,61.0,4
56,27149125,S,RESI,3602 35th Ave W,WA,"$775,000",2.5,"2,500",10/29/2007,700,Seattle,26.0,3
57,27168424,S,COND,2410 Aurora Ave N #110,WA,"$540,000",2.25,"1,768",10/29/2007,700,Seattle,80.0,2
58,27170477,S,RESI,3243 22nd Ave W,WA,"$475,000",2.0,"1,800",10/29/2007,700,Seattle,21.0,3
59,27119408,S,COND,550 Aloha St #203,WA,"$317,000",1.0,780,10/29/2007,700,Seattle,98.0,2
60,27165128,S,RESI,155 McGraw Place,WA,"$1,285,000",3.0,"2,760",10/30/2007,700,Seattle,20.0,3
