MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1025172,S,COND,2324 W Newton St #301,WA,"$389,000",1.75,922,10/03/2016,700,Seattle,11.0,2
1006654,S,COND,2470 Dexter Ave N #2-A,WA,"$676,000",2.0,"1,575",10/04/2016,700,Seattle,27.0,3
1018473,S,RESI,1510 Taylor Ave N #B,WA,"$628,500",2.5,"1,697",10/04/2016,700,Seattle,7.0,3
1008080,S,COND,2420 8th Ave N #N101,WA,"$584,960",2.0,"1,183",10/05/2016,700,Seattle,19.0,2
1026013,S,COND,3400 25th Ave W #401,WA,"$392,500",1.75,"1,095",10/05/2016,700,Seattle,8.0,2
1003442,S,COND,323 Queen Anne Ave N #509,WA,"$303,500",1.0,433,10/05/2016,700,Seattle,37.0,0
971501,S,RESI,4120 W Armour St,WA,"$1,695,000",3.5,"5,510",10/05/2016,700,Seattle,50.0,6
1039097,S-UL,RESI,2349 W Viewmont Wy W,WA,"$1,000,000",0.0,"2,870",10/05/2016,700,Seattle,,0
1029839,S,RESI,312 W Lee St,WA,"$900,000",3.5,"2,040",10/06/2016,700,Seattle,6.0,3
1025092,S,COND,716 W Argand St #C,WA,"$350,000",1.0,"1,000",10/06/2016,700,Seattle,7.0,1
1020255,S,RESI,3418 28th Ave W,WA,"$1,130,000",3.5,"2,870",10/07/2016,700,Seattle,7.0,4
1027689,S,RESI,2008 Nob Hill Ave N,WA,"$1,216,000",2.75,"2,540",10/07/2016,700,Seattle,8.0,5
1026235,S,COND,410 W Roy St #103,WA,"$435,000",2.0,"1,071",10/07/2016,700,Seattle,18.0,2
1022308,S,COND,520 2nd Ave W #308,WA,"$455,000",2.0,818,10/07/2016,700,Seattle,6.0,2
1017082,S,RESI,3211 40th Ave W,WA,"$570,000",1.0,"1,080",10/07/2016,700,Seattle,47.0,2
1017708,S,COND,415 W Mercer St #901,WA,"$1,015,000",1.75,"2,113",10/07/2016,700,Seattle,7.0,2
1027362,S,COND,218 Aloha St #204,WA,"$330,000",1.0,735,10/09/2016,700,Seattle,3.0,1
1012782,S,RESI,3453 21st Ave W,WA,"$590,000",2.5,"1,400",10/09/2016,700,Seattle,7.0,3
1007869,S,COND,3420 15th Ave W #101,WA,"$259,900",1.0,610,10/10/2016,700,Seattle,23.0,1
947611,S,RESI,2507 Crane Dr W,WA,"$1,295,000",2.25,"3,500",10/10/2016,700,Seattle,114.0,4
976552,S,COND,1605 5th Ave N #202,WA,"$513,000",1.75,"1,275",10/10/2016,700,Seattle,49.0,2
1019397,S,RESI,2123 8th Ave N,WA,"$999,950",3.25,"2,183",10/12/2016,700,Seattle,6.0,3
1027180,S,RESI,3045 B 21st Ave W,WA,"$599,000",1.75,"1,648",10/12/2016,700,Seattle,21.0,2
1016842,S,COND,1000 Aurora Ave N #310,WA,"$530,000",2.0,"1,207",10/12/2016,700,Seattle,7.0,2
957370,S,RESI,806 W Crockett St,WA,"$1,149,000",2.5,"3,050",10/12/2016,700,Seattle,67.0,4
1025778,S,COND,524 6th Ave W #108,WA,"$455,000",2.0,920,10/13/2016,700,Seattle,11.0,2
1026519,S,RESI,321 A W Olympic Place,WA,"$785,000",2.25,"1,320",10/13/2016,700,Seattle,2.0,2
1027235,S,RESI,2441 Queen Anne Ave N,WA,"$1,700,000",4.5,"3,430",10/13/2016,700,Seattle,5.0,4
1012708,S,COND,3053 14th Ave W #301,WA,"$315,000",1.0,873,10/14/2016,700,Seattle,19.0,2
1024281,S,RESI,3806 36th Ave W,WA,"$915,500",2.75,"2,880",10/14/2016,700,Seattle,7.0,4
