#,MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
1,23080730,S,RESI,4041 35 Ave W,WA,"$391,000",1.0,"2,840",09/03/2003,700,Seattle,49.0,3
2,23080871,S,COND,1504 Aurora Ave N #109,WA,"$184,000",1.5,860,09/03/2003,700,Seattle,48.0,2
3,23039275,S,RESI,2200 32nd Ave W,WA,"$950,000",3.25,"3,202",09/04/2003,700,Seattle,94.0,3
4,23089039,S,RESI,3022 43 Ave W,WA,"$599,000",1.75,"2,560",09/04/2003,700,Seattle,49.0,2
5,23078250,S,RESI,4415 31st Ave W,WA,"$499,500",2.5,"2,440",09/04/2003,700,Seattle,70.0,4
6,23075229,S,COND,2100 Thorndyke Ave W #302,WA,"$470,000",2.0,"1,600",09/04/2003,700,Seattle,64.0,2
7,23087809,S,RESI,2576 28th Ave W,WA,"$329,500",1.0,"2,920",09/04/2003,700,Seattle,35.0,2
8,23083431,S,RESI,812 W Argand St,WA,"$290,000",1.5,"1,720",09/05/2003,700,Seattle,30.0,3
9,23070134,S,COND,530 4th Ave W #306,WA,"$242,900",1.0,745,09/05/2003,700,Seattle,275.0,1
10,23051063,S,COND,111 W Highland Dr #7E,WA,"$2,650,000",2.25,"2,764",09/08/2003,700,Seattle,377.0,2
12,23072791,S,RESI,2129 A Waverly N #A,WA,"$327,350",1.5,"1,200",09/08/2003,700,Seattle,46.0,2
13,23113022,S,RESI,2863 W Government W,WA,"$252,000",2.5,"2,450",09/08/2003,700,Seattle,9.0,2
14,23094162,S,COND,1200 6th Ave N #1,WA,"$198,950",2.0,995,09/09/2003,700,Seattle,33.0,2
15,23061767,S,COND,660 W OLYMPIC #1,WA,"$1,375,000",2.5,"2,689",09/10/2003,700,Seattle,44.0,2
16,23096748,S,COND,3100 W Commodore #203,WA,"$650,000",2.5,"2,408",09/10/2003,700,Seattle,7.0,3
17,23025625,S,COND,1740 Aurora Ave N #301,WA,"$390,000",2.0,"1,304",09/10/2003,700,Seattle,175.0,2
18,23054677,S,RESI,3625 36th Ave W,WA,"$282,000",1.0,"1,030",09/10/2003,700,Seattle,112.0,2
19,23105292,S,COND,500 W Roy St #W-103,WA,"$239,000",2.0,"1,071",09/10/2003,700,Seattle,96.0,2
20,23062078,S,COND,123 Queen Anne Ave N #212,WA,"$297,000",2.0,922,09/11/2003,700,Seattle,26.0,2
22,23082624,S,RESI,2849 23rd Ave W,WA,"$360,000",2.5,"2,500",09/12/2003,700,Seattle,51.0,3
23,23100022,S,RESI,3806 25th Ave W,WA,"$302,000",2.0,"1,448",09/12/2003,700,Seattle,29.0,3
27,23073313,S,COND,519 W Roy St #408,WA,"$159,000",1.0,515,09/12/2003,700,Seattle,81.0,0
28,23088307,S,COND,1324 W Emerson St #103,WA,"$149,950",1.0,737,09/12/2003,700,Seattle,54.0,1
29,23094853,S,RESI,2443 2nd Ave W,WA,"$440,000",1.5,"2,140",09/13/2003,700,Seattle,41.0,3
30,23112332,S,RESI,2809 W Lynn St,WA,"$397,000",1.0,"2,770",09/14/2003,700,Seattle,13.0,2
31,23093937,S,RESI,1116 4th Ave N,WA,"$639,000",1.5,"2,500",09/15/2003,700,Seattle,17.0,3
32,23105754,S,RESI,4028 35th Ave W,WA,"$528,000",2.75,"2,968",09/15/2003,700,Seattle,51.0,4
34,23096644,S,COND,1817 11th Ave W #F,WA,"$295,000",2.0,"1,064",09/15/2003,700,Seattle,93.0,2
35,23020536,S,RESI,3621 22nd Ave W,WA,"$289,000",3.0,"1,670",09/15/2003,700,Seattle,162.0,3
36,23074985,S,COND,2100 Thorndyke Ave W #501,WA,"$1,050,000",2.0,"2,060",09/16/2003,700,Seattle,80.0,2
37,23017093,S,COND,1415 6TH Ave N #502,WA,"$361,500",2.0,"1,164",09/16/2003,700,Seattle,320.0,2
38,23073861,S,RESI,3441 24th Ave W,WA,"$337,000",1.5,"2,220",09/16/2003,700,Seattle,77.0,3
39,23103981,S,COND,348 W Olympic #103,WA,"$325,000",1.0,995,09/16/2003,700,Seattle,21.0,1
40,23103786,S,RESI,3812 30th Ave W,WA,"$322,000",1.0,"1,680",09/16/2003,700,Seattle,6.0,2
41,23055300,S,COND,610 Aloha St #301,WA,"$181,480",1.0,700,09/16/2003,700,Seattle,101.0,1
42,23103616,S,COND,3710 27th W #304,WA,"$142,000",1.0,680,09/16/2003,700,Seattle,19.0,1
43,23017412,S,COND,2110 8TH Ave N,WA,"$675,000",5.5,"3,500",09/17/2003,700,Seattle,164.0,4
44,23016105,S,RESI,2110 8th Ave N,WA,"$675,000",5.25,"3,500",09/17/2003,700,Seattle,164.0,4
45,23071256,S,RESI,354 Fulton St,WA,"$480,000",2.0,"2,700",09/17/2003,700,Seattle,89.0,5
47,23104757,S,RESI,3421 8th Ave W,WA,"$380,000",3.5,"1,357",09/17/2003,700,Seattle,15.0,3
48,23112950,S,RESI,3817 24th Ave W,WA,"$320,000",1.5,"1,010",09/17/2003,700,Seattle,16.0,3
49,23094743,S,COND,505 W Mercer #103,WA,"$795,000",2.5,"2,024",09/18/2003,700,Seattle,161.0,2
50,23103934,S,RESI,108 Garfield St,WA,"$521,500",1.5,"1,960",09/18/2003,700,Seattle,27.0,3
51,23071834,S,RESI,3211 42nd Ave W,WA,"$402,000",1.75,"2,430",09/18/2003,700,Seattle,178.0,3
52,23078087,S,COND,100 W Highland Dr #324,WA,"$367,500",1.0,902,09/18/2003,700,Seattle,17.0,1
53,23099138,S,RESI,4038 31st Ave W,WA,"$289,000",1.5,"1,580",09/18/2003,700,Seattle,20.0,2
54,23077794,S,COND,1800 Taylor Ave N #308,WA,"$230,000",1.0,798,09/18/2003,700,Seattle,57.0,2
56,23093363,S,RESI,3236 W Viewmont W,WA,"$650,000",2.25,"3,020",09/19/2003,700,Seattle,63.0,3
57,23072074,S,COND,2040 Waverly N #401,WA,"$553,000",2.0,"1,584",09/19/2003,700,Seattle,92.0,2
58,23111097,S,RESI,3027 10th (Not busy) Ave W,WA,"$517,500",2.25,"2,950",09/19/2003,700,Seattle,7.0,4
59,23111095,S,RESI,3253 W Viewmont W,WA,"$495,000",1.5,"2,220",09/19/2003,700,Seattle,9.0,3
61,23102624,S,COND,2105 Westlake Ave N #302,WA,"$350,000",1.75,"1,231",09/19/2003,700,Seattle,35.0,2
62,23079115,S,COND,500 W Roy St #W-204,WA,"$260,000",2.0,"1,071",09/19/2003,700,Seattle,66.0,2
