MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
25010776,S,RESI,312 Halladay St,WA,"$585,000",1.75,"3,400",09/01/2005,700,Seattle,116.0,4
25093480,S,RESI,3712 W Prosper St,WA,"$515,000",2.25,"2,630",09/01/2005,700,Seattle,87.0,4
25087170,S,COND,716 1/2 W Argand St #B,WA,"$243,500",1.0,"1,000",09/01/2005,700,Seattle,14.0,1
25097396,S,COND,2048 13th Ave W #5,WA,"$429,950",3.25,"1,445",09/02/2005,700,Seattle,19.0,2
25104656,S,COND,3830 25th Ave W,WA,"$330,000",1.5,"1,696",09/02/2005,700,Seattle,8.0,2
25108066,S,COND,22 John St #31,WA,"$180,000",1.0,536,09/02/2005,700,Seattle,11.0,1
25086931,S,RESI,31 B Etruria St,WA,"$455,970",2.5,"1,620",09/03/2005,700,Seattle,58.0,3
25110524,S,COND,900 Aurora Ave N #305,WA,"$345,000",2.0,"1,137",09/03/2005,700,Seattle,11.0,2
25088839,S,RESI,44 Florentia,WA,"$390,000",2.5,"1,590",09/06/2005,700,Seattle,57.0,3
25086068,S,COND,2134 Waverly Place N #101,WA,"$285,000",1.75,977,09/06/2005,700,Seattle,21.0,2
25098892,S,COND,2100 Thorndyke Ave W #401,WA,"$775,000",2.0,"1,598",09/07/2005,700,Seattle,39.0,2
25111901,S,COND,1250 Taylor Ave N #102,WA,"$300,000",2.0,"1,235",09/07/2005,700,Seattle,15.0,2
25112838,S,COND,2219 14th Ave W #305,WA,"$195,000",1.0,680,09/07/2005,700,Seattle,12.0,1
25076101,S,RESI,2622 1st Ave N,WA,"$1,105,000",3.25,"3,425",09/08/2005,700,Seattle,59.0,5
25069783,S,RESI,2855 W Viewmont Wy W,WA,"$985,000",2.5,"3,520",09/08/2005,700,Seattle,73.0,4
25095290,S,RESI,3442 10th Ave W,WA,"$446,000",1.0,"1,920",09/09/2005,700,Seattle,18.0,3
25110757,S,RESI,3309 W Thurman St,WA,"$389,000",1.0,"1,500",09/09/2005,700,Seattle,101.0,2
25123800,S,RESI,1416 4th Ave W #A,WA,"$424,900",1.5,"1,200",09/10/2005,700,Seattle,10.0,2
25116884,S,RESI,3206 22nd Ave W,WA,"$380,000",1.0,"1,560",09/12/2005,700,Seattle,22.0,2
25108770,S,COND,2030 13th Ave W #206,WA,"$355,000",1.75,"1,370",09/12/2005,700,Seattle,34.0,2
25088810,S,COND,2028 Waverly Place N #102,WA,"$310,000",1.0,914,09/12/2005,700,Seattle,31.0,2
25094170,S,RESI,471 Wheeler St,WA,"$1,454,030",3.25,"3,400",09/13/2005,700,Seattle,211.0,4
25119032,S,RESI,3024 28th Ave W,WA,"$599,900",2.0,"2,140",09/13/2005,700,Seattle,6.0,3
25096280,S,RESI,1018 W Emerson,WA,"$597,900",3.0,"2,850",09/13/2005,700,Seattle,13.0,6
25115017,S,COND,2203 Yale Ave E #203,WA,"$269,000",1.0,725,09/13/2005,700,Seattle,19.0,1
25100463,S,RESI,2611 42nd Ave W,WA,"$1,475,000",3.25,"4,850",09/14/2005,700,Seattle,16.0,4
25112713,S,COND,2000 W Barrett St #305,WA,"$324,000",2.0,"1,132",09/14/2005,700,Seattle,21.0,2
25114995,S,COND,813 2nd Ave N #A,WA,"$690,000",2.25,"2,040",09/15/2005,700,Seattle,20.0,3
25110753,S,RESI,813 2nd Ave N #A,WA,"$690,000",2.25,"2,040",09/15/2005,700,Seattle,20.0,3
25085968,S,COND,200 W Comstock St #301,WA,"$625,000",2.0,"1,298",09/15/2005,700,Seattle,55.0,2
25113881,S,RESI,3029 31 Ave W,WA,"$499,500",3.5,"2,860",09/15/2005,700,Seattle,22.0,5
25119348,S,RESI,3403 30th Ave W,WA,"$495,000",1.75,"2,950",09/15/2005,700,Seattle,15.0,4
25117883,S,COND,6533 Seaview Ave NW #507A,WA,"$495,000",1.75,"1,250",09/15/2005,700,Seattle,20.0,2
25110302,S,COND,1417 Queen Anne Ave N #301,WA,"$355,000",1.5,973,09/15/2005,700,Seattle,8.0,1
25114040,S,COND,655 Crockett St #B204,WA,"$249,000",1.0,526,09/15/2005,700,Seattle,6.0,1
23019495,S,RESI,103 Highland Dr,WA,"$2,100,000",4.0,"7,770",09/16/2005,700,Seattle,838.0,6
25104701,S,RESI,4041 27th Ave W,WA,"$509,000",2.5,"1,900",09/16/2005,700,Seattle,6.0,4
25115150,S,RESI,3629 40th Ave W,WA,"$497,000",2.25,"2,420",09/16/2005,700,Seattle,25.0,3
25114686,S,RESI,3314 W Armour St,WA,"$461,000",1.0,"1,370",09/16/2005,700,Seattle,12.0,3
25082917,S,COND,655 Crockett St #A103,WA,"$379,990",2.0,"1,214",09/16/2005,700,Seattle,46.0,1
25113071,S,COND,420 Valley St #202,WA,"$226,800",1.0,730,09/16/2005,700,Seattle,23.0,2
25092096,S,COND,530 W Olympic Place ##409,WA,"$212,000",1.0,652,09/16/2005,700,Seattle,39.0,1
25064267,S,COND,420 Valley St #301,WA,"$159,900",1.0,485,09/16/2005,700,Seattle,204.0,1
25120807,S,RESI,3821 30th Ave W,WA,"$359,950",1.0,"1,310",09/19/2005,700,Seattle,7.0,2
25113942,S,RESI,1945 5th Ave W,WA,"$600,000",2.0,"1,620",09/20/2005,700,Seattle,25.0,3
25096945,S,COND,2420 8th Ave N #201,WA,"$469,500",1.5,"1,130",09/20/2005,700,Seattle,57.0,2
25047192,S,COND,507 W Mercer St #603,WA,"$308,400",1.5,917,09/20/2005,700,Seattle,83.0,2
25120683,S,COND,2244 13th Ave W #316,WA,"$275,000",2.0,818,09/20/2005,700,Seattle,5.0,3
25104047,S,COND,965 W Nickerson St #43,WA,"$249,000",1.0,993,09/20/2005,700,Seattle,9.0,1
25118580,S,COND,2048 13th Ave W #1,WA,"$267,000",1.0,685,09/21/2005,700,Seattle,19.0,1
25111419,S,RESI,3614 29th Ave W,WA,"$929,000",3.25,"4,115",09/22/2005,700,Seattle,20.0,3
25100304,S,RESI,2519 Nob Hill Place N,WA,"$765,000",2.0,"3,380",09/22/2005,700,Seattle,50.0,4
25096199,S,RESI,2001 28 Ave W,WA,"$480,500",1.5,"2,700",09/22/2005,700,Seattle,39.0,4
25093353,S,RESI,5450 39th Ave W,WA,"$1,175,000",1.75,"2,520",09/23/2005,700,Seattle,62.0,3
25088218,S,RESI,2427 W Boston St,WA,"$830,000",3.5,"3,230",09/23/2005,700,Seattle,64.0,4
25092484,S,RESI,3013 26th Ave W,WA,"$637,000",2.0,"2,640",09/23/2005,700,Seattle,56.0,3
25123291,S,COND,2205 Bigelow Ave N #10,WA,"$457,000",1.0,"1,010",09/23/2005,700,Seattle,6.0,2
25122894,S,RESI,2205 Bigelow Ave N #10,WA,"$457,000",1.0,"1,010",09/23/2005,700,Seattle,6.0,2
25088437,S,COND,7 Highland Drive #104,WA,"$346,500",2.0,"1,106",09/23/2005,700,Seattle,64.0,2
25122587,S,COND,1800 Taylor Ave N #411,WA,"$290,000",1.0,798,09/23/2005,700,Seattle,14.0,2
25110397,S,COND,1504 Aurora Ave N #N104,WA,"$244,900",1.5,862,09/24/2005,700,Seattle,16.0,2
25116247,S,RESI,1244 W Bothwell St,WA,"$737,200",2.5,"2,980",09/26/2005,700,Seattle,26.0,3
25123587,S,COND,133 Queen Anne Ave N #201,WA,"$362,500",1.0,854,09/26/2005,700,Seattle,18.0,2
25121271,S,COND,1768 Aurora (Quiet side) Ave N #,WA,"$329,000",1.0,807,09/26/2005,700,Seattle,65.0,1
25120329,S,COND,1417 Queen Anne Ave N #310,WA,"$319,950",1.0,748,09/26/2005,700,Seattle,16.0,1
25121079,S,COND,275 W Roy St #402,WA,"$243,000",1.0,751,09/26/2005,700,Seattle,4.0,1
