MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
338716,S,COND,2001 Westlake Ave N #24,WA,"$210,000",1.0,900,09/04/2012,700,Seattle,20.0,2
381897,S,COND,1001 Queen Anne Ave N #502,WA,"$429,000",1.75,"1,245",09/05/2012,700,Seattle,10.0,2
387110,S,RESI,2233 1st Ave W,WA,"$685,000",2.0,"2,440",09/06/2012,700,Seattle,43.0,3
387607,S,RESI,2612 31st Ave W,WA,"$1,045,000",3.5,"3,350",09/07/2012,700,Seattle,10.0,4
196685,S,COND,3420 15th Ave W #203,WA,"$120,000",0.0,630,09/07/2012,700,Seattle,206.0,0
390456,S,RESI,2519 Montavista Place W,WA,"$778,000",2.5,"2,938",09/07/2012,700,Seattle,4.0,3
392788,S,RESI,2545 Queen Anne Ave N,WA,"$1,043,888",3.75,"4,210",09/07/2012,700,Seattle,8.0,5
391813,S,RESI,1508 5th Ave N,WA,"$1,225,000",2.25,"2,660",09/07/2012,700,Seattle,7.0,3
386130,S,COND,3150 W Government Wy #208,WA,"$329,000",1.75,"1,058",09/07/2012,700,Seattle,23.0,2
388550,S,RESI,3649 39th Ave W,WA,"$475,000",1.75,"2,280",09/08/2012,700,Seattle,2.0,3
376035,S,RESI,1702 29th Ave W,WA,"$1,165,005",3.0,"3,838",09/10/2012,700,Seattle,157.0,5
385345,S,RESI,1950 7th Ave W,WA,"$1,250,000",3.75,"3,360",09/10/2012,700,Seattle,4.0,5
383877,S,COND,1400 Taylor Ave N #303,WA,"$295,000",1.0,883,09/11/2012,700,Seattle,12.0,1
306159,S,COND,1730 Taylor Ave N #502,WA,"$755,000",1.75,"1,723",09/11/2012,700,Seattle,310.0,2
384574,S,RESI,3040 B 21st Ave W,WA,"$410,000",2.25,"1,409",09/14/2012,700,Seattle,20.0,3
368251,S,RESI,3724 W Armour Place,WA,"$589,000",2.5,"3,120",09/14/2012,700,Seattle,57.0,3
390710,S,COND,2625 13th Ave W #401,WA,"$272,000",1.75,"1,019",09/14/2012,700,Seattle,2.0,2
388045,S,RESI,3711 29th Ave W,WA,"$720,000",3.5,"2,200",09/14/2012,700,Seattle,11.0,3
369604,S,RESI,2723 W Jameson St,WA,"$378,500",2.25,"1,150",09/14/2012,700,Seattle,47.0,2
367209,S,RESI,803 W Newell St,WA,"$591,405",1.0,"1,990",09/14/2012,700,Seattle,63.0,2
393368,S,RESI,1807 8th Ave W,WA,"$1,000,000",2.5,"2,456",09/14/2012,700,Seattle,6.0,4
382494,S,RESI,3040 24th Ave W,WA,"$540,000",2.5,"3,140",09/14/2012,700,Seattle,35.0,4
387617,S,RESI,2545 37th Ave W,WA,"$650,000",1.75,"2,520",09/15/2012,700,Seattle,9.0,3
380132,S,RESI,905 W Emerson St,WA,"$572,500",2.5,"2,040",09/17/2012,700,Seattle,35.0,3
379152,S,RESI,1943 8th Ave W #C,WA,"$565,000",2.5,"1,620",09/17/2012,700,Seattle,42.0,2
381098,S,RESI,3610 W Viewmont Wy W,WA,"$510,000",1.75,"2,540",09/18/2012,700,Seattle,17.0,2
368193,S,RESI,1524 11th Ave W,WA,"$628,000",2.25,"2,570",09/18/2012,700,Seattle,39.0,2
361476,S,COND,1808 Bigelow Ave N #401A,WA,"$270,000",1.0,832,09/18/2012,700,Seattle,7.0,1
387955,S,RESI,3002 21st Ave W,WA,"$580,000",1.75,"3,120",09/19/2012,700,Seattle,2.0,4
378945,S,RESI,3220 37th Ave W,WA,"$520,000",1.75,"2,460",09/19/2012,700,Seattle,45.0,3
381287,S,RESI,2506 Warren Ave N,WA,"$746,000",1.5,"2,800",09/20/2012,700,Seattle,6.0,4
406761,S,RESI,507 W Mercer St #501,WA,"$318,000",1.75,934,09/20/2012,700,Seattle,,1
384185,S,RESI,3837 23rd Ave W #B,WA,"$379,000",2.25,"1,730",09/20/2012,700,Seattle,26.0,4
