Stat,Type,Bths,SF,Stat Date,CDOM,Bds,Year,Month,Day,Agg_Average Days on Market,Agg_Average Percent of Last List Price,Agg_Average Percent of Last Original Price,Agg_Average Price Per Square Foot,Agg_Average Sales Price,Agg_Closed Sales,Agg_Homes for Sale,Agg_Median Days on Market,Agg_Median Percent of Last List Price,Agg_Median Percent of Last Original Price,Agg_Median Price Per Square Foot,Agg_Median Sales Price,Agg_Months Supply of Inventory (Closed),Agg_Months Supply of Inventory (Pending),Agg_New Listings,Agg_Pending Sales,Price_Per_SF,Total_Rooms,Bths_Bds_Ratio,Price_per_Bedroom,Log Price,Size Category_Large,Size Category_Medium,Size Category_Small,Category Number,Category Label
S,COND,1.0,695.0,2015-04-02,13.0,1,2015,4,2,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,267.62589928057554,2.0,1.0,186000.0,12.133501952695338,0.0,0.0,1.0,3,small
S,COND,1.0,932.0,2015-04-03,28.0,0,2015,4,3,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,407.6180257510729,1.0,1.0,379900.0,12.847663339175718,0.0,0.0,1.0,3,small
S,COND,1.0,531.0,2015-04-03,5.0,0,2015,4,3,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,367.2316384180791,1.0,1.0,195000.0,12.180754837545884,0.0,0.0,1.0,3,small
S,RESI,1.5,2180.0,2015-04-03,7.0,3,2015,4,3,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,277.5229357798165,4.5,0.5,201666.66666666663,13.312983737012978,1.0,0.0,0.0,1,large
S,COND,2.0,698.0,2015-04-06,5.0,2,2015,4,6,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,503.1518624641834,4.0,1.0,175600.0,12.7691111407431,0.0,0.0,1.0,3,small
S,RESI,1.0,2350.0,2015-04-06,5.0,3,2015,4,6,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,301.06382978723406,4.0,0.3333333333333333,235833.3333333333,13.46949290849953,1.0,0.0,0.0,1,large
S,COND,1.0,921.0,2015-04-06,8.0,2,2015,4,6,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,364.8208469055375,3.0,0.5,168000.0,12.72486643894534,0.0,0.0,1.0,3,small
S,COND,1.0,459.0,2015-04-06,4.0,0,2015,4,6,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,389.9782135076253,1.0,1.0,179000.0,12.095141084822892,0.0,0.0,1.0,3,small
S,RESI,2.75,1955.0,2015-04-07,3.0,4,2015,4,7,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,345.78005115089513,6.75,0.6875,169000.0,13.423948355025102,0.0,1.0,0.0,2,medium
S,COND,1.5,1164.0,2015-04-07,70.0,2,2015,4,7,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,341.49484536082474,3.5,0.75,198750.0,12.892950213076524,0.0,1.0,0.0,2,medium
S,RESI,1.75,2318.0,2015-04-07,18.0,4,2015,4,7,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,306.29853321829165,5.75,0.4375,177500.0,13.473020249017498,1.0,0.0,0.0,1,large
S,RESI,1.75,2160.0,2015-04-08,13.0,4,2015,4,8,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,328.7037037037037,5.75,0.4375,177500.0,13.473020249017498,1.0,0.0,0.0,1,large
S,RESI,2.25,1860.0,2015-04-08,3.0,3,2015,4,8,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,469.8924731182796,5.25,0.75,291333.3333333333,13.680835654637672,0.0,1.0,0.0,2,medium
S,RESI,3.25,1714.0,2015-04-09,14.0,3,2015,4,9,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,350.0583430571762,6.25,1.0833333333333333,200000.0,13.304684934198283,0.0,1.0,0.0,2,medium
S,RESI,2.0,1290.0,2015-04-09,56.0,5,2015,4,9,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,317.82945736434107,7.0,0.4,82000.0,12.92391243868049,0.0,1.0,0.0,2,medium
S,RESI,1.5,1140.0,2015-04-09,25.0,3,2015,4,9,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,628.0701754385965,4.5,0.5,238666.66666666663,13.481435445942784,0.0,1.0,0.0,2,medium
S,COND,2.5,2146.0,2015-04-09,190.0,3,2015,4,9,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,594.1286113699907,5.5,0.8333333333333334,425000.0,14.058456736574664,1.0,0.0,0.0,1,large
S,RESI,2.25,1550.0,2015-04-10,2.0,3,2015,4,10,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,367.741935483871,5.25,0.75,190000.0,13.253391639810731,0.0,1.0,0.0,2,medium
S,RESI,1.0,760.0,2015-04-10,147.0,1,2015,4,10,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,644.7368421052631,2.0,1.0,490000.0,13.102160670086809,0.0,0.0,1.0,3,small
S,RESI,2.25,1750.0,2015-04-11,5.0,3,2015,4,11,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,351.42857142857144,5.25,0.75,205000.0,13.329377546788654,0.0,1.0,0.0,2,medium
S,COND,1.0,639.0,2015-04-13,33.0,1,2015,4,13,27.0,1.02,1.012,378.0,658402.0,288.0,128.0,8.0,1.0,1.0,369.0,563900.0,1.3,1.3,398.0,342.0,414.7104851330204,2.0,1.0,265000.0,12.48748510496836,0.0,0.0,1.0,3,small
