,Bths,SF,CDOM,Bds,Type_100,Type_150,Type_1940,Type_200,Type_216,Type_2219,Type_2330,Type_2440,Type_2441,Type_2562,Type_2566,Type_2807,Type_2918,Type_3009,Type_3011,Type_3046,Type_3212,Type_323,Type_3237,Type_3260,Type_3406,Type_3629,Type_3643,Type_4436,Type_4440,Type_515,Type_519,Type_528,Type_530,Type_5443,Type_565,Type_611,Type_699,Type_750,Type_8,Type_810,Type_909,Type_COND,Type_RENT,Type_RESI,Stat_RESI,Stat_S,Stat_S-UL,Year,Month,Day,Agg_Average Days on Market,Agg_Average Percent of Last List Price,Agg_Average Percent of Last Original Price,Agg_Average Price Per Square Foot,Agg_Average Sales Price,Agg_Closed Sales,Agg_Homes for Sale,Agg_Median Days on Market,Agg_Median Percent of Last List Price,Agg_Median Percent of Last Original Price,Agg_Median Price Per Square Foot,Agg_Median Sales Price,Agg_Months Supply of Inventory (Closed),Agg_Months Supply of Inventory (Pending),Agg_New Listings,Agg_Pending Sales,Price_Per_SF,Total_Rooms,Bths_Bds_Ratio,Price_per_Bedroom,Log Price,Size Category_Large,Size Category_Medium,Size Category_Small
Bths,1.0,0.7500618412734846,0.08726968481425966,0.7459149243945764,-0.003645204995373044,-0.007808570658816883,0.00676320916323646,0.002599843499792666,0.000732808565353239,0.0005181606680707764,0.0005181606680707768,0.013008257658402167,0.02549835464873372,0.013008257658402165,-0.007808570658816884,0.004681526331514544,-0.007808570658816884,0.004681526331514547,-0.007808570658816874,-0.0015635221636511182,0.01092657482668026,0.0005181606680707727,0.0005181606680707752,0.008844891994958354,0.002599843499792672,-0.0015635221636511442,0.004681526331514544,0.006763209163236438,-0.0078085706588168794,0.000518160668070761,-0.007808570658816857,-0.007808570658816883,-0.0015635221636511375,0.004681526331514552,-0.007808570658816873,-0.007808570658816874,-0.00815175920630822,-0.007808570658816864,0.0046815263315145485,-0.001563522163651127,-0.007808570658816874,-0.5049817371817986,0.01300825765840217,0.5042129309891835,0.012590602860889599,0.07689107630233454,-0.08066221450292214,0.057981741782226336,0.008854785182916384,-0.006802789417660988,-0.007834773775216176,-0.0031249238656396103,-0.004285158218890582,0.03327030596004024,0.04842448878810919,-0.006295541874815495,-0.01874058712557649,-0.017851772014081654,-0.010520242853736662,-0.010359630650483018,0.034223330957771435,0.049894367297680674,-0.003438241480361225,-0.004185097819626326,-0.0195082661622283,-0.0027941993832644473,-0.012628135497893728,0.9090716153411809,0.19441860658342697,0.13000819572195882,0.6739138556350833,0.20487303815707475,-0.019171459530213424,-0.5866672005694982
SF,0.7500618412734846,1.0,0.09143756126740805,0.7969047345526997,-0.003565239431223341,-0.007651213449138849,0.009148916174605877,-0.0006265586104564907,-0.0036283300046692606,0.003714369451269877,0.001225212865643147,0.007069027922464954,0.010893338579627295,0.007941239124975661,0.004787860162052289,0.014113810711974515,0.0006280836577704505,0.0038485557901176836,-0.0008479660695553796,0.007270307430736655,0.015522767269876423,-0.006215419623467418,0.003848555790117682,0.010356593224236085,0.0006347929747128398,-0.00232401579688116,-0.0019214567803377608,0.0055929781951391,-0.009100425908695104,-0.005363336371783848,-0.009033332739271196,-0.006886351317706386,-0.00463202082506333,0.01330869267888772,9.133830237924144e-05,-0.007637794815254071,-0.013152320908452707,-0.007530445744175822,-0.0025923884745767717,-0.0053700456887262665,-0.0005795933918597559,-0.6435206297137186,0.010624965901931694,0.6426211957067254,0.01926667214178652,-0.027673623517637413,0.028416818700857552,0.031208002180678318,0.02544576913641272,-0.00928624232889846,0.007144993422986687,-0.014425840095999159,-0.019134844671404194,0.003546802492383596,0.02100648276335001,-0.009792378686617005,0.0015684605114083146,-0.00656027935851807,-0.020190720700136056,-0.02216019414819762,0.004142777828400205,0.02321597568753658,0.01737974972582116,0.01633965810293049,-0.008013563067908017,-0.007754295498629327,-0.11447616787366094,0.8303787345029576,-0.21302989167396008,0.28460758100475375,0.7766933115229525,0.34001492588552423,-0.23284959223539536,-0.6216027594034769
CDOM,0.08726968481425966,0.09143756126740805,1.0,0.010692012826646618,-0.004172400481256514,0.0006981212530290513,0.023722405815106318,-0.004260955421879888,-0.003771760709495783,-0.0035525158968928946,0.006011417690431575,-0.004083845540633141,0.002203555243626424,-0.0028440763719058807,0.0010523410155225434,-0.003818180718763017,-0.003995290600009764,0.009110840612249628,-0.0013386423813085567,-0.003375406015646146,-0.0037296257781396424,0.027264603440041165,-0.00364107083751627,-0.004349510362503261,-0.0012500874406851828,0.006631302274795184,-0.003375406015646146,0.000875231134275798,0.0006095663124056756,0.005657197927938023,0.0055686429873146705,0.0026463299467432704,0.012210263534067723,0.018409109377703927,0.014335582109028707,-0.0038181807187630166,0.004967431895513423,0.008048181324769164,0.0037089892342237825,0.015752461159002685,0.007693961562275665,0.052575687826358554,0.0008752311342757949,-0.05501504366581927,0.008738650293947131,-0.02463089584908561,-0.003375406015646144,-0.22989235859714863,-0.02903440391470994,-0.0038932458677208175,0.3731221791307539,-0.31792201904416123,-0.3433418906839888,-0.24356032891678941,-0.23316715496958434,-0.23466486252639673,0.3188018776296228,0.36164821513754497,-0.32668752563187325,-0.3486820406934988,-0.2414875498349561,-0.23907782873013983,0.34162761705973205,0.34282286525526673,0.0064054222308002964,-0.23370973471711307,-0.17786722123322224,0.0452755350733186,0.08926428023252506,-0.06003916476576054,-0.07863352669456453,-0.05272015417468572,-0.02112927888703709,0.00018449440371431954
Bds,0.7459149243945764,0.7969047345526997,0.010692012826646618,1.0,-0.003344627678852351,-0.009234362052057597,0.008434841067558247,-0.0033446276788523456,0.003599416359222669,0.0025451066943529255,0.0025451066943529247,0.0084348410675582,0.008434841067558254,0.008434841067558208,0.0025451066943529173,0.008434841067558206,0.0025451066943529177,0.008434841067558202,0.0025451066943529234,0.0025451066943529273,0.002545106694352922,-0.0033446276788523487,0.002545106694352926,0.002545106694352927,0.0025451066943529273,-0.003344627678852303,0.0025451066943529255,0.008434841067558197,-0.00923436205205759,-0.0033446276788523196,-0.015124096425262787,-0.0033446276788523612,-0.0033446276788523014,0.008434841067558258,-0.003344627678852352,-0.00923436205205759,-0.015382294653832172,-0.009234362052057538,0.0025451066943529737,-0.003344627678852358,0.0025451066943529693,-0.6893664643088909,0.008434841067558235,0.6888138752329425,0.017448021996785953,0.0456119474961887,-0.0469630099397304,0.0626615185649335,0.023019327545818827,-0.011000479957855044,-0.004955666756913653,-0.009376008365794797,-0.011929039945927637,0.028050520243677622,0.047031241188370286,-0.0076101682091425215,-0.01595023217645561,-0.021327424977465138,-0.017259132529619133,-0.017004732963868487,0.02891541994328481,0.05086578829960566,0.0067201924165950005,0.005225355858173049,-0.017680287285549077,-0.003929175169006968,-0.11424590863211419,0.9555894319443614,-0.4185715759311988,-0.06223843610554909,0.6984777124409023,0.3559576913945582,-0.0565443957866037,-0.6649665360835693
Type_100,-0.003645204995373044,-0.003565239431223341,-0.004172400481256514,-0.003344627678852351,1.0,-5.1093398732883415e-05,-5.109339873288339e-05,-5.1093398732883523e-05,-7.225882343379883e-05,-5.1093398732883496e-05,-5.109339873288352e-05,-5.109339873288349e-05,-5.1093398732883395e-05,-5.1093398732883435e-05,-5.109339873288343e-05,-5.109339873288337e-05,-5.1093398732883415e-05,-5.1093398732883496e-05,-5.109339873288337e-05,-5.1093398732883435e-05,-5.109339873288342e-05,-5.109339873288342e-05,-5.109339873288352e-05,-5.1093398732883435e-05,-5.109339873288342e-05,-5.10933987328834e-05,-5.109339873288342e-05,-5.109339873288343e-05,-5.109339873288342e-05,-5.109339873288334e-05,-5.1093398732883415e-05,-5.109339873288351e-05,-5.109339873288341e-05,-5.109339873288339e-05,-5.109339873288352e-05,-5.109339873288342e-05,-0.00011425998922722729,-5.109339873288341e-05,-5.109339873288342e-05,-5.109339873288343e-05,-5.109339873288341e-05,-0.005836785683104169,-5.109339873288346e-05,-0.008712826415247918,-0.00025562376998704154,-0.043922725281067124,-0.0011113776991050978,-0.007169707775512191,-0.012654742428156668,0.00936043873357411,0.018392185605832542,-0.011724463930264632,-0.015001827225566294,-0.009116878398956415,-0.008587257959279787,-0.0077800788629560115,0.010898627733002047,0.022213403459131403,-0.01469188395026977,-0.020213111998343896,-0.008955228824431694,-0.008604616401908006,0.013254287042142718,0.012646855326398473,-0.006665956984328243,-0.010396470069818944,-0.0015844811064732425,-0.0037051037055623715,-0.00135190305466199,-0.0019374701234647486,-0.0021371769509784316,-0.003966997262261872,0.00952035705234441,-0.0043754740657003235
Type_150,-0.007808570658816883,-0.007651213449138849,0.0006981212530290513,-0.009234362052057597,-5.1093398732883415e-05,1.0,-5.109339873288341e-05,-5.109339873288336e-05,-7.225882343379874e-05,-5.109339873288337e-05,-5.1093398732883354e-05,-5.1093398732883354e-05,-5.109339873288339e-05,-5.109339873288336e-05,-5.109339873288338e-05,-5.109339873288337e-05,-5.109339873288339e-05,-5.109339873288336e-05,-5.10933987328834e-05,-5.109339873288336e-05,-5.109339873288337e-05,-5.109339873288337e-05,-5.1093398732883354e-05,-5.109339873288336e-05,-5.109339873288337e-05,-5.10933987328834e-05,-5.109339873288337e-05,-5.109339873288338e-05,-5.109339873288337e-05,-5.1093398732883354e-05,-5.1093398732883415e-05,-5.109339873288345e-05,-5.109339873288341e-05,-5.109339873288338e-05,-5.1093398732883354e-05,-5.10933987328834e-05,-0.00011425998922722732,-5.1093398732883415e-05,-5.1093398732883415e-05,-5.109339873288338e-05,-5.10933987328834e-05,-0.005836785683104171,-5.1093398732883374e-05,-0.008712826415247914,-0.0002556237699870413,-0.04392272528106711,-0.0011113776991050982,-0.007169707775512991,-0.005843300520052124,-0.002368924217115794,0.016871781876878007,-0.010060586518234335,-0.011622830472117278,-0.00842503669901755,-0.008095653310081677,-0.008712467661595375,0.014866114014817532,0.011808012944728769,-0.012084791942646033,-0.013408014035282589,-0.008722147750745167,-0.008718737609054962,0.015046628460586716,0.014168558248905077,0.009460683630186031,-0.0031809641672076597,-0.005713220320202411,-0.009231559480371467,0.0057634053354259146,-0.004213244341916991,-0.012277075126120859,-0.003966997262261868,-0.0053667523656900475,0.011677225819576665
Type_1940,0.00676320916323646,0.009148916174605877,0.023722405815106318,0.008434841067558247,-5.109339873288339e-05,-5.109339873288341e-05,1.0,-5.109339873288339e-05,-7.225882343379879e-05,-5.1093398732883354e-05,-5.109339873288338e-05,-5.109339873288338e-05,-5.109339873288341e-05,-5.10933987328834e-05,-5.1093398732883395e-05,-5.1093398732883415e-05,-5.109339873288341e-05,-5.109339873288339e-05,-5.109339873288342e-05,-5.10933987328834e-05,-5.1093398732883415e-05,-5.1093398732883415e-05,-5.109339873288338e-05,-5.10933987328834e-05,-5.1093398732883415e-05,-5.109339873288341e-05,-5.1093398732883415e-05,-5.1093398732883395e-05,-5.1093398732883415e-05,-5.1093398732883415e-05,-5.109339873288341e-05,-5.109339873288337e-05,-5.10933987328834e-05,-5.1093398732883456e-05,-5.109339873288338e-05,-5.109339873288342e-05,-0.00011425998922722725,-5.10933987328834e-05,-5.109339873288341e-05,-5.1093398732883395e-05,-5.109339873288341e-05,-0.005836785683104172,-5.10933987328833e-05,-0.008712826415247918,0.19987733822826576,-0.04392272528106711,-0.0011113776991050987,-0.005806036435185656,-0.012654742428156654,-0.009406541987529647,0.01079016696105981,-0.012279089734272922,-0.013809240136114469,-0.009693413148905561,-0.007173727648801508,-0.012442022856152792,0.007923013021640446,0.011312518158328663,-0.015213302351795518,-0.017119885651496674,-0.009130039629696487,-0.008687134813229734,0.010267051344736256,0.010212130650388004,-0.006783241643342897,-0.012114447665678717,-0.008627037527017456,0.008268883806524366,-0.0031307301521840253,-0.004885632179187021,0.0020247874255124873,-0.003966997262261866,-0.0053667523656900475,-0.004375474065700323
Type_200,0.002599843499792666,-0.0006265586104564907,-0.004260955421879888,-0.0033446276788523456,-5.1093398732883523e-05,-5.109339873288336e-05,-5.109339873288339e-05,1.0,-7.225882343379883e-05,-5.1093398732883496e-05,-5.109339873288352e-05,-5.109339873288349e-05,-5.1093398732883395e-05,-5.1093398732883435e-05,-5.109339873288343e-05,-5.109339873288337e-05,-5.1093398732883415e-05,-5.1093398732883496e-05,-5.109339873288337e-05,-5.1093398732883435e-05,-5.109339873288342e-05,-5.109339873288342e-05,-5.109339873288352e-05,-5.1093398732883435e-05,-5.109339873288342e-05,-5.10933987328834e-05,-5.109339873288342e-05,-5.109339873288343e-05,-5.109339873288342e-05,-5.109339873288334e-05,-5.1093398732883415e-05,-5.109339873288351e-05,-5.109339873288341e-05,-5.109339873288339e-05,-5.109339873288352e-05,-5.109339873288342e-05,-0.00011425998922722729,-5.109339873288341e-05,-5.109339873288342e-05,-5.109339873288343e-05,-5.109339873288341e-05,-0.005836785683104169,-5.109339873288346e-05,-0.008712826415247918,-0.00025562376998704154,-0.043922725281067124,-0.0011113776991050978,-0.007169707775512418,-0.012654742428156668,0.004668693553298114,0.018392185605832542,-0.011724463930264635,-0.015001827225566288,-0.009116878398956411,-0.008587257959279787,-0.007780078862956014,0.010898627733002052,0.02221340345913141,-0.014691883950269777,-0.02021311199834382,-0.008955228824431696,-0.008604616401908002,0.013254287042142716,0.012646855326398473,-0.006665956984328241,-0.010396470069818947,0.004729324180463896,-0.0009418758181577594,0.00932105953046988,0.007269071033001094,0.004539302672201848,-0.003966997262261872,0.009520357052344412,-0.0043754740657003235
Type_216,0.000732808565353239,-0.0036283300046692606,-0.003771760709495783,0.003599416359222669,-7.225882343379883e-05,-7.225882343379874e-05,-7.225882343379879e-05,-7.225882343379883e-05,1.0,-7.22588234337989e-05,-7.225882343379883e-05,-7.225882343379883e-05,-7.225882343379878e-05,-7.225882343379878e-05,-7.225882343379878e-05,-7.225882343379871e-05,-7.225882343379878e-05,-7.225882343379883e-05,-7.225882343379871e-05,-7.225882343379878e-05,-7.225882343379875e-05,-7.225882343379875e-05,-7.225882343379883e-05,-7.225882343379879e-05,-7.225882343379875e-05,-7.225882343379878e-05,-7.225882343379875e-05,-7.225882343379878e-05,-7.225882343379875e-05,-7.225882343379872e-05,-7.22588234337988e-05,-7.225882343379889e-05,-7.22588234337988e-05,-7.225882343379878e-05,-7.225882343379883e-05,-7.225882343379875e-05,-0.00016159215460067388,-7.225882343379882e-05,-7.225882343379882e-05,-7.225882343379878e-05,-7.225882343379878e-05,-0.008254672356037794,-7.22588234337988e-05,-0.01232211207635996,0.2826764640763387,-0.06211770071136876,-0.0015717655689288061,-0.010139757015013552,-0.011474912502949916,-0.015514965503400351,0.028698931564868604,-0.016581319851719782,-0.019810816680787834,-0.011996642218777057,-0.010672633403442247,-0.014239613110802928,0.01788490035498631,0.032116053026299704,-0.021515408618800243,-0.02421179352000844,-0.012747338584580744,-0.010294401067701612,0.019167341487511324,0.018316225214065552,0.007906065911435963,-0.010694283497945238,-0.008407113275192312,0.002575846603404518,-0.005266202712642378,-0.009645239845701871,-0.005870136863941105,-0.00561032465729584,0.013464162031353144,-0.006188012850848428
Type_2219,0.0005181606680707764,0.003714369451269877,-0.0035525158968928946,0.0025451066943529255,-5.1093398732883496e-05,-5.109339873288337e-05,-5.1093398732883354e-05,-5.1093398732883496e-05,-7.22588234337989e-05,1.0,-5.1093398732883496e-05,-5.1093398732883523e-05,-5.109339873288336e-05,-5.109339873288348e-05,-5.1093398732883476e-05,-5.109339873288338e-05,-5.109339873288343e-05,-5.1093398732883523e-05,-5.109339873288338e-05,-5.109339873288348e-05,-5.1093398732883435e-05,-5.1093398732883435e-05,-5.1093398732883523e-05,-5.109339873288349e-05,-5.1093398732883435e-05,-5.1093398732883374e-05,-5.1093398732883435e-05,-5.109339873288348e-05,-5.1093398732883435e-05,-5.109339873288333e-05,-5.109339873288339e-05,-5.109339873288348e-05,-5.109339873288338e-05,-5.109339873288336e-05,-5.1093398732883496e-05,-5.1093398732883435e-05,-0.00011425998922722737,-5.1093398732883374e-05,-5.1093398732883395e-05,-5.1093398732883476e-05,-5.109339873288338e-05,-0.005836785683104168,-5.10933987328835e-05,-0.008712826415247918,0.19987733822826614,-0.043922725281067124,-0.0011113776991050982,-0.007169707775511825,-0.010384261792121853,0.007796523673482129,0.016871781876878014,-0.013388341342294958,-0.015001827225566292,-0.008540343649007366,-0.00781676571333976,-0.01049248264081588,0.010615235855729507,0.02072691909993108,-0.016777557556369067,-0.017429208286182385,-0.008896958556010073,-0.008262252780467123,0.012358116332920738,0.011733833572894523,-0.0019745706237422685,-0.01031057119002598,-0.008312802677995695,0.0018213520692468188,-0.003723672518024603,-0.004695984327649296,-0.0008700925882571649,0.012879615324904871,-0.005366752365690052,-0.004375474065700325
