MLS,Stat,Type,Address,State,List/Sell $,Bths,SF,Stat Date,Area,City,CDOM,Bds
20005735,S,COND,907 Warren Ave N #204,WA,"$577,500 ",1.75,"1,698",2000/1/31,700,Seattle,,3
20002108,S,RESI,2523 35th Ave W,WA,"$360,000 ",2,"3,060",2000/2/2,700,Seattle,,4
20001720,S,RESI,2585 4th Ave W,WA,"$381,000 ",1,"2,350",2000/2/4,700,Seattle,,2
20000556,S,RESI,2110 9th Ave W,WA,"$625,000 ",3.25,"2,730",2000/2/9,700,Seattle,,3
20002888,S,RESI,1208 W Bothwell St,WA,"$439,000 ",1.75,"2,260",2000/2/11,700,Seattle,,3
20000605,S,RESI,3009 13th W,WA,"$277,000 ",2,"2,120",2000/2/11,700,Seattle,,3
20000844,S,COND,2221 Gilman Dr W #404,WA,"$222,500 ",2,"1,203",2000/2/12,700,Seattle,,2
20003200,S,COND,1504 Aurora Ave N #111,WA,"$184,900 ",2,825,2000/2/14,700,Seattle,,2
20004515,S,COND,420 Valley Street #410,WA,"$170,000 ",2,728,2000/2/16,700,Seattle,,2
20002088,S,COND,2858 32nd W #406,WA,"$198,500 ",2,"1,066",2000/2/18,700,Seattle,,2
20002127,S,COND,7 Harrison St #36,WA,"$63,000 ",1,465,2000/2/18,700,Seattle,,0
20004373,S,RESI,1309 W Newton,WA,"$329,928 ",3.5,"2,460",2000/2/19,700,Seattle,,3
20006683,S,COND,160 Lee Street #108,WA,"$115,500 ",1,585,2000/2/20,700,Seattle,,1
20004571,S,RESI,1708 Bigelow Ave N,WA,"$575,000 ",1.5,"2,890",2000/2/22,700,Seattle,,3
20009433,S,RESI,2646 Bishop W,WA,"$319,000 ",1.75,"2,480",2000/2/24,700,Seattle,,3
20005686,S,COND,520 2nd Ave W #202,WA,"$155,500 ",1,620,2000/2/24,700,Seattle,,1
20013482,S,RESI,3021 24th Ave W,WA,"$380,000 ",1,"1,824",2000/2/25,700,Seattle,,2
20006836,S,RESI,2704 W Barrett,WA,"$367,000 ",1.75,"2,520",2000/2/25,700,Seattle,,4
